Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
7/25/2016 11:59:13 AM	5.44	0.00	0.00	0.00	0.00	0.00	0.00	0.03	5.44	100.00	0.26	28.77	2882	0	0	0	0	0	0	0	2882	296.96	0.55	1.62	7.40	20.79	7.46	24.48	1.03	24.01	20.36
7/25/2016 11:59:16 AM	4.63	0.04	0.00	1.88	0.00	0.00	0.00	0.00	6.55	100.00	0.27	28.75	2452	40	0	57	0	0	0	0	2549	320.89	6.18	5.18	8.02	22.13	19.01	30.93	1.03	24.06	20.38
7/25/2016 11:59:18 AM	4.85	0.36	0.19	0.72	0.00	0.00	0.00	0.19	6.12	100.00	0.37	28.70	2569	363	86	22	0	0	0	0	3040	312.90	7.93	3.58	10.53	25.65	12.54	28.03	1.04	24.10	20.42
7/25/2016 11:59:21 AM	4.26	0.45	1.04	0.00	0.00	0.00	0.00	0.03	5.75	100.00	0.51	28.65	2259	448	470	0	0	0	0	0	3177	306.98	7.99	-1.50	12.17	21.44	8.38	25.41	1.05	24.15	20.45
7/25/2016 11:59:24 AM	1.39	0.00	0.00	1.89	0.00	0.00	0.00	0.94	3.28	100.00	0.65	28.61	737	0	0	57	0	0	0	0	794	329.50	11.99	7.84	0.83	31.91	11.73	26.62	1.06	24.19	20.44
7/25/2016 11:59:27 AM	0.16	0.00	3.45	0.80	0.00	0.00	0.00	0.00	4.40	100.00	0.69	28.50	85	0	1551	24	0	0	0	0	1660	307.28	13.38	7.27	0.77	17.18	12.05	28.06	1.07	24.23	20.45
7/25/2016 11:59:30 AM	7.20	0.22	0.00	0.00	0.00	0.00	0.00	0.00	7.42	100.00	0.78	28.39	3816	223	0	0	0	0	0	0	4039	300.53	3.04	1.43	10.29	23.25	12.08	34.31	1.08	24.27	20.46
7/25/2016 11:59:32 AM	5.33	0.89	0.00	0.98	0.00	0.00	0.00	0.00	7.20	100.00	0.86	28.41	2827	888	0	29	0	0	0	0	3744	318.21	8.59	2.21	13.86	23.72	17.81	28.55	1.08	24.32	20.46
7/25/2016 11:59:35 AM	4.37	0.07	0.69	1.11	0.00	0.00	0.00	0.00	6.25	100.00	0.94	28.48	2316	75	313	33	0	0	0	0	2737	319.54	9.43	2.03	10.30	19.80	13.10	31.19	1.09	24.36	20.51
7/25/2016 11:59:38 AM	1.72	0.00	2.08	1.09	0.00	0.00	0.00	0.00	4.89	100.00	0.98	28.46	914	0	935	33	0	0	0	0	1881	321.78	11.39	4.39	6.17	16.09	11.94	28.47	1.10	24.40	20.52
7/25/2016 11:59:41 AM	3.86	0.18	0.00	1.94	0.00	0.00	0.00	0.00	5.98	100.00	1.03	28.30	2045	181	0	58	0	0	0	0	2284	315.82	9.47	5.11	11.56	18.94	14.71	28.06	1.10	24.44	20.50
7/25/2016 11:59:44 AM	3.73	0.00	2.05	0.23	0.00	0.00	0.00	0.00	6.01	100.00	1.10	28.21	1978	0	920	7	0	0	0	0	2906	320.10	10.43	1.03	8.00	21.28	10.81	31.59	1.11	24.50	20.54
7/25/2016 11:59:46 AM	4.23	0.47	0.66	0.98	0.00	0.00	0.00	0.06	6.34	100.00	1.18	28.36	2239	475	298	29	0	0	0	0	3042	317.40	9.83	0.80	10.63	23.66	16.07	28.06	1.12	24.52	20.55
7/25/2016 11:59:49 AM	5.03	0.04	0.00	1.20	0.00	0.00	0.00	0.00	6.27	100.00	1.25	28.37	2666	37	0	36	0	0	0	0	2738	321.51	7.81	4.58	10.02	21.24	12.01	28.92	1.12	24.57	20.55
7/25/2016 11:59:52 AM	3.96	0.44	1.63	0.59	0.00	0.00	0.00	0.00	6.62	100.00	1.32	28.17	2098	438	736	18	0	0	0	0	3290	318.12	10.92	1.68	11.77	22.11	14.14	31.83	1.13	24.62	20.59
7/25/2016 11:59:55 AM	4.94	0.00	0.00	1.38	0.00	0.00	0.00	0.02	6.33	100.00	1.41	28.20	2621	0	0	41	0	0	0	0	2662	322.03	8.37	2.41	8.37	22.97	14.62	28.79	1.14	24.64	20.63
7/25/2016 11:59:58 AM	3.35	0.78	1.89	0.00	0.00	0.00	0.00	0.09	6.01	100.00	1.47	28.25	1774	777	850	0	0	0	0	0	3401	316.46	10.46	-0.73	12.41	23.82	12.85	27.06	1.14	24.69	20.64
7/25/2016 12:00:00 PM	2.67	0.59	3.08	0.00	0.00	0.00	0.00	0.00	6.33	100.00	1.53	28.19	1414	586	1385	0	0	0	0	0	3386	317.36	12.94	2.73	11.71	23.93	12.81	30.65	1.15	24.73	20.63
7/25/2016 12:00:03 PM	4.99	0.16	0.83	1.76	0.00	0.00	0.00	0.00	7.74	100.00	1.61	28.15	2643	160	374	53	0	0	0	0	3229	314.70	12.72	3.62	12.85	26.15	17.30	37.14	1.16	24.77	20.64
7/25/2016 12:00:06 PM	4.82	0.62	1.25	0.84	0.00	0.00	0.00	0.00	7.54	100.00	1.69	27.99	2556	619	564	25	0	0	0	0	3764	315.18	11.48	2.70	13.54	25.89	16.61	33.72	1.17	24.81	20.67
7/25/2016 12:00:09 PM	4.33	0.38	2.21	0.76	0.00	0.00	0.00	0.00	7.68	100.00	1.76	27.92	2296	377	993	23	0	0	0	0	3690	316.41	13.56	3.49	13.24	26.98	15.22	37.52	1.17	24.85	20.68
7/25/2016 12:00:11 PM	2.71	0.54	2.48	1.51	0.00	0.00	0.00	0.00	7.23	100.00	1.82	27.89	1437	538	1115	45	0	0	0	0	3135	317.90	15.62	5.91	15.54	23.99	16.84	36.68	1.18	24.90	20.71
7/25/2016 12:00:14 PM	5.99	0.02	0.56	1.98	0.00	0.00	0.00	0.00	8.55	100.00	1.93	27.73	3176	19	252	59	0	0	0	0	3506	318.14	13.08	5.58	13.71	29.23	17.25	40.99	1.19	24.94	20.70
7/25/2016 12:00:17 PM	4.64	0.51	2.34	1.55	0.00	0.00	0.00	0.00	9.03	100.00	1.99	27.49	2458	507	1053	46	0	0	0	0	4064	313.72	16.82	6.10	17.15	30.72	18.95	44.33	1.19	24.98	20.75
7/25/2016 12:00:20 PM	3.50	1.20	4.06	0.00	0.00	0.00	0.00	0.00	8.76	100.00	2.07	27.32	1857	1196	1829	0	0	0	0	0	4882	318.06	17.24	2.89	18.32	29.63	18.71	42.40	1.20	25.00	20.76
7/25/2016 12:00:23 PM	4.80	0.37	2.15	2.01	0.00	0.00	0.00	0.00	9.33	100.00	2.16	27.19	2543	374	968	60	0	0	0	0	3945	314.74	18.00	6.04	16.27	33.95	20.93	44.58	1.21	25.04	20.80
7/25/2016 12:00:25 PM	4.30	0.84	2.53	1.75	0.00	0.00	0.00	0.00	9.42	100.00	2.28	26.85	2277	841	1140	52	0	0	0	0	4310	310.63	18.47	3.98	18.49	32.02	23.22	44.61	1.22	25.08	20.78
7/25/2016 12:00:28 PM	4.24	0.61	3.37	1.82	0.00	0.00	0.00	0.00	10.04	100.00	2.37	26.69	2246	609	1516	55	0	0	0	0	4426	311.49	21.04	7.31	19.02	36.30	21.95	49.24	1.23	25.12	20.81
7/25/2016 12:00:31 PM	5.65	1.49	2.69	1.74	0.00	0.00	0.00	0.00	11.57	100.00	2.46	26.55	2994	1491	1210	52	0	0	0	0	5747	312.47	20.43	7.27	25.18	38.03	26.99	52.04	1.24	25.14	20.82
7/25/2016 12:00:34 PM	5.48	0.94	2.01	3.10	0.00	0.00	0.00	0.00	11.54	100.00	2.54	26.42	2905	942	906	93	0	0	0	0	4846	313.80	22.19	8.54	23.42	39.34	28.82	53.13	1.25	25.19	20.83
7/25/2016 12:00:37 PM	4.54	1.43	3.13	3.10	0.00	0.00	0.00	0.00	12.21	100.00	2.69	26.14	2408	1434	1409	93	0	0	0	0	5344	313.87	25.61	10.49	27.19	42.28	31.63	55.44	1.26	25.22	20.89
7/25/2016 12:00:39 PM	6.41	1.24	2.78	2.75	0.00	0.00	0.00	0.00	13.19	100.00	2.81	25.73	3399	1243	1253	82	0	0	0	0	5977	310.74	24.76	7.99	25.85	46.42	31.88	59.42	1.28	25.26	20.87
7/25/2016 12:00:42 PM	6.95	1.59	4.41	1.86	0.00	0.00	0.00	0.00	14.81	100.00	2.90	25.51	3683	1586	1986	56	0	0	0	0	7312	310.02	27.92	7.11	28.71	52.66	33.34	67.64	1.28	25.28	20.90
7/25/2016 12:00:45 PM	7.56	1.53	4.19	1.70	0.00	0.00	0.00	0.00	14.98	100.00	2.99	25.22	4006	1527	1886	51	0	0	0	0	7470	310.23	26.99	7.75	28.61	53.24	32.15	68.18	1.29	25.33	20.91
7/25/2016 12:00:48 PM	11.52	1.70	4.51	2.16	0.00	0.00	0.00	0.12	19.90	100.00	3.11	24.75	6104	1700	2032	65	0	0	0	0	9901	310.01	33.31	9.03	35.37	73.54	40.37	91.20	1.30	25.36	20.93
7/25/2016 12:00:51 PM	13.46	1.50	6.95	2.76	0.00	0.00	0.00	0.05	24.67	100.00	3.20	24.66	7136	1497	3126	83	0	0	0	0	11842	306.85	44.27	12.63	41.53	91.48	46.81	117.08	1.31	25.37	20.93
7/25/2016 12:00:53 PM	21.18	2.35	11.48	2.26	0.00	0.00	0.00	0.11	37.26	100.00	3.30	24.27	11226	2348	5164	68	0	0	0	0	18805	303.79	64.57	15.07	60.28	139.56	65.29	177.61	1.32	25.40	20.97
7/25/2016 12:00:56 PM	21.64	2.76	14.38	2.05	0.00	0.00	0.00	0.09	40.83	100.00	3.39	23.87	11468	2762	6471	61	0	0	0	0	20761	303.48	74.25	15.16	66.50	153.68	72.32	196.22	1.33	25.43	20.95
7/25/2016 12:00:59 PM	16.36	1.13	11.89	3.47	0.00	0.00	0.00	0.00	32.85	100.00	3.46	23.84	8672	1129	5350	104	0	0	0	0	15256	304.76	64.66	13.34	50.77	122.98	59.73	164.37	1.34	25.47	21.00
7/25/2016 12:01:02 PM	12.89	1.16	10.23	2.42	0.00	0.00	0.00	0.00	26.69	100.00	3.54	23.15	6831	1157	4602	73	0	0	0	0	12663	308.20	52.96	12.05	42.52	100.49	48.27	132.81	1.35	25.49	20.99
7/25/2016 12:01:04 PM	11.37	0.73	9.34	2.86	0.00	0.00	0.00	0.00	24.31	100.00	3.66	22.57	6028	734	4203	86	0	0	0	0	11051	308.06	49.86	10.71	38.20	90.83	45.06	123.67	1.36	25.51	21.04
7/25/2016 12:01:07 PM	9.39	0.73	8.39	2.53	0.00	0.00	0.00	0.00	21.04	100.00	3.75	22.46	4975	730	3773	76	0	0	0	0	9555	309.97	44.01	10.96	34.18	78.92	39.24	106.95	1.37	25.54	21.03
7/25/2016 12:01:10 PM	9.13	0.65	7.22	2.65	0.00	0.00	0.00	0.00	19.65	100.00	3.82	22.71	4839	651	3249	79	0	0	0	0	8818	311.47	40.36	10.16	31.75	73.52	37.53	98.91	1.37	25.55	21.04
