Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
7/25/2016 9:19:04 AM	3.10	0.49	1.50	0.43	0.00	0.00	0.00	0.00	5.52	100.00	0.47	28.12	1644	494	675	13	0	0	0	0	2825	310.88	9.43	2.68	10.32	19.85	12.27	25.02	1.05	23.35	20.40
7/25/2016 9:19:07 AM	2.01	0.30	1.21	1.28	0.00	0.00	0.00	0.14	4.79	100.00	0.68	28.22	1063	301	543	38	0	0	0	0	1945	314.56	10.66	4.78	9.85	20.79	12.67	23.68	1.07	23.38	20.42
7/25/2016 9:19:10 AM	3.29	0.69	1.49	0.06	0.00	0.00	0.00	0.11	5.53	100.00	0.77	28.28	1744	685	670	2	0	0	0	0	3102	319.38	8.95	1.92	10.63	22.36	12.36	24.87	1.08	23.43	20.40
7/25/2016 9:19:12 AM	3.16	0.55	1.49	0.26	0.00	0.00	0.00	0.11	5.45	100.00	0.88	28.20	1675	546	671	8	0	0	0	0	2899	316.23	9.19	3.94	10.69	22.22	11.23	25.20	1.09	23.48	20.41
7/25/2016 9:19:15 AM	2.61	0.16	0.28	1.83	0.00	0.00	0.00	0.17	4.87	100.00	0.95	28.16	1383	159	124	55	0	0	0	0	1721	318.67	9.96	3.85	9.20	21.07	14.26	23.69	1.09	23.51	20.43
7/25/2016 9:19:18 AM	3.17	0.27	0.67	1.13	0.00	0.00	0.00	0.15	5.25	100.00	1.00	28.16	1680	272	303	34	0	0	0	0	2289	318.66	9.43	3.32	9.48	22.31	13.04	25.05	1.10	23.55	20.48
7/25/2016 9:19:21 AM	3.42	0.34	1.05	0.60	0.00	0.00	0.00	0.09	5.40	100.00	1.07	28.08	1812	336	472	18	0	0	0	0	2638	316.60	8.90	3.06	9.49	21.66	11.74	25.16	1.10	23.58	20.46
7/25/2016 9:19:24 AM	3.08	0.40	1.39	0.61	0.00	0.00	0.00	0.10	5.48	100.00	1.15	27.89	1632	402	626	18	0	0	0	0	2677	316.67	9.89	3.27	10.05	22.30	12.28	25.86	1.11	23.63	20.48
7/25/2016 9:19:26 AM	3.46	0.00	0.37	1.46	0.00	0.00	0.00	0.09	5.29	100.00	1.23	27.89	1833	0	166	44	0	0	0	0	2044	315.28	9.20	3.69	8.03	21.14	12.82	25.50	1.12	23.66	20.49
