Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
7/27/2016 5:38:31 PM	3.61	0.34	2.41	1.35	0.00	0.00	0.00	0.00	7.72	100.00	0.28	27.00	1915	342	1086	41	0	0	0	0	3384	291.71	15.72	3.96	13.59	27.86	17.42	38.13	1.03	25.32	24.23
7/27/2016 5:38:33 PM	3.46	0.46	2.21	1.28	0.00	0.00	0.00	0.00	7.41	100.00	0.37	27.07	1833	460	995	38	0	0	0	0	3326	292.47	14.76	4.05	13.84	26.10	17.07	36.01	1.04	25.35	24.23
7/27/2016 5:38:36 PM	3.78	0.37	2.02	1.51	0.00	0.00	0.00	0.00	7.67	100.00	0.42	27.06	2002	365	909	45	0	0	0	0	3322	292.03	15.06	4.62	13.90	27.29	17.49	37.25	1.04	25.37	24.22
7/27/2016 5:38:39 PM	3.86	0.34	1.96	1.59	0.00	0.00	0.00	0.00	7.75	100.00	0.47	26.95	2047	336	883	48	0	0	0	0	3314	293.50	15.13	4.71	14.10	27.12	17.57	38.03	1.05	25.39	24.25
7/27/2016 5:38:42 PM	4.14	0.28	1.70	1.71	0.00	0.00	0.00	0.00	7.82	100.00	0.61	26.86	2193	275	763	51	0	0	0	0	3283	293.55	14.82	4.79	13.92	27.31	17.66	38.19	1.06	25.43	24.23
7/27/2016 5:38:44 PM	4.03	0.42	1.93	1.53	0.00	0.00	0.00	0.00	7.92	100.00	0.67	26.83	2137	424	869	46	0	0	0	0	3476	293.05	15.03	4.18	14.68	26.99	18.11	38.67	1.07	25.45	24.24
7/27/2016 5:38:47 PM	3.96	0.30	2.01	1.74	0.00	0.00	0.00	0.00	8.01	100.00	0.74	26.83	2101	295	904	52	0	0	0	0	3352	292.15	15.85	4.70	14.29	28.18	18.32	39.48	1.07	25.47	24.25
7/27/2016 5:38:50 PM	3.74	0.32	1.90	1.91	0.00	0.00	0.00	0.00	7.86	100.00	0.82	26.75	1984	317	854	57	0	0	0	0	3212	292.00	15.93	4.95	14.25	27.94	18.79	38.31	1.08	25.49	24.25
7/27/2016 5:38:53 PM	4.14	0.32	1.62	1.86	0.00	0.00	0.00	0.00	7.95	100.00	0.87	26.68	2194	322	730	56	0	0	0	0	3302	292.31	15.15	4.45	14.37	27.32	18.71	38.68	1.09	25.52	24.21
7/27/2016 5:38:56 PM	3.68	0.21	1.95	1.85	0.00	0.00	0.00	0.00	7.69	100.00	0.91	26.65	1951	214	877	55	0	0	0	0	3098	292.16	15.73	4.33	13.52	27.13	18.13	38.37	1.09	25.54	24.26
7/27/2016 5:38:58 PM	4.02	0.24	1.74	1.93	0.00	0.00	0.00	0.00	7.93	100.00	0.96	26.64	2131	235	784	58	0	0	0	0	3209	292.13	15.59	4.72	13.99	27.78	18.51	39.00	1.09	25.56	24.28
7/27/2016 5:39:01 PM	3.81	0.18	1.73	2.05	0.00	0.00	0.00	0.00	7.77	100.00	1.06	26.62	2021	179	779	61	0	0	0	0	3040	291.89	15.74	4.71	13.61	27.40	18.53	38.52	1.10	25.58	24.27
7/27/2016 5:39:04 PM	3.82	0.32	2.03	1.66	0.00	0.00	0.00	0.00	7.84	100.00	1.11	26.66	2027	323	911	50	0	0	0	0	3311	292.63	15.56	4.22	14.15	27.20	18.14	38.80	1.11	25.61	24.28
7/27/2016 5:39:07 PM	3.72	0.31	1.80	1.96	0.00	0.00	0.00	0.00	7.79	100.00	1.26	26.65	1972	312	811	59	0	0	0	0	3154	292.58	15.71	5.26	14.33	27.46	18.61	37.97	1.12	25.64	24.26
