Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
7/27/2016 7:49:21 PM	4.27	0.42	1.81	1.57	0.00	0.00	0.00	0.00	8.07	100.00	0.29	27.07	2265	417	812	47	0	0	0	0	3541	288.92	14.94	4.26	14.80	27.49	18.31	39.14	1.03	22.10	19.31
7/27/2016 7:49:24 PM	3.90	0.43	2.05	1.40	0.00	0.00	0.00	0.00	7.78	100.00	0.55	27.08	2068	426	925	42	0	0	0	0	3461	294.46	14.91	4.28	14.37	26.94	17.52	37.95	1.05	22.14	19.30
7/27/2016 7:49:27 PM	4.04	0.39	1.78	1.52	0.00	0.00	0.00	0.00	7.72	100.00	0.72	27.14	2142	390	799	45	0	0	0	0	3376	297.29	14.47	4.12	14.15	26.47	17.65	37.51	1.07	22.20	19.32
7/27/2016 7:49:30 PM	3.94	0.43	1.99	1.42	0.00	0.00	0.00	0.00	7.78	100.00	0.80	27.09	2088	429	894	43	0	0	0	0	3453	297.77	14.81	3.95	14.35	26.68	17.73	37.95	1.08	22.25	19.32
7/27/2016 7:49:32 PM	3.60	0.42	2.23	1.39	0.00	0.00	0.00	0.00	7.64	100.00	0.94	27.05	1906	424	1003	42	0	0	0	0	3374	296.62	15.25	3.97	14.13	26.66	17.60	37.57	1.09	22.29	19.33
7/27/2016 7:49:35 PM	3.93	0.40	2.02	1.46	0.00	0.00	0.00	0.00	7.82	100.00	1.03	26.99	2082	402	911	44	0	0	0	0	3439	296.27	15.00	4.12	14.43	26.72	17.69	38.47	1.10	22.34	19.34
7/27/2016 7:49:38 PM	4.07	0.36	2.06	1.32	0.00	0.00	0.00	0.00	7.82	100.00	1.16	27.02	2157	362	927	40	0	0	0	0	3486	297.05	14.70	4.22	14.15	26.87	16.92	38.62	1.11	22.37	19.32
7/27/2016 7:49:41 PM	3.99	0.38	1.96	1.43	0.00	0.00	0.00	0.00	7.76	100.00	1.27	27.07	2116	379	881	43	0	0	0	0	3419	296.88	14.73	4.23	14.15	26.79	17.37	38.00	1.12	22.42	19.37
7/27/2016 7:49:44 PM	4.12	0.43	1.88	1.45	0.00	0.00	0.00	0.00	7.87	100.00	1.36	26.90	2182	431	845	43	0	0	0	0	3502	296.39	14.68	3.83	14.44	26.84	17.95	38.26	1.13	22.47	19.33
7/27/2016 7:49:46 PM	3.92	0.38	2.07	1.42	0.00	0.00	0.00	0.00	7.79	100.00	1.43	26.87	2076	384	932	43	0	0	0	0	3434	297.21	15.02	4.26	14.11	27.26	17.47	38.06	1.14	22.52	19.38
7/27/2016 7:49:49 PM	4.11	0.27	1.79	1.70	0.00	0.00	0.00	0.00	7.87	100.00	1.52	26.77	2179	268	805	51	0	0	0	0	3303	297.03	15.02	4.44	14.06	27.00	17.75	39.00	1.15	22.56	19.42
7/27/2016 7:49:52 PM	4.02	0.34	1.96	1.67	0.00	0.00	0.00	0.00	7.99	100.00	1.61	26.70	2128	343	884	50	0	0	0	0	3405	297.03	15.51	4.27	14.48	27.50	18.32	39.42	1.16	22.59	19.41
7/27/2016 7:49:55 PM	4.03	0.46	1.88	1.55	0.00	0.00	0.00	0.00	7.92	100.00	1.71	26.62	2134	455	847	47	0	0	0	0	3482	296.03	14.97	4.53	14.87	27.06	18.16	38.33	1.17	22.64	19.40
7/27/2016 7:49:57 PM	4.05	0.46	2.07	1.45	0.00	0.00	0.00	0.00	8.02	100.00	1.82	26.60	2145	458	931	44	0	0	0	0	3578	295.53	15.25	4.48	14.97	27.56	18.03	39.10	1.18	22.69	19.42
7/27/2016 7:50:00 PM	3.88	0.48	2.11	1.49	0.00	0.00	0.00	0.00	7.95	100.00	1.92	26.56	2057	477	947	45	0	0	0	0	3526	294.54	15.44	4.38	14.85	27.63	18.32	38.50	1.19	22.73	19.44
7/27/2016 7:50:03 PM	3.76	0.51	2.10	1.57	0.00	0.00	0.00	0.00	7.94	100.00	1.99	26.40	1994	509	946	47	0	0	0	0	3495	294.26	15.60	4.74	15.22	27.39	18.54	38.43	1.20	22.77	19.43
7/27/2016 7:50:06 PM	3.50	0.62	2.19	1.42	0.00	0.00	0.00	0.00	7.72	100.00	2.08	26.29	1853	619	984	43	0	0	0	0	3498	294.22	15.35	4.73	15.17	27.12	18.43	36.56	1.20	22.80	19.47
7/27/2016 7:50:09 PM	3.76	0.51	2.04	1.53	0.00	0.00	0.00	0.00	7.84	100.00	2.17	26.20	1992	507	918	46	0	0	0	0	3463	294.36	15.33	4.65	14.85	27.47	18.41	37.53	1.21	22.85	19.45
7/27/2016 7:50:11 PM	3.33	0.61	2.24	1.49	0.00	0.00	0.00	0.00	7.67	100.00	2.27	26.17	1766	610	1007	45	0	0	0	0	3428	293.14	15.65	4.92	15.13	27.22	18.60	36.37	1.22	22.89	19.50
7/27/2016 7:50:14 PM	3.42	0.71	2.44	1.36	0.00	0.00	0.00	0.00	7.93	100.00	2.34	26.15	1812	709	1099	41	0	0	0	0	3661	293.17	16.02	4.94	15.87	28.00	18.92	37.44	1.23	22.94	19.49
7/27/2016 7:50:17 PM	3.62	0.52	2.17	1.59	0.00	0.00	0.00	0.00	7.91	100.00	2.41	26.08	1919	524	977	48	0	0	0	0	3468	293.22	15.91	4.82	15.00	28.14	18.88	37.76	1.24	22.98	19.53
7/27/2016 7:50:20 PM	3.44	0.58	2.20	1.54	0.00	0.00	0.00	0.00	7.76	100.00	2.51	26.03	1824	580	989	46	0	0	0	0	3439	292.69	15.74	4.96	15.12	27.57	18.72	36.84	1.25	23.01	19.54
7/27/2016 7:50:23 PM	3.27	0.65	2.29	1.42	0.00	0.00	0.00	0.00	7.63	100.00	2.60	25.99	1731	651	1029	43	0	0	0	0	3454	293.29	15.61	4.70	15.06	27.29	18.68	35.83	1.25	23.06	19.54
7/27/2016 7:50:25 PM	3.51	0.62	2.15	1.53	0.00	0.00	0.00	0.00	7.80	100.00	2.69	25.95	1859	615	969	46	0	0	0	0	3489	293.29	15.62	4.92	15.30	27.58	18.86	36.80	1.26	23.11	19.55
7/27/2016 7:50:28 PM	3.42	0.68	2.12	1.52	0.00	0.00	0.00	0.00	7.74	100.00	2.77	25.93	1815	677	955	46	0	0	0	0	3492	292.64	15.51	4.94	15.47	27.35	19.06	36.11	1.27	23.15	19.58
7/27/2016 7:50:31 PM	3.42	0.69	2.25	1.60	0.00	0.00	0.00	0.00	7.96	100.00	2.86	25.91	1814	687	1013	48	0	0	0	0	3561	292.56	16.21	5.28	15.87	28.38	19.59	37.14	1.28	23.19	19.57
7/27/2016 7:50:34 PM	3.28	0.69	2.39	1.61	0.00	0.00	0.00	0.00	7.96	100.00	2.96	25.88	1739	688	1074	48	0	0	0	0	3549	292.59	16.56	5.49	15.98	28.53	19.59	37.37	1.29	23.23	19.62
7/27/2016 7:50:37 PM	3.43	0.57	2.11	1.77	0.00	0.00	0.00	0.00	7.88	100.00	2.99	25.86	1818	571	949	53	0	0	0	0	3391	292.97	16.22	5.33	15.32	28.30	19.53	37.09	1.29	23.27	19.59
7/27/2016 7:50:39 PM	3.29	0.72	2.28	1.63	0.00	0.00	0.00	0.00	7.91	100.00	3.10	25.81	1742	719	1024	49	0	0	0	0	3533	292.58	16.34	5.40	16.02	28.26	19.78	36.79	1.30	23.30	19.63
7/27/2016 7:50:42 PM	3.41	0.78	2.35	1.66	0.00	0.00	0.00	0.00	8.19	100.00	3.14	25.78	1805	778	1059	50	0	0	0	0	3691	292.51	16.83	5.67	16.68	29.32	20.43	37.85	1.31	23.35	19.66
7/27/2016 7:50:45 PM	3.59	0.68	2.26	1.77	0.00	0.00	0.00	0.00	8.30	100.00	3.20	25.74	1902	685	1016	53	0	0	0	0	3656	292.67	16.92	5.67	16.51	29.55	20.43	38.82	1.31	23.39	19.64
7/27/2016 7:50:48 PM	3.42	0.80	2.40	1.57	0.00	0.00	0.00	0.00	8.20	100.00	3.31	25.70	1814	805	1082	47	0	0	0	0	3747	292.80	16.74	5.60	16.80	29.20	20.26	37.93	1.32	23.42	19.65
7/27/2016 7:50:50 PM	3.43	0.75	2.27	1.68	0.00	0.00	0.00	0.00	8.13	100.00	3.40	25.69	1816	754	1019	51	0	0	0	0	3640	292.30	16.66	5.61	16.34	29.39	20.40	37.28	1.33	23.47	19.69
7/27/2016 7:50:53 PM	3.41	0.80	2.39	1.68	0.00	0.00	0.00	0.01	8.28	100.00	3.51	25.67	1806	803	1076	50	0	0	0	0	3736	292.36	17.12	5.80	16.83	30.10	20.78	38.02	1.34	23.50	19.71
7/27/2016 7:50:56 PM	3.53	0.79	2.32	1.64	0.00	0.00	0.00	0.00	8.28	100.00	3.59	25.58	1869	791	1045	49	0	0	0	0	3754	292.62	16.81	5.69	16.69	29.89	20.57	37.88	1.35	23.55	19.70
7/27/2016 7:50:59 PM	3.29	0.76	2.20	1.73	0.00	0.00	0.00	0.03	7.98	100.00	3.68	25.49	1744	761	989	52	0	0	0	0	3546	292.19	16.60	5.86	16.34	29.57	20.29	36.84	1.36	23.58	19.73
