Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
8/3/2016 8:12:42 PM	5.72	1.45	4.07	2.06	0.00	0.00	0.00	0.00	13.30	100.00	0.28	27.19	3033	1449	1831	62	0	0	0	0	6375	295.72	26.10	6.53	27.49	44.50	31.11	63.11	1.03	21.31	18.24
8/3/2016 8:12:45 PM	5.68	1.33	3.97	2.10	0.00	0.00	0.00	0.00	13.07	100.00	0.43	27.29	3013	1327	1784	63	0	0	0	0	6187	296.98	25.72	6.67	26.68	43.93	30.27	62.41	1.04	21.36	18.21
8/3/2016 8:12:48 PM	5.72	1.35	4.27	1.95	0.00	0.00	0.00	0.00	13.30	100.00	0.55	27.34	3033	1353	1921	59	0	0	0	0	6366	297.83	26.28	6.57	26.97	44.93	30.32	63.73	1.05	21.41	18.24
8/3/2016 8:12:51 PM	5.58	1.28	4.13	2.14	0.00	0.00	0.00	0.00	13.14	100.00	0.72	27.27	2960	1284	1857	64	0	0	0	0	6164	298.04	26.30	6.58	26.53	44.49	30.49	63.08	1.07	21.46	18.26
8/3/2016 8:12:53 PM	5.61	1.40	4.20	2.04	0.00	0.00	0.00	0.00	13.25	100.00	0.89	27.24	2974	1395	1890	61	0	0	0	0	6320	297.98	26.31	6.56	27.17	44.58	30.77	63.26	1.09	21.50	18.23
8/3/2016 8:12:56 PM	5.68	1.46	4.06	2.08	0.00	0.00	0.00	0.00	13.27	100.00	1.02	27.15	3008	1458	1825	62	0	0	0	0	6353	297.54	26.07	6.76	27.57	44.38	31.04	62.87	1.10	21.55	18.24
8/3/2016 8:12:59 PM	5.85	1.37	4.06	2.12	0.00	0.00	0.00	0.00	13.40	100.00	1.19	27.11	3101	1374	1826	64	0	0	0	0	6365	297.76	26.31	6.63	27.17	45.33	31.11	63.64	1.12	21.58	18.23
8/3/2016 8:13:02 PM	5.78	1.37	4.23	1.92	0.00	0.00	0.00	0.00	13.30	100.00	1.31	27.10	3063	1373	1905	58	0	0	0	0	6399	297.71	26.12	6.56	27.01	44.94	30.29	63.56	1.13	21.64	18.25
8/3/2016 8:13:05 PM	5.87	1.62	4.49	1.88	0.00	0.00	0.00	0.00	13.86	100.00	1.45	27.20	3111	1625	2021	56	0	0	0	0	6813	297.52	27.10	7.01	29.12	46.29	31.80	65.62	1.14	21.69	18.29
8/3/2016 8:13:07 PM	5.70	1.16	4.08	2.27	0.00	0.00	0.00	0.00	13.20	100.00	1.59	27.17	3022	1157	1834	68	0	0	0	0	6081	297.88	26.47	6.65	26.28	44.49	30.28	64.24	1.16	21.72	18.34
8/3/2016 8:13:10 PM	5.96	1.24	4.61	2.17	0.00	0.00	0.00	0.00	13.98	100.00	1.72	27.12	3158	1244	2072	65	0	0	0	0	6539	297.74	28.14	6.78	27.70	47.25	31.39	68.35	1.17	21.79	18.28
8/3/2016 8:13:13 PM	5.99	1.31	4.57	2.14	0.00	0.00	0.00	0.00	14.00	100.00	1.86	27.07	3172	1305	2058	64	0	0	0	0	6600	297.24	28.02	7.04	27.99	47.43	31.49	67.96	1.18	21.80	18.33
8/3/2016 8:13:16 PM	5.69	1.26	4.41	2.11	0.00	0.00	0.00	0.00	13.47	100.00	2.03	27.31	3018	1257	1983	63	0	0	0	0	6321	297.43	27.13	6.74	26.94	45.71	30.63	65.30	1.20	21.85	18.36
8/3/2016 8:13:19 PM	5.79	1.42	4.25	1.95	0.00	0.00	0.00	0.00	13.41	100.00	2.15	27.24	3067	1421	1913	59	0	0	0	0	6459	296.86	26.32	6.58	27.50	44.96	30.71	64.07	1.21	21.91	18.32
8/3/2016 8:13:21 PM	5.71	1.23	4.32	2.12	0.00	0.00	0.00	0.00	13.37	100.00	2.28	27.02	3024	1227	1943	64	0	0	0	0	6257	297.58	26.84	6.58	26.66	45.27	30.43	64.91	1.22	21.96	18.33
8/3/2016 8:13:24 PM	5.93	1.43	4.32	1.75	0.00	0.00	0.00	0.00	13.44	100.00	2.29	27.07	3143	1428	1946	53	0	0	0	0	6570	297.15	26.03	6.11	27.30	45.04	30.29	64.23	1.22	22.03	18.34
8/3/2016 8:13:27 PM	5.87	1.26	4.32	2.13	0.00	0.00	0.00	0.00	13.59	100.00	2.58	27.24	3114	1263	1946	64	0	0	0	0	6387	297.86	27.06	6.83	27.14	46.02	30.77	65.74	1.25	22.03	18.41
