Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
8/13/2016 6:42:07 AM	0.00	0.75	0.00	0.06	0.00	0.00	0.00	0.00	0.81	66.16	0.17	22.79	0	755	0	2	0	0	0	0	756	185.70	0.50	0.63	4.72	0.88	7.67	0.35	1.02	21.41	18.28
8/13/2016 6:42:10 AM	1.55	0.55	0.63	0.21	0.00	0.00	0.00	0.00	2.95	81.05	0.31	24.83	824	554	282	6	0	0	0	0	1665	227.51	4.81	0.59	6.82	9.95	9.32	11.57	1.03	21.46	18.29
8/13/2016 6:42:12 AM	1.68	0.14	1.50	0.36	0.00	0.00	0.00	0.10	3.68	100.00	0.77	27.07	889	144	675	11	0	0	0	0	1718	319.80	8.14	1.89	6.26	16.80	8.78	18.95	1.08	21.52	18.26
8/13/2016 6:42:15 AM	1.96	0.18	1.31	0.35	0.00	0.00	0.00	0.09	3.80	100.00	0.86	27.07	1037	179	590	10	0	0	0	0	1817	317.16	7.70	1.96	6.53	16.73	8.88	18.92	1.08	21.53	18.41
8/13/2016 6:42:18 AM	2.06	0.14	1.39	0.37	0.00	0.00	0.00	0.07	3.96	100.00	0.94	26.90	1093	141	624	11	0	0	0	0	1869	317.68	7.96	2.15	6.59	16.87	8.89	19.69	1.09	21.57	18.30
8/13/2016 6:42:21 AM	1.79	0.23	1.74	0.25	0.00	0.00	0.00	0.08	4.01	100.00	0.98	26.83	947	226	785	8	0	0	0	0	1965	316.95	8.66	1.91	6.96	17.38	9.23	20.12	1.10	21.63	18.36
8/13/2016 6:42:24 AM	2.02	0.18	1.50	0.30	0.00	0.00	0.00	0.08	3.99	100.00	1.04	26.72	1070	177	675	9	0	0	0	0	1931	315.82	8.15	1.83	6.67	17.25	9.08	19.93	1.10	21.71	18.32
8/13/2016 6:42:26 AM	1.96	0.17	1.44	0.33	0.00	0.00	0.00	0.08	3.89	100.00	1.13	26.70	1040	166	646	10	0	0	0	0	1861	318.13	7.97	2.06	6.60	16.84	8.86	19.43	1.11	21.71	18.32
8/13/2016 6:42:29 AM	1.96	0.20	1.40	0.35	0.00	0.00	0.00	0.05	3.92	100.00	1.27	26.99	1040	199	632	11	0	0	0	0	1881	319.21	7.88	2.16	6.81	16.30	9.02	19.12	1.12	21.74	18.41
8/13/2016 6:42:32 AM	1.92	0.15	1.38	0.36	0.00	0.00	0.00	0.07	3.81	100.00	1.33	27.00	1016	152	623	11	0	0	0	0	1801	320.46	7.79	2.25	6.51	16.35	8.64	18.97	1.13	21.78	18.44
8/13/2016 6:42:35 AM	1.83	0.18	1.56	0.31	0.00	0.00	0.00	0.06	3.88	100.00	1.42	26.89	972	175	703	9	0	0	0	0	1859	318.83	8.16	2.29	6.71	16.59	8.73	19.39	1.14	21.85	18.34
8/13/2016 6:42:38 AM	1.96	0.16	1.37	0.34	0.00	0.00	0.00	0.07	3.82	100.00	1.49	26.91	1041	156	615	10	0	0	0	0	1822	315.87	7.73	2.02	6.45	16.35	8.73	18.97	1.15	21.89	18.32
8/13/2016 6:42:40 AM	1.75	0.16	1.40	0.36	0.00	0.00	0.00	0.08	3.67	100.00	1.64	26.90	929	159	628	11	0	0	0	0	1728	321.55	7.78	2.12	6.37	16.15	8.62	18.46	1.16	21.92	18.37
8/13/2016 6:42:43 AM	1.96	0.08	1.17	0.40	0.00	0.00	0.00	0.06	3.61	100.00	1.70	26.94	1041	80	525	12	0	0	0	0	1658	324.36	7.18	1.99	5.85	15.47	8.25	18.00	1.17	21.96	18.43
8/13/2016 6:42:46 AM	2.10	0.10	1.15	0.32	0.00	0.00	0.00	0.05	3.67	100.00	1.72	27.01	1114	103	518	10	0	0	0	0	1744	324.69	6.93	1.99	5.95	15.26	8.09	17.95	1.17	22.00	18.44
8/13/2016 6:42:49 AM	2.07	0.17	1.24	0.29	0.00	0.00	0.00	0.05	3.78	100.00	1.78	27.14	1099	170	559	9	0	0	0	0	1836	324.20	7.23	1.98	6.39	15.76	8.50	18.36	1.17	22.06	18.47
8/13/2016 6:42:51 AM	1.89	0.14	1.30	0.24	0.00	0.00	0.00	0.07	3.57	100.00	1.88	27.11	1003	140	586	7	0	0	0	0	1736	324.20	7.13	1.73	5.92	15.43	8.11	17.75	1.18	22.10	18.46
8/13/2016 6:42:54 AM	2.06	0.04	1.09	0.42	0.00	0.00	0.00	0.06	3.61	100.00	2.00	27.02	1092	39	490	13	0	0	0	0	1634	325.37	7.02	1.96	5.64	15.32	8.13	18.00	1.20	22.14	18.49
