Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
9/5/2016 12:58:26 AM	5.63	0.00	3.95	0.60	0.00	0.00	0.00	0.00	10.18	100.00	0.32	24.65	2985	0	1777	18	0	0	0	0	4779	302.13	19.55	3.80	13.82	39.61	17.01	52.10	1.03	19.06	16.21
9/5/2016 12:58:29 AM	5.37	0.00	4.43	0.16	0.00	0.00	0.00	0.00	9.96	100.00	0.37	24.57	2846	0	1994	5	0	0	0	0	4844	312.00	19.36	3.58	12.62	39.15	15.66	51.87	1.04	19.09	16.23
9/5/2016 12:58:32 AM	5.39	0.00	4.37	0.19	0.00	0.00	0.00	0.00	9.95	100.00	0.53	24.53	2855	0	1966	6	0	0	0	0	4827	309.58	19.30	3.62	12.70	39.16	15.69	51.64	1.05	19.15	16.29
9/5/2016 12:58:35 AM	5.22	0.00	4.40	0.14	0.00	0.00	0.00	0.00	9.76	100.00	0.69	24.58	2767	0	1980	4	0	0	0	0	4751	293.16	19.10	3.57	12.17	38.57	15.45	50.84	1.07	19.20	16.28
9/5/2016 12:58:37 AM	5.39	0.00	4.50	0.18	0.00	0.00	0.00	0.00	10.06	100.00	0.85	24.42	2855	0	2025	5	0	0	0	0	4885	306.29	19.67	3.70	12.53	39.71	15.96	52.40	1.08	19.23	16.25
9/5/2016 12:58:40 AM	5.49	0.00	4.34	0.33	0.00	0.00	0.00	0.00	10.16	100.00	0.97	24.49	2910	0	1952	10	0	0	0	0	4872	314.14	19.74	3.90	12.90	39.97	16.41	52.55	1.10	19.27	16.28
9/5/2016 12:58:43 AM	5.52	0.00	4.29	0.40	0.00	0.00	0.00	0.00	10.22	100.00	1.13	24.46	2925	0	1932	12	0	0	0	0	4869	312.45	19.90	3.86	13.24	40.22	16.69	52.68	1.11	19.30	16.28
9/5/2016 12:58:46 AM	5.57	0.00	4.40	0.17	0.00	0.00	0.00	0.00	10.14	100.00	1.29	24.55	2949	0	1982	5	0	0	0	0	4937	315.84	19.48	3.74	12.86	39.87	15.84	52.58	1.13	19.35	16.30
9/5/2016 12:58:48 AM	5.64	0.00	4.36	0.25	0.00	0.00	0.00	0.00	10.25	100.00	1.43	24.67	2988	0	1962	8	0	0	0	0	4957	316.20	19.68	3.68	13.15	40.11	16.24	53.11	1.14	19.40	16.31
9/5/2016 12:58:51 AM	5.57	0.00	4.41	0.25	0.00	0.00	0.00	0.00	10.22	100.00	1.59	24.61	2950	0	1985	7	0	0	0	0	4942	316.14	19.75	3.76	13.02	40.01	16.22	53.13	1.16	19.43	16.34
9/5/2016 12:58:54 AM	5.41	0.00	4.32	0.43	0.00	0.00	0.00	0.00	10.15	100.00	1.76	24.63	2866	0	1943	13	0	0	0	0	4822	316.14	19.95	3.91	13.63	39.71	16.48	52.63	1.17	19.48	16.32
9/5/2016 12:58:57 AM	5.57	0.00	4.24	0.41	0.00	0.00	0.00	0.00	10.22	100.00	1.83	24.62	2950	0	1909	12	0	0	0	0	4871	316.37	19.79	3.81	13.41	39.97	16.63	52.77	1.18	19.52	16.34
9/5/2016 12:59:00 AM	5.41	0.00	4.41	0.26	0.00	0.00	0.00	0.00	10.08	100.00	2.00	24.57	2869	0	1987	8	0	0	0	0	4863	316.31	19.70	3.70	12.86	39.68	16.14	52.37	1.20	19.56	16.37
9/5/2016 12:59:02 AM	5.30	0.00	4.51	0.14	0.00	0.00	0.00	0.00	9.94	100.00	2.20	24.61	2807	0	2028	4	0	0	0	0	4839	315.94	19.51	3.64	12.55	39.24	15.63	51.89	1.22	19.61	16.37
