Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
9/16/2016 6:32:47 PM	13.08	0.00	3.16	1.95	0.00	0.00	0.00	0.00	18.19	93.91	0.31	23.35	6930	0	1422	58	0	0	0	0	8411	263.66	26.09	6.28	24.22	57.67	29.32	95.07	1.03	21.10	18.10
9/16/2016 6:32:50 PM	14.79	0.00	3.02	2.01	0.00	0.00	0.00	0.00	19.81	100.00	0.42	24.46	7837	0	1358	60	0	0	0	0	9255	290.70	27.07	7.09	26.63	62.88	30.76	102.47	1.04	21.14	18.09
9/16/2016 6:32:53 PM	15.60	0.00	2.96	1.97	0.00	0.00	0.00	0.00	20.54	100.00	0.70	24.45	8270	0	1332	59	0	0	0	0	9661	302.23	27.33	6.31	26.32	64.64	32.19	106.29	1.07	21.18	18.07
9/16/2016 6:32:56 PM	15.51	0.00	3.18	1.79	0.00	0.00	0.00	0.00	20.48	100.00	0.76	24.43	8222	0	1432	54	0	0	0	0	9708	305.13	27.22	7.11	25.90	64.28	31.28	106.76	1.07	21.22	18.07
9/16/2016 6:32:58 PM	15.65	0.00	3.29	1.83	0.00	0.00	0.00	0.00	20.78	100.00	0.77	24.43	8297	0	1482	55	0	0	0	0	9834	303.07	27.91	6.74	26.06	65.65	32.14	108.11	1.07	21.25	18.08
9/16/2016 6:33:01 PM	15.83	0.00	2.93	1.92	0.00	0.00	0.00	0.00	20.68	100.00	0.98	24.45	8392	0	1319	57	0	0	0	0	9769	302.51	27.15	6.33	26.61	64.48	31.99	107.40	1.10	21.29	18.11
9/16/2016 6:33:04 PM	15.92	0.00	2.97	2.05	0.00	0.00	0.00	0.00	20.94	100.00	1.20	24.48	8437	0	1339	61	0	0	0	0	9837	305.87	27.77	6.61	27.65	65.15	32.41	108.82	1.12	21.31	18.13
9/16/2016 6:33:07 PM	15.73	0.00	3.25	1.92	0.00	0.00	0.00	0.00	20.90	100.00	1.41	24.49	8339	0	1462	57	0	0	0	0	9859	307.89	28.03	6.70	26.60	65.18	32.39	109.25	1.14	21.37	18.16
9/16/2016 6:33:10 PM	15.93	0.00	3.31	1.92	0.00	0.00	0.00	0.00	21.17	100.00	1.62	24.48	8443	0	1491	58	0	0	0	0	9991	308.87	28.51	6.09	27.64	66.19	32.71	110.38	1.16	21.41	18.15
9/16/2016 6:33:12 PM	16.46	0.00	3.27	1.92	0.00	0.00	0.00	0.00	21.64	100.00	1.89	24.51	8722	0	1472	57	0	0	0	0	10251	309.72	28.61	6.82	27.34	67.51	33.24	112.88	1.19	21.44	18.17
9/16/2016 6:33:15 PM	16.96	0.00	3.19	1.80	0.00	0.00	0.00	0.00	21.95	100.00	2.17	24.53	8987	0	1437	54	0	0	0	0	10478	310.02	28.31	6.87	27.84	68.24	32.93	114.26	1.21	21.48	18.17
9/16/2016 6:33:18 PM	16.90	0.00	3.29	1.90	0.00	0.00	0.00	0.00	22.09	100.00	2.39	24.52	8959	0	1481	57	0	0	0	0	10497	310.52	28.91	6.97	27.67	68.77	33.70	115.26	1.23	21.51	18.17
9/16/2016 6:33:21 PM	16.88	0.00	3.59	1.95	0.00	0.00	0.00	0.00	22.42	100.00	2.55	24.50	8948	0	1614	59	0	0	0	0	10621	310.94	30.01	7.04	28.59	69.71	34.20	117.55	1.25	21.54	18.21
9/16/2016 6:33:24 PM	17.18	0.00	3.48	1.91	0.00	0.00	0.00	0.00	22.57	100.00	2.77	24.53	9106	0	1568	57	0	0	0	0	10731	311.33	29.70	7.36	28.41	70.15	34.14	118.12	1.27	21.58	18.23
9/16/2016 6:33:26 PM	17.13	0.00	3.71	1.89	0.00	0.00	0.00	0.00	22.74	100.00	2.94	24.52	9080	0	1672	57	0	0	0	0	10808	310.86	30.36	7.24	28.71	70.63	34.41	119.47	1.29	21.62	18.20
9/16/2016 6:33:29 PM	17.00	0.00	3.52	1.87	0.00	0.00	0.00	0.00	22.39	100.00	3.16	24.50	9008	0	1584	56	0	0	0	0	10648	311.44	29.62	7.04	28.38	69.69	33.88	117.17	1.31	21.66	18.22
9/16/2016 6:33:32 PM	16.78	0.00	3.05	2.03	0.00	0.00	0.00	0.00	21.86	100.00	3.42	24.54	8893	0	1372	61	0	0	0	0	10325	312.37	28.61	7.08	28.22	68.74	33.48	112.90	1.33	21.69	18.24
9/16/2016 6:33:35 PM	16.60	0.00	2.85	2.21	0.00	0.00	0.00	0.00	21.66	100.00	3.67	24.55	8800	0	1281	66	0	0	0	0	10148	312.63	28.48	7.15	28.27	68.29	33.77	111.41	1.36	21.73	18.25
9/16/2016 6:33:38 PM	16.45	0.00	2.98	2.21	0.00	0.00	0.00	0.00	21.65	100.00	3.91	24.54	8719	0	1342	66	0	0	0	0	10128	312.58	28.87	7.14	28.12	68.77	33.95	111.26	1.38	21.77	18.28
9/16/2016 6:33:40 PM	15.68	0.00	3.49	2.27	0.00	0.00	0.00	0.00	21.45	100.00	4.18	24.45	8311	0	1572	68	0	0	0	0	9951	311.88	30.24	7.23	28.29	69.12	34.13	110.69	1.41	21.79	18.30
9/16/2016 6:33:43 PM	13.64	0.00	4.38	2.44	0.00	0.00	0.00	0.00	20.46	100.00	4.49	24.35	7230	0	1970	73	0	0	0	0	9274	312.77	32.38	7.40	27.74	68.11	34.11	106.43	1.44	21.84	18.28
9/16/2016 6:33:46 PM	11.83	0.00	5.38	2.67	0.00	0.00	0.00	0.00	19.87	100.00	4.72	24.07	6269	0	2419	80	0	0	0	0	8768	312.30	35.22	7.78	28.20	68.28	34.48	104.32	1.46	21.85	18.31
9/16/2016 6:33:49 PM	8.89	0.41	4.56	4.44	0.00	0.00	0.00	0.00	18.30	100.00	4.85	23.68	4711	411	2050	133	0	0	0	0	7306	311.80	37.02	10.08	30.95	64.29	39.73	92.24	1.48	21.90	18.31
9/16/2016 6:33:51 PM	7.36	0.86	4.81	6.08	0.00	0.00	0.00	0.00	19.11	100.00	5.03	23.00	3902	858	2163	182	0	0	0	0	7105	311.51	42.65	13.19	36.10	66.98	47.79	94.70	1.49	21.93	18.33
9/16/2016 6:33:54 PM	6.78	3.62	5.08	23.56	0.00	0.00	0.00	0.00	39.04	100.00	5.29	21.46	3593	3618	2287	707	0	0	0	0	10205	307.98	104.42	43.93	94.22	131.45	136.35	180.99	1.52	21.96	18.33
9/16/2016 6:33:57 PM	7.18	4.89	5.08	30.79	0.00	0.00	0.00	0.00	47.94	100.00	5.50	20.48	3803	4894	2287	924	0	0	0	0	11907	307.30	130.09	57.33	120.07	159.38	173.79	219.36	1.54	22.00	18.35
9/16/2016 6:34:00 PM	5.70	5.39	4.75	31.20	0.00	0.00	0.00	0.00	47.04	100.00	5.70	19.83	3019	5395	2136	936	0	0	0	0	11485	307.49	129.65	57.70	122.28	153.96	176.05	213.41	1.56	22.02	18.40
9/16/2016 6:34:03 PM	5.91	6.36	3.78	29.97	0.00	0.00	0.00	0.00	46.03	100.00	5.92	18.93	3135	6361	1702	899	0	0	0	0	12096	307.88	123.63	56.41	123.75	148.92	175.08	201.46	1.58	22.06	18.38
9/16/2016 6:34:05 PM	5.22	8.04	1.98	26.76	0.00	0.00	0.00	0.08	42.00	100.00	6.11	17.87	2766	8042	889	803	0	0	0	0	12500	308.32	108.46	51.41	123.08	131.72	167.54	172.18	1.60	22.08	18.40
9/16/2016 6:34:08 PM	4.81	10.29	0.00	20.99	0.00	0.00	0.00	0.21	36.09	100.00	6.30	16.81	2548	10287	0	630	0	0	0	0	13465	310.14	84.89	43.34	120.08	107.55	152.13	131.08	1.62	22.10	18.41
9/16/2016 6:34:11 PM	2.35	14.77	0.00	14.33	0.00	0.00	0.00	0.26	31.45	100.00	6.55	16.06	1245	14773	0	430	0	0	0	0	16448	310.01	62.94	36.74	127.48	83.55	148.37	88.13	1.64	22.13	18.44
9/16/2016 6:34:14 PM	0.63	18.24	0.00	10.84	0.00	0.00	0.00	0.37	29.70	100.00	6.83	15.42	334	18235	0	325	0	0	0	0	18895	308.45	51.38	34.04	136.80	72.91	153.48	64.77	1.67	22.13	18.47
9/16/2016 6:34:17 PM	1.57	21.10	0.00	8.69	0.00	0.00	0.00	0.38	31.36	100.00	7.10	14.05	833	21099	0	261	0	0	0	0	22193	299.86	46.65	33.53	149.63	73.12	162.29	59.03	1.70	22.15	18.45
9/16/2016 6:34:19 PM	3.06	23.13	0.00	7.72	0.00	0.00	0.00	0.41	33.91	100.00	7.33	13.19	1623	23125	0	232	0	0	0	0	24980	290.19	46.14	34.45	161.32	78.40	171.26	61.64	1.72	22.16	18.43
9/16/2016 6:34:22 PM	4.23	23.61	0.00	6.90	0.00	0.00	0.00	0.49	34.75	100.00	7.53	13.12	2243	23614	0	207	0	0	0	0	26064	288.94	45.80	33.73	164.41	81.98	170.89	63.63	1.74	22.18	18.46
9/16/2016 6:34:25 PM	3.61	19.45	0.00	5.15	0.00	0.00	0.00	0.76	28.20	100.00	7.72	12.61	1912	19445	0	155	0	0	0	0	21512	298.26	37.14	26.91	134.37	74.19	139.58	53.70	1.76	22.19	18.49
9/16/2016 6:34:28 PM	3.26	19.06	0.00	5.50	0.00	0.00	0.00	0.82	27.82	100.00	7.91	12.05	1728	19063	0	165	0	0	0	0	20956	297.58	37.31	26.95	131.90	75.18	139.45	54.45	1.77	22.20	18.47
9/16/2016 6:34:31 PM	2.09	15.50	0.00	5.34	0.00	0.00	0.00	0.96	22.93	100.00	8.13	12.21	1105	15504	0	160	0	0	0	0	16770	302.43	32.97	22.70	107.96	68.79	118.56	48.85	1.80	22.20	18.52
9/16/2016 6:34:33 PM	2.35	11.02	0.00	3.13	0.00	0.00	0.00	0.84	16.50	100.00	8.36	11.56	1243	11021	0	94	0	0	0	0	12358	309.43	23.40	15.82	77.39	53.17	81.72	36.64	1.82	22.20	18.52
9/16/2016 6:34:36 PM	1.32	9.02	0.00	3.15	0.00	0.00	0.00	0.86	13.48	100.00	8.57	11.01	697	9018	0	94	0	0	0	0	9809	311.87	20.54	13.68	63.51	47.49	70.22	31.83	1.84	22.20	18.54
9/16/2016 6:34:39 PM	1.24	9.56	0.00	3.28	0.00	0.00	0.00	0.86	14.08	100.00	8.74	10.91	659	9558	0	98	0	0	0	0	10315	310.67	21.54	14.25	67.16	48.31	73.57	32.26	1.86	22.20	18.57
9/16/2016 6:34:42 PM	1.66	7.50	0.00	2.78	0.00	0.00	0.00	0.85	11.95	100.00	8.98	10.53	882	7499	0	84	0	0	0	0	8465	312.44	18.85	11.77	54.25	45.10	59.89	31.10	1.88	22.20	18.54
9/16/2016 6:34:44 PM	1.50	6.95	0.00	2.50	0.00	0.00	0.00	0.87	10.95	100.00	9.25	10.07	793	6953	0	75	0	0	0	0	7821	312.70	17.48	10.91	50.21	43.14	55.28	28.95	1.91	22.18	18.54
9/16/2016 6:34:47 PM	1.59	6.62	0.00	2.29	0.00	0.00	0.00	0.84	10.49	100.00	9.42	9.87	841	6618	0	69	0	0	0	0	7527	312.63	16.77	10.61	48.14	41.58	51.97	27.91	1.92	22.17	18.55
9/16/2016 6:34:50 PM	1.41	6.05	0.00	2.25	0.00	0.00	0.00	0.83	9.71	100.00	9.57	10.15	748	6052	0	68	0	0	0	0	6868	312.45	15.85	9.75	44.15	39.91	48.81	26.72	1.94	22.16	18.56
9/16/2016 6:34:53 PM	1.54	6.06	0.00	1.69	0.00	0.00	0.00	0.84	9.29	100.00	9.78	10.16	815	6063	0	51	0	0	0	0	6929	313.11	14.60	9.33	43.66	38.56	45.75	24.55	1.96	22.17	18.55
9/16/2016 6:34:56 PM	1.02	6.48	0.00	1.95	0.00	0.00	0.00	0.82	9.45	100.00	10.04	9.93	538	6480	0	59	0	0	0	0	7078	312.52	15.00	9.65	45.74	37.99	49.37	23.52	1.98	22.14	18.57
9/16/2016 6:34:58 PM	0.34	6.45	0.00	2.27	0.00	0.00	0.00	0.86	9.07	100.00	10.27	9.69	179	6454	0	68	0	0	0	0	6702	312.82	15.05	9.98	45.06	37.48	50.59	22.40	2.01	22.12	18.59
9/16/2016 6:35:01 PM	0.38	7.16	0.00	2.13	0.00	0.00	0.00	0.85	9.67	100.00	10.51	10.02	203	7156	0	64	0	0	0	0	7423	312.43	15.41	10.39	49.26	37.99	53.69	22.01	2.03	22.10	18.58
9/16/2016 6:35:04 PM	0.00	11.47	0.00	2.83	0.00	0.00	0.00	0.82	14.30	100.00	10.79	9.76	0	11470	0	85	0	0	0	0	11555	310.00	20.44	15.96	76.08	44.33	81.12	24.15	2.06	22.08	18.58
9/16/2016 6:35:07 PM	0.00	13.57	0.00	3.43	0.00	0.00	0.00	0.72	17.00	100.00	11.01	9.17	0	13574	0	103	0	0	0	0	13676	308.56	23.85	18.45	87.82	47.58	98.26	25.18	2.08	22.06	18.58
9/16/2016 6:35:10 PM	0.00	18.11	0.00	3.80	0.00	0.00	0.00	0.65	21.91	100.00	11.14	9.24	0	18113	0	114	0	0	0	0	18227	305.75	28.95	23.91	116.34	53.59	125.05	27.07	2.09	22.03	18.57
9/16/2016 6:35:12 PM	0.00	20.79	0.00	3.55	0.00	0.00	0.00	0.71	24.35	100.00	11.21	9.64	0	20794	0	107	0	0	0	0	20901	305.23	30.54	26.50	134.93	57.02	135.77	28.70	2.10	22.00	18.57
9/16/2016 6:35:15 PM	0.00	18.62	0.00	3.59	0.00	0.00	0.00	0.71	22.21	100.00	11.25	10.11	0	18619	0	108	0	0	0	0	18727	305.97	28.70	23.83	119.26	54.75	126.81	27.07	2.10	21.97	18.59
9/16/2016 6:35:18 PM	0.00	18.13	0.00	4.25	0.00	0.00	0.00	0.58	22.38	100.00	11.40	9.66	0	18129	0	127	0	0	0	0	18257	306.41	30.81	23.82	117.49	53.45	126.97	28.43	2.12	21.93	18.57
9/16/2016 6:35:21 PM	0.00	32.42	0.00	13.44	0.00	0.00	0.00	0.00	45.85	97.82	11.48	9.48	0	32417	0	403	0	0	0	0	32820	274.64	66.85	47.56	206.31	80.36	273.25	70.66	2.12	21.90	18.54
9/16/2016 6:35:24 PM	0.00	78.19	0.00	17.84	0.00	0.00	0.00	0.00	96.03	40.48	11.49	9.84	0	78191	0	535	0	0	0	0	78726	113.54	119.31	115.66	526.10	135.07	513.79	126.35	2.13	21.89	18.55
