Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
9/17/2016 12:11:06 AM	17.97	0.00	2.49	1.95	0.00	0.00	0.00	0.00	22.41	100.00	0.49	23.94	9524	0	1122	58	0	0	0	0	10704	314.71	27.81	6.89	28.62	73.10	33.79	112.05	1.05	18.96	16.20
9/17/2016 12:11:09 AM	17.61	0.00	2.45	1.97	0.00	0.00	0.00	0.00	22.02	100.00	0.74	24.24	9335	0	1101	59	0	0	0	0	10495	315.56	27.53	6.84	28.24	72.41	33.42	109.66	1.07	19.00	16.22
9/17/2016 12:11:12 AM	18.45	0.00	2.49	1.99	0.00	0.00	0.00	0.00	22.92	100.00	0.82	24.20	9779	0	1120	60	0	0	0	0	10958	315.87	28.28	7.07	29.38	74.71	34.38	114.52	1.08	19.06	16.19
9/17/2016 12:11:15 AM	18.35	0.00	2.59	2.00	0.00	0.00	0.00	0.00	22.94	100.00	0.99	24.25	9724	0	1165	60	0	0	0	0	10949	315.68	28.59	7.08	29.35	74.97	34.55	114.66	1.10	19.10	16.22
9/17/2016 12:11:17 AM	18.29	0.00	2.62	2.05	0.00	0.00	0.00	0.00	22.95	100.00	1.22	24.25	9693	0	1177	61	0	0	0	0	10931	316.21	28.79	7.09	29.45	74.98	34.75	114.84	1.12	19.15	16.21
9/17/2016 12:11:20 AM	18.84	0.00	2.59	2.04	0.00	0.00	0.00	0.00	23.47	100.00	1.30	24.25	9986	0	1165	61	0	0	0	0	11213	315.85	29.12	7.27	30.30	76.87	35.12	117.03	1.13	19.20	16.24
9/17/2016 12:11:23 AM	17.97	0.00	2.76	1.97	0.00	0.00	0.00	0.00	22.69	100.00	1.54	24.26	9522	0	1241	59	0	0	0	0	10822	315.75	28.74	7.05	28.96	74.28	34.30	113.83	1.15	19.23	16.23
9/17/2016 12:11:26 AM	18.40	0.00	2.91	2.05	0.00	0.00	0.00	0.00	23.36	100.00	1.71	24.22	9754	0	1307	61	0	0	0	0	11123	316.34	29.79	7.18	29.91	76.30	35.34	117.44	1.17	19.27	16.27
9/17/2016 12:11:29 AM	18.81	0.00	2.88	2.08	0.00	0.00	0.00	0.00	23.77	100.00	1.79	24.22	9969	0	1295	63	0	0	0	0	11327	316.05	30.12	7.48	30.48	77.74	35.79	119.28	1.18	19.31	16.28
