Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
10/17/2016 9:25:36 AM	2.52	0.99	0.00	0.00	0.00	0.00	0.00	0.06	3.51	97.83	0.17	18.20	1336	992	0	0	0	0	0	0	2328	274.67	2.60	1.72	9.10	12.16	11.03	11.62	1.02	19.77	19.03
10/17/2016 9:25:39 AM	2.77	1.27	1.84	0.60	0.00	0.00	0.00	0.10	6.48	100.00	0.49	18.39	1468	1271	829	18	0	0	0	0	3585	284.98	11.99	4.11	15.73	24.47	17.32	27.42	1.05	19.81	18.98
10/17/2016 9:25:42 AM	3.23	0.32	1.27	1.49	0.00	0.00	0.00	0.19	6.31	100.00	0.68	18.40	1712	317	570	45	0	0	0	0	2643	305.31	12.77	4.42	11.61	27.18	15.70	31.08	1.07	19.82	18.99
10/17/2016 9:25:45 AM	2.83	0.62	1.25	2.08	0.00	0.00	0.00	0.17	6.78	100.00	0.99	18.40	1498	622	564	62	0	0	0	0	2747	308.03	14.62	5.40	14.39	27.72	19.40	32.02	1.10	19.83	18.97
10/17/2016 9:25:47 AM	3.48	0.67	1.93	1.60	0.00	0.00	0.00	0.04	7.68	100.00	1.30	18.40	1845	669	869	48	0	0	0	0	3431	307.09	15.41	5.00	15.13	28.70	19.34	35.47	1.13	19.85	18.95
10/17/2016 9:25:50 AM	3.36	0.74	1.37	1.96	0.00	0.00	0.00	0.18	7.42	100.00	1.67	18.41	1779	736	616	59	0	0	0	0	3190	319.95	15.20	5.23	15.50	30.16	20.43	34.68	1.16	19.86	18.97
10/17/2016 9:25:53 AM	3.76	0.59	1.35	2.19	0.00	0.00	0.00	0.14	7.89	100.00	1.96	18.40	1995	587	607	66	0	0	0	0	3254	321.25	15.98	4.92	15.32	31.13	21.32	37.08	1.19	19.87	18.99
10/17/2016 9:25:56 AM	3.39	0.63	1.09	2.92	0.00	0.00	0.00	0.18	8.04	100.00	2.27	18.40	1798	635	492	88	0	0	0	0	3013	323.52	17.47	5.88	16.59	32.06	23.94	37.90	1.22	19.89	18.97
10/17/2016 9:25:59 AM	3.49	0.68	2.20	1.52	0.00	0.00	0.00	0.09	7.89	100.00	2.54	18.39	1848	676	989	46	0	0	0	0	3559	322.19	16.19	5.07	15.42	30.65	19.48	37.19	1.25	19.92	18.95
10/17/2016 9:26:01 AM	3.67	0.95	2.39	1.15	0.00	0.00	0.00	0.13	8.16	100.00	2.88	18.36	1946	948	1073	35	0	0	0	0	4002	324.22	16.09	5.38	16.90	32.25	19.62	37.82	1.28	19.92	18.97
10/17/2016 9:26:04 AM	3.84	0.62	2.03	1.58	0.00	0.00	0.00	0.14	8.07	100.00	3.18	18.24	2035	625	911	48	0	0	0	0	3618	326.29	16.25	4.83	15.32	32.51	19.79	38.55	1.31	19.94	18.94
10/17/2016 9:26:07 AM	3.91	0.40	1.66	2.05	0.00	0.00	0.00	0.17	8.02	100.00	3.51	18.10	2072	399	748	62	0	0	0	0	3280	325.84	16.53	5.13	14.57	32.95	20.14	39.18	1.34	19.94	18.95
10/17/2016 9:26:10 AM	3.25	0.35	2.06	1.70	0.00	0.00	0.00	0.22	7.37	100.00	3.77	18.04	1724	354	929	51	0	0	0	0	3058	326.67	16.29	4.50	13.28	32.23	18.41	37.36	1.37	19.98	18.95
10/17/2016 9:26:13 AM	3.58	0.51	1.80	1.69	0.00	0.00	0.00	0.22	7.59	100.00	4.03	18.01	1896	513	812	51	0	0	0	0	3272	326.41	15.80	5.17	14.45	32.54	18.88	37.33	1.39	19.98	18.97
10/17/2016 9:26:15 AM	3.29	0.44	1.89	1.53	0.00	0.00	0.00	0.24	7.15	100.00	4.26	17.96	1746	441	848	46	0	0	0	0	3081	325.05	15.33	4.53	13.33	31.75	17.81	35.92	1.42	19.98	18.96
10/17/2016 9:26:18 AM	3.46	0.38	1.57	1.78	0.00	0.00	0.00	0.25	7.19	100.00	4.48	17.94	1833	384	707	53	0	0	0	0	2976	326.76	15.21	4.68	13.27	31.84	18.28	36.03	1.44	20.01	18.92
10/17/2016 9:26:21 AM	3.03	0.48	1.65	1.66	0.00	0.00	0.00	0.27	6.82	100.00	4.68	17.92	1603	483	744	50	0	0	0	0	2880	326.87	14.92	4.79	13.34	30.95	17.87	34.27	1.46	20.02	18.91
10/17/2016 9:26:24 AM	2.78	0.47	1.74	1.61	0.00	0.00	0.00	0.29	6.60	100.00	4.88	17.89	1476	472	783	48	0	0	0	0	2779	325.71	14.85	4.78	13.03	30.55	17.40	33.55	1.48	20.03	18.95
10/17/2016 9:26:27 AM	2.75	0.33	1.27	1.89	0.00	0.00	0.00	0.31	6.25	100.00	5.10	17.89	1457	333	573	57	0	0	0	0	2421	326.33	14.21	4.61	12.06	29.71	17.28	32.20	1.50	20.04	18.93
10/17/2016 9:26:29 AM	2.43	0.56	1.71	1.47	0.00	0.00	0.00	0.31	6.16	100.00	5.34	17.86	1286	560	767	44	0	0	0	0	2657	326.12	14.17	4.53	12.81	29.27	16.90	31.28	1.52	20.06	18.89
