Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
7/5/2018 10:57:45 AM	3.04	13.42	0.00	0.00	0.00	0.00	0.00	0.50	16.46	81.15	0.21	56.15	1609	13421	0	0	0	0	0	0	15030	141.46	13.33	13.46	65.11	19.71	61.38	17.87	1.02	46.50	14.84
7/5/2018 10:57:47 AM	0.00	13.63	1.82	0.24	0.00	0.00	0.00	0.91	15.68	81.77	0.37	56.43	0	13627	818	7	0	0	0	0	14452	142.54	19.32	9.79	63.50	23.05	66.20	20.53	1.04	46.59	14.85
7/5/2018 10:57:49 AM	1.87	13.69	0.00	0.99	0.00	0.00	0.00	0.78	16.55	81.82	0.37	56.42	992	13691	0	30	0	0	0	0	14713	142.62	17.98	11.42	65.55	22.66	68.44	20.85	1.04	46.65	14.85
7/5/2018 10:57:52 AM	5.17	13.39	1.53	0.00	0.00	0.00	0.00	0.17	20.10	80.17	0.37	56.41	2742	13388	690	0	0	0	0	0	16821	139.74	18.53	14.45	67.87	21.81	64.61	28.84	1.04	46.72	14.85
7/5/2018 10:57:54 AM	4.21	14.04	1.43	0.03	0.00	0.00	0.00	0.23	19.71	79.95	0.40	56.42	2229	14041	644	1	0	0	0	0	16914	139.37	18.68	11.31	68.16	21.36	69.13	26.12	1.04	46.81	14.87
7/5/2018 10:57:57 AM	3.67	13.89	0.00	1.12	0.00	0.00	0.00	0.50	18.68	80.61	0.47	56.38	1946	13890	0	34	0	0	0	0	15870	140.52	17.80	16.47	68.99	22.84	69.56	25.01	1.05	46.90	14.88
7/5/2018 10:57:59 AM	3.12	14.25	1.50	0.00	0.00	0.00	0.00	0.29	18.88	79.54	0.50	56.36	1654	14254	675	0	0	0	0	0	16583	138.66	18.39	12.22	68.62	20.66	68.53	23.35	1.05	46.98	14.88
7/5/2018 10:58:01 AM	3.94	13.51	0.00	1.84	0.00	0.00	0.00	0.23	19.29	80.56	0.51	56.33	2090	13507	0	55	0	0	0	0	15652	140.42	18.56	16.81	68.17	21.55	71.88	26.79	1.05	47.05	14.88
7/5/2018 10:58:04 AM	2.66	14.20	0.95	0.00	0.00	0.00	0.00	1.04	17.81	80.78	0.57	56.30	1410	14205	427	0	0	0	0	0	16041	140.81	18.94	11.78	69.85	26.75	65.73	25.42	1.06	47.12	14.90
