Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
7/19/2018 10:08:30 AM	2.67	1.70	4.49	0.03	0.00	0.00	0.00	0.58	8.88	83.57	0.22	49.72	1416	1696	2019	1	0	0	0	0	5132	145.68	15.68	4.55	15.95	18.70	17.39	33.28	1.02	38.41	11.82
7/19/2018 10:08:32 AM	2.25	1.64	4.66	0.54	0.00	0.00	0.00	0.50	9.10	81.87	0.26	52.71	1195	1639	2098	16	0	0	0	0	4949	142.71	17.30	4.33	16.34	18.51	19.50	34.39	1.02	38.46	11.82
7/19/2018 10:08:35 AM	4.86	1.92	4.83	0.00	0.00	0.00	0.00	0.29	11.60	84.09	0.37	52.95	2575	1916	2171	0	0	0	0	0	6663	146.59	17.18	4.77	18.95	19.59	20.28	39.48	1.04	38.54	11.83
7/19/2018 10:08:37 AM	2.83	1.72	6.03	0.04	0.00	0.00	0.00	0.47	10.62	84.50	0.50	53.18	1501	1722	2712	1	0	0	0	0	5936	147.29	19.28	4.65	17.49	20.47	19.64	39.76	1.05	38.59	11.83
7/19/2018 10:08:39 AM	1.56	1.44	6.17	0.10	0.00	0.00	0.00	0.69	9.28	83.21	0.61	53.17	829	1442	2776	3	0	0	0	0	5050	145.05	19.39	4.91	15.76	21.11	17.65	38.30	1.06	38.66	11.84
7/19/2018 10:08:42 AM	3.60	1.45	5.72	0.00	0.00	0.00	0.00	0.46	10.78	84.44	0.65	53.01	1910	1453	2575	0	0	0	0	0	5938	147.18	18.60	5.30	17.11	20.72	17.90	40.58	1.06	38.71	11.84
7/19/2018 10:08:44 AM	3.31	1.65	6.02	0.34	0.00	0.00	0.00	0.32	11.32	84.44	0.66	52.68	1754	1651	2708	10	0	0	0	0	6123	147.19	20.01	5.55	18.40	20.10	20.53	41.37	1.06	38.79	11.87
7/19/2018 10:08:47 AM	2.58	1.35	5.13	0.62	0.00	0.00	0.00	0.57	9.69	84.09	0.68	52.32	1368	1349	2309	19	0	0	0	0	5046	146.58	18.77	4.84	16.16	20.35	19.21	38.27	1.07	38.84	11.85
7/19/2018 10:08:49 AM	3.99	1.46	4.60	0.78	0.00	0.00	0.00	0.54	10.83	84.72	0.69	52.02	2116	1462	2070	23	0	0	0	0	5671	147.68	18.80	5.61	17.85	21.49	20.59	40.92	1.07	38.90	11.87
