Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
7/30/2018 11:32:36 AM	3.13	7.57	5.51	1.18	0.00	0.00	0.00	1.62	17.39	81.49	0.46	50.77	1658	7570	2480	35	0	0	0	0	11743	142.05	29.64	11.55	46.60	38.31	49.38	54.73	1.05	41.58	14.39
7/30/2018 11:32:39 AM	2.27	7.63	6.41	0.59	0.00	0.00	0.00	1.60	16.90	81.72	0.61	50.74	1202	7631	2883	18	0	0	0	0	11734	142.45	29.43	10.73	45.55	37.40	47.72	53.16	1.06	41.62	14.38
7/30/2018 11:32:41 AM	3.95	7.89	6.39	0.00	0.00	0.00	0.00	1.52	18.23	82.03	0.64	50.79	2093	7889	2877	0	0	0	0	0	12860	142.99	28.57	10.42	46.99	38.10	47.51	55.34	1.06	41.68	14.39
7/30/2018 11:32:44 AM	3.63	7.48	6.31	0.40	0.00	0.00	0.00	1.51	17.82	81.44	0.65	50.86	1926	7477	2838	12	0	0	0	0	12254	141.96	29.01	11.11	45.68	37.79	46.93	55.50	1.06	41.71	14.39
7/30/2018 11:32:46 AM	3.25	7.73	7.11	0.00	0.00	0.00	0.00	1.40	18.08	81.95	0.68	50.69	1721	7727	3200	0	0	0	0	0	12648	142.85	29.42	10.20	46.06	36.97	47.27	55.24	1.07	41.77	14.41
7/30/2018 11:32:48 AM	4.12	7.10	5.61	0.79	0.00	0.00	0.00	1.50	17.62	81.68	0.72	50.60	2182	7101	2526	24	0	0	0	0	11833	142.38	28.55	10.55	44.39	37.57	46.84	55.49	1.07	41.81	14.38
7/30/2018 11:32:51 AM	3.90	7.73	5.95	0.29	0.00	0.00	0.00	1.56	17.86	81.75	0.77	50.44	2065	7734	2677	9	0	0	0	0	12484	142.50	28.28	11.06	46.43	38.05	47.43	54.73	1.08	41.87	14.41
7/30/2018 11:32:53 AM	3.35	7.12	5.88	0.67	0.00	0.00	0.00	1.53	17.01	81.31	0.82	50.25	1776	7118	2644	20	0	0	0	0	11559	141.73	28.48	9.89	43.61	37.09	46.39	53.94	1.08	41.89	14.40
7/30/2018 11:32:55 AM	3.45	8.08	6.67	0.00	0.00	0.00	0.00	1.51	18.20	81.26	0.91	50.04	1830	8077	3003	0	0	0	0	0	12910	141.66	29.10	10.74	48.17	37.91	47.65	54.95	1.09	41.93	14.40
7/30/2018 11:32:58 AM	3.91	7.78	5.77	0.41	0.00	0.00	0.00	1.60	17.86	81.62	0.98	50.21	2070	7781	2595	12	0	0	0	0	12459	142.27	28.34	11.66	46.95	38.43	47.67	54.83	1.10	41.99	14.41
7/30/2018 11:33:00 AM	3.71	7.51	6.02	0.28	0.00	0.00	0.00	1.47	17.52	81.57	0.97	50.64	1968	7506	2707	8	0	0	0	0	12190	142.19	27.93	10.36	45.09	36.83	46.58	53.65	1.10	42.03	14.43
7/30/2018 11:33:03 AM	3.38	7.76	6.75	0.00	0.00	0.00	0.00	1.49	17.89	81.54	0.98	50.71	1792	7759	3036	0	0	0	0	0	12586	142.13	28.86	10.48	46.10	37.48	47.00	54.79	1.10	42.07	14.43
7/30/2018 11:33:05 AM	3.29	8.17	6.63	0.02	0.00	0.00	0.00	1.51	18.11	81.86	1.03	50.54	1741	8169	2982	1	0	0	0	0	12893	142.69	28.96	11.23	47.91	37.73	48.45	54.38	1.10	42.12	14.41
7/30/2018 11:33:07 AM	3.79	7.74	6.01	0.35	0.00	0.00	0.00	1.54	17.88	81.68	1.06	50.37	2006	7736	2703	11	0	0	0	0	12456	142.38	28.52	10.97	46.48	37.93	47.76	54.78	1.10	42.16	14.43
7/30/2018 11:33:10 AM	3.22	8.01	6.64	0.15	0.00	0.00	0.00	1.51	18.02	81.49	1.09	50.37	1708	8010	2986	4	0	0	0	0	12708	142.04	29.19	11.54	47.56	37.75	48.06	54.71	1.11	42.20	14.43
7/30/2018 11:33:12 AM	4.47	8.14	6.19	0.00	0.00	0.00	0.00	1.37	18.80	81.60	1.14	50.19	2371	8139	2786	0	0	0	0	0	13295	142.23	28.20	10.78	48.56	37.12	48.35	54.98	1.11	42.25	14.45
7/30/2018 11:33:14 AM	3.12	7.60	6.28	0.21	0.00	0.00	0.00	1.61	17.21	81.67	1.24	50.15	1652	7595	2828	6	0	0	0	0	12082	142.37	28.46	10.08	45.03	37.81	46.74	53.76	1.12	42.27	14.45
7/30/2018 11:33:17 AM	3.63	6.92	5.29	0.94	0.00	0.00	0.00	1.53	16.78	81.59	1.28	50.45	1924	6924	2382	28	0	0	0	0	11259	142.22	27.89	10.64	43.32	36.84	45.79	53.40	1.13	42.33	14.44
7/30/2018 11:33:19 AM	3.12	7.25	6.09	0.50	0.00	0.00	0.00	1.57	16.96	81.71	1.35	50.57	1654	7247	2740	15	0	0	0	0	11656	142.43	28.47	10.91	44.27	37.34	45.71	53.76	1.13	42.37	14.44
7/30/2018 11:33:22 AM	3.89	7.72	6.31	0.00	0.00	0.00	0.00	1.51	17.92	81.53	1.40	50.60	2064	7716	2840	0	0	0	0	0	12620	142.13	28.14	10.58	46.07	37.68	46.58	54.69	1.14	42.39	14.45
7/30/2018 11:33:24 AM	3.70	7.61	6.27	0.32	0.00	0.00	0.00	1.48	17.90	81.52	1.43	50.51	1960	7612	2823	10	0	0	0	0	12405	142.11	28.75	10.88	46.01	37.47	47.30	54.99	1.14	42.45	14.44
7/30/2018 11:33:26 AM	3.91	7.06	5.72	0.67	0.00	0.00	0.00	1.58	17.36	81.60	1.47	50.48	2074	7060	2574	20	0	0	0	0	11728	142.25	28.46	10.50	43.94	38.03	46.10	55.38	1.14	42.48	14.45
7/30/2018 11:33:29 AM	4.05	7.49	6.45	0.14	0.00	0.00	0.00	1.42	18.13	81.49	1.50	50.43	2147	7489	2902	4	0	0	0	0	12542	142.05	28.56	10.52	45.44	37.24	46.58	55.58	1.15	42.54	14.45
7/30/2018 11:33:31 AM	4.00	7.40	5.85	0.44	0.00	0.00	0.00	1.49	17.69	81.63	1.53	50.32	2121	7395	2634	13	0	0	0	0	12164	142.30	28.14	10.95	45.24	37.39	46.52	54.69	1.15	42.57	14.45
7/30/2018 11:33:33 AM	3.67	7.93	6.63	0.00	0.00	0.00	0.00	1.46	18.23	81.66	1.59	50.25	1943	7934	2982	0	0	0	0	0	12858	142.34	28.84	10.84	47.66	37.50	47.08	54.97	1.16	42.62	14.48
7/30/2018 11:33:36 AM	3.98	7.33	5.50	0.57	0.00	0.00	0.00	1.53	17.39	81.70	1.60	50.38	2112	7331	2474	17	0	0	0	0	11934	142.41	27.75	10.88	44.89	37.29	46.44	53.91	1.16	42.66	14.45
7/30/2018 11:33:38 AM	3.20	7.61	6.56	0.22	0.00	0.00	0.00	1.56	17.60	81.43	1.62	50.48	1697	7614	2951	7	0	0	0	0	12268	141.95	29.06	10.79	45.69	37.94	46.89	54.91	1.16	42.72	14.45
7/30/2018 11:33:41 AM	3.55	8.15	6.64	0.25	0.00	0.00	0.00	1.46	18.58	81.33	1.64	50.49	1882	8146	2987	7	0	0	0	0	13022	141.76	29.73	11.08	48.36	38.00	49.72	55.87	1.16	42.76	14.46
7/30/2018 11:33:43 AM	3.81	7.50	5.61	1.08	0.00	0.00	0.00	1.52	18.00	81.35	1.65	50.47	2018	7503	2526	32	0	0	0	0	12080	141.81	29.68	10.96	46.49	38.19	49.61	56.09	1.16	42.78	14.47
7/30/2018 11:33:45 AM	3.83	8.04	6.59	0.21	0.00	0.00	0.00	1.47	18.67	81.68	1.69	50.32	2030	8040	2964	6	0	0	0	0	13041	142.38	29.58	11.23	48.09	38.29	49.15	56.44	1.17	42.83	14.47
7/30/2018 11:33:48 AM	3.42	8.00	6.83	0.05	0.00	0.00	0.00	1.51	18.30	81.45	1.72	50.32	1815	7999	3073	1	0	0	0	0	12888	141.98	29.49	10.87	47.39	38.21	48.37	55.79	1.17	42.87	14.48
7/30/2018 11:33:50 AM	3.43	7.51	6.22	0.65	0.00	0.00	0.00	1.48	17.81	81.59	1.74	50.29	1818	7509	2799	20	0	0	0	0	12146	142.22	29.49	10.36	45.72	37.52	48.39	55.36	1.17	42.91	14.48
7/30/2018 11:33:52 AM	3.72	7.23	5.09	1.23	0.00	0.00	0.00	1.60	17.27	81.59	1.78	50.28	1973	7233	2290	37	0	0	0	0	11533	142.23	28.82	11.06	45.21	38.06	48.27	54.73	1.17	42.96	14.50
7/30/2018 11:33:55 AM	3.59	8.56	6.51	0.05	0.00	0.00	0.00	1.53	18.70	81.52	1.80	50.29	1901	8559	2929	1	0	0	0	0	13391	142.10	29.30	11.66	49.88	38.51	50.31	55.23	1.18	43.01	14.48
7/30/2018 11:33:57 AM	3.75	8.44	6.65	0.00	0.00	0.00	0.00	1.51	18.85	81.37	1.81	50.22	1990	8443	2993	0	0	0	0	0	13425	141.85	29.52	11.34	50.30	38.59	49.11	55.94	1.18	43.05	14.50
7/30/2018 11:34:00 AM	4.42	7.28	5.22	1.16	0.00	0.00	0.00	1.57	18.08	81.41	1.81	50.12	2343	7276	2351	35	0	0	0	0	12004	141.90	29.29	10.95	45.86	38.85	49.01	57.00	1.18	43.10	14.49
7/30/2018 11:34:02 AM	3.90	6.87	5.47	1.35	0.00	0.00	0.00	1.64	17.59	81.89	1.83	50.00	2068	6869	2463	41	0	0	0	0	11440	142.75	30.08	10.36	44.11	39.28	48.26	57.72	1.18	43.11	14.50
7/30/2018 11:34:04 AM	3.53	7.06	6.35	0.87	0.00	0.00	0.00	1.61	17.82	81.45	1.84	49.89	1871	7061	2858	26	0	0	0	0	11816	141.97	30.50	10.80	44.67	39.28	47.44	58.12	1.18	43.16	14.52
7/30/2018 11:34:07 AM	3.69	6.82	5.70	1.36	0.00	0.00	0.00	1.67	17.57	81.81	1.86	49.93	1958	6823	2563	41	0	0	0	0	11385	142.61	30.50	11.15	44.28	39.65	47.73	58.27	1.18	43.20	14.51
7/30/2018 11:34:09 AM	3.62	7.06	6.49	0.74	0.00	0.00	0.00	1.58	17.90	82.03	1.88	49.96	1917	7060	2920	22	0	0	0	0	11919	142.98	30.38	10.85	44.62	39.12	47.00	58.19	1.18	43.24	14.50
7/30/2018 11:34:11 AM	3.33	6.66	6.71	0.63	0.00	0.00	0.00	1.64	17.33	81.82	1.90	49.98	1763	6658	3019	19	0	0	0	0	11460	142.63	30.23	10.42	42.58	39.24	44.91	58.13	1.19	43.29	14.52
7/30/2018 11:34:14 AM	2.74	6.71	7.55	0.00	0.00	0.00	0.00	1.69	17.00	82.00	1.90	50.01	1450	6714	3399	0	0	0	0	0	11562	142.93	30.07	10.15	41.96	39.24	42.80	57.54	1.19	43.32	14.52
7/30/2018 11:34:16 AM	3.17	6.78	7.55	0.00	0.00	0.00	0.00	1.62	17.51	82.07	1.93	49.93	1681	6784	3398	0	0	0	0	0	11863	143.06	30.22	10.02	42.60	39.19	43.48	58.39	1.19	43.36	14.52
7/30/2018 11:34:19 AM	3.41	6.71	7.23	0.09	0.00	0.00	0.00	1.65	17.45	81.63	1.96	49.89	1806	6714	3254	3	0	0	0	0	11777	142.29	29.90	9.81	42.11	39.37	43.75	58.36	1.19	43.42	14.52
7/30/2018 11:34:21 AM	3.06	6.75	7.86	0.00	0.00	0.00	0.00	1.52	17.67	82.22	1.98	49.86	1624	6754	3535	0	0	0	0	0	11913	143.32	30.59	10.13	42.46	38.53	43.69	58.60	1.19	43.45	14.52
7/30/2018 11:34:23 AM	3.34	6.20	7.41	0.25	0.00	0.00	0.00	1.48	17.20	82.33	1.99	49.77	1769	6203	3334	7	0	0	0	0	11314	143.51	29.90	9.83	40.32	37.78	42.07	58.10	1.20	43.49	14.54
7/30/2018 11:34:26 AM	3.49	6.75	7.33	0.00	0.00	0.00	0.00	1.51	17.58	82.44	2.01	49.66	1851	6754	3298	0	0	0	0	0	11904	143.70	29.56	9.83	42.35	38.11	43.43	57.55	1.20	43.51	14.54
7/30/2018 11:34:28 AM	3.55	6.79	7.80	0.00	0.00	0.00	0.00	1.50	18.14	82.34	2.02	49.57	1882	6793	3509	0	0	0	0	0	12185	143.52	30.72	10.41	43.23	38.97	43.90	59.77	1.20	43.57	14.55
7/30/2018 11:34:31 AM	3.93	6.63	7.61	0.18	0.00	0.00	0.00	1.39	18.35	82.45	2.03	49.50	2085	6627	3426	5	0	0	0	0	12143	143.71	30.64	10.23	42.71	38.24	44.29	60.03	1.20	43.62	14.54
7/30/2018 11:34:33 AM	3.39	6.46	7.41	0.35	0.00	0.00	0.00	1.50	17.62	82.47	2.05	49.47	1798	6464	3335	10	0	0	0	0	11608	143.75	30.54	9.81	41.61	38.41	43.87	58.96	1.20	43.66	14.56
7/30/2018 11:34:35 AM	3.25	6.58	7.80	0.14	0.00	0.00	0.00	1.47	17.76	82.35	2.09	49.46	1721	6576	3508	4	0	0	0	0	11810	143.55	30.72	10.11	42.03	38.29	43.60	59.08	1.20	43.69	14.55
7/30/2018 11:34:38 AM	3.15	6.40	8.33	0.14	0.00	0.00	0.00	1.42	18.03	82.64	2.11	49.49	1671	6404	3750	4	0	0	0	0	11829	144.05	31.68	9.95	41.61	38.41	43.45	60.67	1.21	43.73	14.56
7/30/2018 11:34:40 AM	3.55	6.29	8.04	0.00	0.00	0.00	0.00	1.33	17.88	82.45	2.12	49.41	1881	6293	3618	0	0	0	0	0	11793	143.72	30.44	9.86	40.98	37.21	42.14	59.26	1.21	43.75	14.56
7/30/2018 11:34:42 AM	3.89	6.43	8.52	0.00	0.00	0.00	0.00	1.28	18.83	82.23	2.13	49.33	2060	6432	3832	0	0	0	0	0	12323	143.33	31.76	10.20	42.32	38.11	43.52	62.09	1.21	43.79	14.56
7/30/2018 11:34:45 AM	3.38	6.62	8.44	0.00	0.00	0.00	0.00	1.35	18.43	82.69	2.16	49.26	1789	6618	3796	0	0	0	0	0	12203	144.15	31.60	10.14	42.64	38.05	43.89	60.68	1.21	43.82	14.55
7/30/2018 11:34:47 AM	3.95	6.46	8.30	0.00	0.00	0.00	0.00	1.27	18.71	82.24	2.19	49.09	2094	6464	3734	0	0	0	0	0	12292	143.35	31.30	10.17	42.61	37.76	43.13	61.27	1.21	43.86	14.56
7/30/2018 11:34:50 AM	3.85	6.74	8.68	0.19	0.00	0.00	0.00	1.28	19.47	82.36	2.21	48.99	2040	6741	3908	6	0	0	0	0	12695	143.57	33.01	10.79	44.22	38.96	45.83	63.71	1.22	43.90	14.56
7/30/2018 11:34:52 AM	3.83	6.50	8.83	0.32	0.00	0.00	0.00	1.27	19.48	82.32	2.22	48.99	2029	6499	3972	10	0	0	0	0	12510	143.50	33.51	10.64	43.49	39.02	45.54	64.60	1.22	43.93	14.58
7/30/2018 11:34:54 AM	3.83	6.47	9.30	0.00	0.00	0.00	0.00	1.18	19.61	82.35	2.23	49.00	2029	6473	4187	0	0	0	0	0	12689	143.54	33.39	10.61	43.20	38.43	44.43	64.63	1.22	43.97	14.59
