
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,4-Jun-12 14:50:11,0.000004,-0.000244,1.003512,-0.000072,0.004134,0.037016,0.000000,1.000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21204020 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 7"
Sensor Name,Barometric Pressure (2),,Uploaded,"Aqua4Plus 1.9.501"
File Name,Falling Creek Bv,,Exported,"Aqua4Plus 2.1.4"
# Records,  5357 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,15 psia,
,Minimum,-9.00,13.459,
,Maximum,36.56,14.121,
,Mean,9.07,13.894,
,Variance,71.585,0.0095,
,Std Deviation,8.461,0.0976,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,24-Aug-12 07:00:00,17.31,13.972
2,24-Aug-12 08:00:00,18.94,13.986
3,24-Aug-12 09:00:00,21.94,13.969
4,24-Aug-12 10:00:00,26.69,13.971
5,24-Aug-12 11:00:00,29.38,13.971
6,24-Aug-12 12:00:00,31.38,13.968
7,24-Aug-12 13:00:00,31.81,13.959
8,24-Aug-12 14:00:00,30.06,13.956
9,24-Aug-12 15:00:00,30.06,13.953
10,24-Aug-12 16:00:00,29.81,13.946
11,24-Aug-12 17:00:00,30.06,13.939
12,24-Aug-12 18:00:00,28.81,13.946
13,24-Aug-12 19:00:00,26.38,13.947
14,24-Aug-12 20:00:00,23.69,13.953
15,24-Aug-12 21:00:00,21.00,13.959
16,24-Aug-12 22:00:00,19.94,13.963
17,24-Aug-12 23:00:00,18.75,13.965
18,25-Aug-12 00:00:00,17.94,13.968
19,25-Aug-12 01:00:00,17.25,13.970
20,25-Aug-12 02:00:00,17.13,13.967
21,25-Aug-12 03:00:00,16.81,13.962
22,25-Aug-12 04:00:00,16.81,13.957
23,25-Aug-12 05:00:00,16.13,13.952
24,25-Aug-12 06:00:00,15.94,13.956
