
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,4-Jun-12 14:50:11,0.000004,-0.000244,1.003512,-0.000072,0.004134,0.037016,0.000000,1.000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21204020 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 7"
Sensor Name,Barometric Pressure (2),,Uploaded,"Aqua4Plus 1.9.501"
File Name,FCRBV2013,,Exported,"Aqua4Plus 2.1.4"
# Records,  17655 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,15 psia,
,Minimum,-17.69,13.636,
,Maximum,36.50,14.154,
,Mean,11.08,13.918,
,Variance,103.417,0.0077,
,Std Deviation,10.169,0.0877,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,5-Aug-13 14:00:00,28.25,13.919
2,5-Aug-13 14:15:00,28.50,13.917
3,5-Aug-13 14:30:00,28.19,13.914
4,5-Aug-13 14:45:00,28.44,13.911
5,5-Aug-13 15:00:00,28.38,13.910
6,5-Aug-13 15:15:00,28.38,13.907
7,5-Aug-13 15:30:00,28.00,13.905
8,5-Aug-13 15:45:00,28.06,13.905
9,5-Aug-13 16:00:00,27.88,13.903
10,5-Aug-13 16:15:00,27.81,13.903
11,5-Aug-13 16:30:00,27.63,13.902
12,5-Aug-13 16:45:00,27.38,13.900
13,5-Aug-13 17:00:00,27.00,13.897
14,5-Aug-13 17:15:00,26.81,13.900
15,5-Aug-13 17:30:00,26.75,13.900
16,5-Aug-13 17:45:00,26.63,13.901
17,5-Aug-13 18:00:00,26.56,13.899
18,5-Aug-13 18:15:00,26.19,13.900
19,5-Aug-13 18:30:00,26.00,13.899
20,5-Aug-13 18:45:00,25.50,13.901
21,5-Aug-13 19:00:00,24.94,13.901
22,5-Aug-13 19:15:00,24.31,13.902
23,5-Aug-13 19:30:00,23.88,13.902
24,5-Aug-13 19:45:00,23.63,13.902
25,5-Aug-13 20:00:00,23.31,13.905
26,5-Aug-13 20:15:00,22.94,13.905
27,5-Aug-13 20:30:00,22.56,13.903
28,5-Aug-13 20:45:00,22.13,13.904
29,5-Aug-13 21:00:00,21.94,13.909
30,5-Aug-13 21:15:00,21.81,13.908
31,5-Aug-13 21:30:00,21.63,13.908
32,5-Aug-13 21:45:00,21.44,13.906
33,5-Aug-13 22:00:00,21.13,13.904
34,5-Aug-13 22:15:00,20.88,13.906
35,5-Aug-13 22:30:00,20.81,13.903
36,5-Aug-13 22:45:00,20.63,13.900
37,5-Aug-13 23:00:00,20.38,13.900
38,5-Aug-13 23:15:00,20.44,13.900
39,5-Aug-13 23:30:00,20.50,13.898
40,5-Aug-13 23:45:00,20.63,13.901
41,6-Aug-13 00:00:00,20.69,13.901
42,6-Aug-13 00:15:00,20.69,13.902
43,6-Aug-13 00:30:00,20.69,13.900
44,6-Aug-13 00:45:00,20.69,13.900
45,6-Aug-13 01:00:00,20.63,13.901
46,6-Aug-13 01:15:00,20.56,13.897
47,6-Aug-13 01:30:00,20.50,13.894
48,6-Aug-13 01:45:00,20.31,13.891
49,6-Aug-13 02:00:00,20.19,13.888
50,6-Aug-13 02:15:00,20.13,13.888
51,6-Aug-13 02:30:00,20.13,13.889
52,6-Aug-13 02:45:00,20.19,13.888
53,6-Aug-13 03:00:00,20.13,13.886
54,6-Aug-13 03:15:00,20.13,13.884
55,6-Aug-13 03:30:00,20.06,13.883
56,6-Aug-13 03:45:00,19.94,13.881
57,6-Aug-13 04:00:00,19.94,13.879
58,6-Aug-13 04:15:00,19.81,13.881
59,6-Aug-13 04:30:00,19.63,13.882
60,6-Aug-13 04:45:00,19.56,13.882
61,6-Aug-13 05:00:00,19.44,13.885
62,6-Aug-13 05:15:00,19.44,13.887
63,6-Aug-13 05:30:00,19.31,13.887
64,6-Aug-13 05:45:00,19.25,13.887
65,6-Aug-13 06:00:00,19.19,13.885
66,6-Aug-13 06:15:00,19.06,13.883
67,6-Aug-13 06:30:00,18.88,13.884
68,6-Aug-13 06:45:00,18.81,13.887
69,6-Aug-13 07:00:00,18.81,13.890
70,6-Aug-13 07:15:00,18.94,13.890
71,6-Aug-13 07:30:00,19.25,13.893
72,6-Aug-13 07:45:00,19.56,13.894
73,6-Aug-13 08:00:00,19.81,13.895
74,6-Aug-13 08:15:00,20.06,13.898
75,6-Aug-13 08:30:00,20.25,13.899
76,6-Aug-13 08:45:00,20.81,13.899
77,6-Aug-13 09:00:00,21.00,13.900
78,6-Aug-13 09:15:00,20.94,13.901
