
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,4-Jun-12 14:50:11,0.000004,-0.000244,1.003512,-0.000072,0.004134,0.037016,0.000000,1.000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21204020 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 7"
Sensor Name,Barometric Pressure (2),,Uploaded,"Aqua4Plus 1.9.501"
File Name,FCRBV,,Exported,"Aqua4Plus 2.1.4"
# Records,  5939 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,15 psia,
,Minimum,12.44,13.742,
,Maximum,36.38,14.034,
,Mean,23.77,13.899,
,Variance,24.255,0.0031,
,Std Deviation,4.925,0.0557,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,3-Jun-14 13:00:00,26.63,13.903
2,3-Jun-14 13:15:00,25.81,13.901
3,3-Jun-14 13:30:00,25.81,13.900
4,3-Jun-14 13:45:00,26.56,13.899
5,3-Jun-14 14:00:00,26.75,13.895
6,3-Jun-14 14:15:00,27.00,13.894
7,3-Jun-14 14:30:00,27.00,13.889
8,3-Jun-14 14:45:00,27.25,13.888
9,3-Jun-14 15:00:00,27.25,13.884
10,3-Jun-14 15:15:00,27.44,13.881
11,3-Jun-14 15:30:00,27.50,13.879
12,3-Jun-14 15:45:00,27.44,13.877
13,3-Jun-14 16:00:00,28.00,13.873
14,3-Jun-14 16:15:00,28.50,13.872
15,3-Jun-14 16:30:00,28.19,13.870
16,3-Jun-14 16:45:00,28.56,13.866
17,3-Jun-14 17:00:00,29.19,13.864
18,3-Jun-14 17:15:00,29.75,13.862
19,3-Jun-14 17:30:00,29.81,13.860
20,3-Jun-14 17:45:00,29.50,13.861
21,3-Jun-14 18:00:00,29.38,13.860
22,3-Jun-14 18:15:00,29.00,13.864
23,3-Jun-14 18:30:00,28.31,13.866
24,3-Jun-14 18:45:00,27.06,13.866
