
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,4-Jun-12 14:50:11,0.000004,-0.000244,1.003512,-0.000072,0.004134,0.037016,0.000000,1.000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21204020 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 7"
Sensor Name,Barometric Pressure (2),,Uploaded,"Aqua4Plus 1.9.501"
File Name,FCRBV,,Exported,"Aqua4Plus 2.1.4"
# Records,  6920 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,15 psia,
,Minimum,-9.19,13.649,
,Maximum,29.50,14.230,
,Mean,9.59,13.944,
,Variance,43.161,0.0098,
,Std Deviation,6.570,0.0990,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,31-Oct-15 12:00:00,13.44,13.969
2,31-Oct-15 12:15:00,12.88,13.967
3,31-Oct-15 12:30:00,12.50,13.964
4,31-Oct-15 12:45:00,12.13,13.958
5,31-Oct-15 13:00:00,12.00,13.960
6,31-Oct-15 13:15:00,11.94,13.962
7,31-Oct-15 13:30:00,11.94,13.959
8,31-Oct-15 13:45:00,12.19,13.952
9,31-Oct-15 14:00:00,12.69,13.948
10,31-Oct-15 14:15:00,13.50,13.947
11,31-Oct-15 14:30:00,13.88,13.942
12,31-Oct-15 14:45:00,14.19,13.938
13,31-Oct-15 15:00:00,14.06,13.935
14,31-Oct-15 15:15:00,14.06,13.935
15,31-Oct-15 15:30:00,14.13,13.935
16,31-Oct-15 15:45:00,14.06,13.932
17,31-Oct-15 16:00:00,13.94,13.934
18,31-Oct-15 16:15:00,14.06,13.935
19,31-Oct-15 16:30:00,13.69,13.935
20,31-Oct-15 16:45:00,13.19,13.935
21,31-Oct-15 17:00:00,13.00,13.938
22,31-Oct-15 17:15:00,12.81,13.938
23,31-Oct-15 17:30:00,12.56,13.936
24,31-Oct-15 17:45:00,12.38,13.936
25,31-Oct-15 18:00:00,12.13,13.934
26,31-Oct-15 18:15:00,11.81,13.933
27,31-Oct-15 18:30:00,11.63,13.932
28,31-Oct-15 18:45:00,11.44,13.931
29,31-Oct-15 19:00:00,11.31,13.930
30,31-Oct-15 19:15:00,11.25,13.929
31,31-Oct-15 19:30:00,11.19,13.927
32,31-Oct-15 19:45:00,11.06,13.924
33,31-Oct-15 20:00:00,11.00,13.923
34,31-Oct-15 20:15:00,11.00,13.918
35,31-Oct-15 20:30:00,11.00,13.914
36,31-Oct-15 20:45:00,11.00,13.912
37,31-Oct-15 21:00:00,11.00,13.911
38,31-Oct-15 21:15:00,11.06,13.911
39,31-Oct-15 21:30:00,11.06,13.914
40,31-Oct-15 21:45:00,11.06,13.908
41,31-Oct-15 22:00:00,11.13,13.908
42,31-Oct-15 22:15:00,11.13,13.908
43,31-Oct-15 22:30:00,11.00,13.906
44,31-Oct-15 22:45:00,11.00,13.903
45,31-Oct-15 23:00:00,11.13,13.903
46,31-Oct-15 23:15:00,11.00,13.903
47,31-Oct-15 23:30:00,11.00,13.899
48,31-Oct-15 23:45:00,11.06,13.894
49,1-Nov-15 00:00:00,11.19,13.892
50,1-Nov-15 00:15:00,11.13,13.888
51,1-Nov-15 00:30:00,11.13,13.888
52,1-Nov-15 00:45:00,11.06,13.881
53,1-Nov-15 01:00:00,11.13,13.883
54,1-Nov-15 01:15:00,11.25,13.882
55,1-Nov-15 01:30:00,11.25,13.883
56,1-Nov-15 01:45:00,11.25,13.877
57,1-Nov-15 02:00:00,11.19,13.879
58,1-Nov-15 02:15:00,11.19,13.883
59,1-Nov-15 02:30:00,11.13,13.882
60,1-Nov-15 02:45:00,11.00,13.879
61,1-Nov-15 03:00:00,11.13,13.880
62,1-Nov-15 03:15:00,11.19,13.877
63,1-Nov-15 03:30:00,11.25,13.873
64,1-Nov-15 03:45:00,11.31,13.874
65,1-Nov-15 04:00:00,11.38,13.873
66,1-Nov-15 04:15:00,11.38,13.867
67,1-Nov-15 04:30:00,11.44,13.870
68,1-Nov-15 04:45:00,11.50,13.872
69,1-Nov-15 05:00:00,11.56,13.870
70,1-Nov-15 05:15:00,11.63,13.867
71,1-Nov-15 05:30:00,11.69,13.872
72,1-Nov-15 05:45:00,11.69,13.870
73,1-Nov-15 06:00:00,11.75,13.872
74,1-Nov-15 06:15:00,11.75,13.871
75,1-Nov-15 06:30:00,11.75,13.871
76,1-Nov-15 06:45:00,11.69,13.872
77,1-Nov-15 07:00:00,11.63,13.876
78,1-Nov-15 07:15:00,11.63,13.876
79,1-Nov-15 07:30:00,11.56,13.879
80,1-Nov-15 07:45:00,11.56,13.877
81,1-Nov-15 08:00:00,11.69,13.875
82,1-Nov-15 08:15:00,11.75,13.877
83,1-Nov-15 08:30:00,11.81,13.882
84,1-Nov-15 08:45:00,11.94,13.884
85,1-Nov-15 09:00:00,12.06,13.887
86,1-Nov-15 09:15:00,12.13,13.887
87,1-Nov-15 09:30:00,12.19,13.890
88,1-Nov-15 09:45:00,12.31,13.887
89,1-Nov-15 10:00:00,12.50,13.892
90,1-Nov-15 10:15:00,12.69,13.895
91,1-Nov-15 10:30:00,13.00,13.896
92,1-Nov-15 10:45:00,13.31,13.892
93,1-Nov-15 11:00:00,14.00,13.891
94,1-Nov-15 11:15:00,14.63,13.893
95,1-Nov-15 11:30:00,15.13,13.889
96,1-Nov-15 11:45:00,15.81,13.893
97,1-Nov-15 12:00:00,16.56,13.893
98,1-Nov-15 12:15:00,17.63,13.890
99,1-Nov-15 12:30:00,18.06,13.885
100,1-Nov-15 12:45:00,18.31,13.889
101,1-Nov-15 13:00:00,18.63,13.885
102,1-Nov-15 13:15:00,19.25,13.882
103,1-Nov-15 13:30:00,19.38,13.880
104,1-Nov-15 13:45:00,19.81,13.876
105,1-Nov-15 14:00:00,20.56,13.875
106,1-Nov-15 14:15:00,20.56,13.875
107,1-Nov-15 14:30:00,20.31,13.878
108,1-Nov-15 14:45:00,20.13,13.877
109,1-Nov-15 15:00:00,20.19,13.876
110,1-Nov-15 15:15:00,20.13,13.877
111,1-Nov-15 15:30:00,20.00,13.879
112,1-Nov-15 15:45:00,19.75,13.881
113,1-Nov-15 16:00:00,19.50,13.880
114,1-Nov-15 16:15:00,19.31,13.878
115,1-Nov-15 16:30:00,19.25,13.880
116,1-Nov-15 16:45:00,19.19,13.883
117,1-Nov-15 17:00:00,19.13,13.882
118,1-Nov-15 17:15:00,19.00,13.883
119,1-Nov-15 17:30:00,18.81,13.885
120,1-Nov-15 17:45:00,18.38,13.886
121,1-Nov-15 18:00:00,17.94,13.890
122,1-Nov-15 18:15:00,17.44,13.893
123,1-Nov-15 18:30:00,16.94,13.895
124,1-Nov-15 18:45:00,16.56,13.899
125,1-Nov-15 19:00:00,16.25,13.903
126,1-Nov-15 19:15:00,16.13,13.905
127,1-Nov-15 19:30:00,16.06,13.904
128,1-Nov-15 19:45:00,15.94,13.905
129,1-Nov-15 20:00:00,15.94,13.906
130,1-Nov-15 20:15:00,15.69,13.908
131,1-Nov-15 20:30:00,15.56,13.909
132,1-Nov-15 20:45:00,15.50,13.910
133,1-Nov-15 21:00:00,15.44,13.911
134,1-Nov-15 21:15:00,15.38,13.912
135,1-Nov-15 21:30:00,15.31,13.913
136,1-Nov-15 21:45:00,15.25,13.915
137,1-Nov-15 22:00:00,15.19,13.914
138,1-Nov-15 22:15:00,15.19,13.913
139,1-Nov-15 22:30:00,15.13,13.912
140,1-Nov-15 22:45:00,14.94,13.910
141,1-Nov-15 23:00:00,14.75,13.910
142,1-Nov-15 23:15:00,14.69,13.911
143,1-Nov-15 23:30:00,14.75,13.912
144,1-Nov-15 23:45:00,14.75,13.913
145,2-Nov-15 00:00:00,14.88,13.916
146,2-Nov-15 00:15:00,15.00,13.915
147,2-Nov-15 00:30:00,15.06,13.915
148,2-Nov-15 00:45:00,15.00,13.913
149,2-Nov-15 01:00:00,15.06,13.911
150,2-Nov-15 01:15:00,15.13,13.908
151,2-Nov-15 01:30:00,15.06,13.908
152,2-Nov-15 01:45:00,15.00,13.902
153,2-Nov-15 02:00:00,15.00,13.903
154,2-Nov-15 02:15:00,14.94,13.903
155,2-Nov-15 02:30:00,14.88,13.903
156,2-Nov-15 02:45:00,14.81,13.902
157,2-Nov-15 03:00:00,14.81,13.902
158,2-Nov-15 03:15:00,14.75,13.902
159,2-Nov-15 03:30:00,14.69,13.901
160,2-Nov-15 03:45:00,14.63,13.899
161,2-Nov-15 04:00:00,14.63,13.897
162,2-Nov-15 04:15:00,14.50,13.897
163,2-Nov-15 04:30:00,14.38,13.898
164,2-Nov-15 04:45:00,14.25,13.898
165,2-Nov-15 05:00:00,14.13,13.897
166,2-Nov-15 05:15:00,14.00,13.896
167,2-Nov-15 05:30:00,13.88,13.900
168,2-Nov-15 05:45:00,13.81,13.897
169,2-Nov-15 06:00:00,13.75,13.900
170,2-Nov-15 06:15:00,13.69,13.897
171,2-Nov-15 06:30:00,13.63,13.896
172,2-Nov-15 06:45:00,13.56,13.895
173,2-Nov-15 07:00:00,13.50,13.895
174,2-Nov-15 07:15:00,13.50,13.899
175,2-Nov-15 07:30:00,13.50,13.907
176,2-Nov-15 07:45:00,13.50,13.913
177,2-Nov-15 08:00:00,13.56,13.912
178,2-Nov-15 08:15:00,13.56,13.911
179,2-Nov-15 08:30:00,13.56,13.914
180,2-Nov-15 08:45:00,13.50,13.918
181,2-Nov-15 09:00:00,13.56,13.916
182,2-Nov-15 09:15:00,13.69,13.915
183,2-Nov-15 09:30:00,14.00,13.916
184,2-Nov-15 09:45:00,14.25,13.921
185,2-Nov-15 10:00:00,14.31,13.917
186,2-Nov-15 10:15:00,14.44,13.913
187,2-Nov-15 10:30:00,14.56,13.918
188,2-Nov-15 10:45:00,14.63,13.912
189,2-Nov-15 11:00:00,14.69,13.917
190,2-Nov-15 11:15:00,14.75,13.912
191,2-Nov-15 11:30:00,14.81,13.924
192,2-Nov-15 11:45:00,14.56,13.941
193,2-Nov-15 12:00:00,14.50,13.939
194,2-Nov-15 12:15:00,14.13,13.936
195,2-Nov-15 12:30:00,14.13,13.930
196,2-Nov-15 12:45:00,14.38,13.932
197,2-Nov-15 13:00:00,14.63,13.930
198,2-Nov-15 13:15:00,14.69,13.927
199,2-Nov-15 13:30:00,14.81,13.927
200,2-Nov-15 13:45:00,14.81,13.926
201,2-Nov-15 14:00:00,14.94,13.924
202,2-Nov-15 14:15:00,15.06,13.928
203,2-Nov-15 14:30:00,15.13,13.924
204,2-Nov-15 14:45:00,15.25,13.922
205,2-Nov-15 15:00:00,15.19,13.917
206,2-Nov-15 15:15:00,15.25,13.919
207,2-Nov-15 15:30:00,15.00,13.916
208,2-Nov-15 15:45:00,14.75,13.924
209,2-Nov-15 16:00:00,14.56,13.923
210,2-Nov-15 16:15:00,14.56,13.921
211,2-Nov-15 16:30:00,14.63,13.921
212,2-Nov-15 16:45:00,14.75,13.920
213,2-Nov-15 17:00:00,14.81,13.919
214,2-Nov-15 17:15:00,14.81,13.922
215,2-Nov-15 17:30:00,14.63,13.922
216,2-Nov-15 17:45:00,14.38,13.924
217,2-Nov-15 18:00:00,14.19,13.925
218,2-Nov-15 18:15:00,14.00,13.926
219,2-Nov-15 18:30:00,13.88,13.929
220,2-Nov-15 18:45:00,13.81,13.931
221,2-Nov-15 19:00:00,13.75,13.934
222,2-Nov-15 19:15:00,13.63,13.934
223,2-Nov-15 19:30:00,13.50,13.935
224,2-Nov-15 19:45:00,13.50,13.935
225,2-Nov-15 20:00:00,13.50,13.937
226,2-Nov-15 20:15:00,13.38,13.936
227,2-Nov-15 20:30:00,13.25,13.937
228,2-Nov-15 20:45:00,13.19,13.938
229,2-Nov-15 21:00:00,13.13,13.940
230,2-Nov-15 21:15:00,13.13,13.938
231,2-Nov-15 21:30:00,13.13,13.937
232,2-Nov-15 21:45:00,13.06,13.935
233,2-Nov-15 22:00:00,13.06,13.939
234,2-Nov-15 22:15:00,13.00,13.942
235,2-Nov-15 22:30:00,13.00,13.943
236,2-Nov-15 22:45:00,13.00,13.944
237,2-Nov-15 23:00:00,13.00,13.944
238,2-Nov-15 23:15:00,13.00,13.942
239,2-Nov-15 23:30:00,13.00,13.943
240,2-Nov-15 23:45:00,13.00,13.944
241,3-Nov-15 00:00:00,13.00,13.945
242,3-Nov-15 00:15:00,13.00,13.945
243,3-Nov-15 00:30:00,13.00,13.944
244,3-Nov-15 00:45:00,13.00,13.943
245,3-Nov-15 01:00:00,13.00,13.945
246,3-Nov-15 01:15:00,13.00,13.945
247,3-Nov-15 01:30:00,13.00,13.944
248,3-Nov-15 01:45:00,12.94,13.942
249,3-Nov-15 02:00:00,12.88,13.944
250,3-Nov-15 02:15:00,12.81,13.946
