
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,4-Jun-12 14:50:11,0.0000040000,-0.0002440000,1.0035119057,-0.0000720000,0.0041340003,0.0370159969,0.0000000000,1.0000000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21204020 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 7"
Sensor Name,Barometric Pressure (2),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR BV 2018-02-19,,Exported,"Aqua4Plus 1.9.10"
# Records,  2682 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,15 psia,
,Minimum,-3.38,13.682,
,Maximum,28.69,14.110,
,Mean,7.52,13.890,
,Variance,37.920,0.0108,
,Std Deviation,6.158,0.1038,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,19-Feb-18 13:00:00,10.63,14.050
2,19-Feb-18 13:15:00,10.50,14.044
3,19-Feb-18 13:30:00,10.44,14.043
4,19-Feb-18 13:45:00,10.44,14.041
5,19-Feb-18 14:00:00,10.31,14.038
6,19-Feb-18 14:15:00,10.75,14.035
7,19-Feb-18 14:30:00,10.75,14.035
8,19-Feb-18 14:45:00,10.56,14.032
9,19-Feb-18 15:00:00,10.56,14.033
10,19-Feb-18 15:15:00,10.50,14.032
11,19-Feb-18 15:30:00,10.44,14.032
12,19-Feb-18 15:45:00,10.13,14.033
13,19-Feb-18 16:00:00,9.88,14.033
14,19-Feb-18 16:15:00,9.56,14.029
15,19-Feb-18 16:30:00,9.38,14.029
16,19-Feb-18 16:45:00,9.19,14.033
17,19-Feb-18 17:00:00,9.13,14.034
18,19-Feb-18 17:15:00,9.06,14.034
19,19-Feb-18 17:30:00,9.06,14.034
20,19-Feb-18 17:45:00,9.00,14.034
21,19-Feb-18 18:00:00,9.00,14.036
22,19-Feb-18 18:15:00,8.94,14.036
23,19-Feb-18 18:30:00,8.94,14.034
24,19-Feb-18 18:45:00,8.94,14.036
25,19-Feb-18 19:00:00,8.94,14.039
26,19-Feb-18 19:15:00,8.94,14.040
27,19-Feb-18 19:30:00,8.88,14.042
28,19-Feb-18 19:45:00,8.88,14.041
29,19-Feb-18 20:00:00,8.88,14.042
30,19-Feb-18 20:15:00,8.88,14.044
31,19-Feb-18 20:30:00,8.88,14.046
32,19-Feb-18 20:45:00,8.81,14.048
33,19-Feb-18 21:00:00,8.75,14.049
34,19-Feb-18 21:15:00,8.75,14.046
35,19-Feb-18 21:30:00,8.69,14.047
36,19-Feb-18 21:45:00,8.75,14.047
37,19-Feb-18 22:00:00,8.75,14.048
38,19-Feb-18 22:15:00,8.88,14.047
39,19-Feb-18 22:30:00,8.94,14.047
40,19-Feb-18 22:45:00,9.00,14.049
41,19-Feb-18 23:00:00,9.00,14.048
42,19-Feb-18 23:15:00,9.06,14.046
43,19-Feb-18 23:30:00,9.06,14.050
44,19-Feb-18 23:45:00,9.13,14.049
45,20-Feb-18 00:00:00,9.13,14.052
46,20-Feb-18 00:15:00,9.13,14.053
47,20-Feb-18 00:30:00,9.13,14.051
48,20-Feb-18 00:45:00,9.00,14.051
49,20-Feb-18 01:00:00,8.88,14.051
50,20-Feb-18 01:15:00,8.69,14.051
51,20-Feb-18 01:30:00,8.50,14.051
52,20-Feb-18 01:45:00,8.38,14.049
53,20-Feb-18 02:00:00,8.13,14.051
54,20-Feb-18 02:15:00,7.75,14.049
55,20-Feb-18 02:30:00,7.50,14.047
56,20-Feb-18 02:45:00,7.25,14.049
57,20-Feb-18 03:00:00,7.06,14.051
58,20-Feb-18 03:15:00,7.00,14.049
59,20-Feb-18 03:30:00,6.81,14.045
60,20-Feb-18 03:45:00,6.81,14.046
61,20-Feb-18 04:00:00,6.88,14.048
62,20-Feb-18 04:15:00,6.94,14.049
63,20-Feb-18 04:30:00,7.06,14.050
64,20-Feb-18 04:45:00,7.13,14.050
65,20-Feb-18 05:00:00,7.25,14.051
66,20-Feb-18 05:15:00,7.44,14.053
67,20-Feb-18 05:30:00,7.63,14.058
68,20-Feb-18 05:45:00,7.75,14.054
69,20-Feb-18 06:00:00,7.81,14.056
70,20-Feb-18 06:15:00,7.94,14.059
71,20-Feb-18 06:30:00,7.88,14.061
72,20-Feb-18 06:45:00,7.75,14.062
73,20-Feb-18 07:00:00,7.56,14.062
74,20-Feb-18 07:15:00,7.44,14.066
75,20-Feb-18 07:30:00,7.19,14.068
76,20-Feb-18 07:45:00,7.19,14.068
77,20-Feb-18 08:00:00,7.38,14.070
78,20-Feb-18 08:15:00,7.56,14.074
79,20-Feb-18 08:30:00,7.88,14.074
80,20-Feb-18 08:45:00,8.69,14.074
81,20-Feb-18 09:00:00,11.44,14.077
82,20-Feb-18 09:15:00,14.44,14.076
83,20-Feb-18 09:30:00,16.00,14.076
84,20-Feb-18 09:45:00,17.25,14.078
85,20-Feb-18 10:00:00,18.38,14.076
86,20-Feb-18 10:15:00,18.00,14.075
87,20-Feb-18 10:30:00,17.00,14.075
88,20-Feb-18 10:45:00,18.75,14.075
89,20-Feb-18 11:00:00,19.75,14.074
90,20-Feb-18 11:15:00,20.25,14.074
91,20-Feb-18 11:30:00,21.00,14.070
92,20-Feb-18 11:45:00,21.63,14.068
93,20-Feb-18 12:00:00,22.19,14.064
