
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,4-Jun-12 14:50:11,0.0000040000,-0.0002440000,1.0035119057,-0.0000720000,0.0041340003,0.0370159969,0.0000000000,1.0000000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21204020 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 7"
Sensor Name,Barometric Pressure (2),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR BV_2018-03-19,,Exported,"Aqua4Plus 1.9.10"
# Records,  13443 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,15 psia,
,Minimum,-2.50,13.634,
,Maximum,35.81,14.149,
,Mean,19.61,13.902,
,Variance,66.958,0.0055,
,Std Deviation,8.183,0.0743,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,19-Mar-18 13:00:00,16.88,13.779
2,19-Mar-18 13:15:00,17.31,13.778
3,19-Mar-18 13:30:00,17.88,13.779
4,19-Mar-18 13:45:00,18.44,13.776
5,19-Mar-18 14:00:00,18.56,13.772
6,19-Mar-18 14:15:00,18.69,13.773
7,19-Mar-18 14:30:00,19.13,13.771
8,19-Mar-18 14:45:00,19.00,13.772
9,19-Mar-18 15:00:00,17.88,13.768
10,19-Mar-18 15:15:00,17.19,13.766
11,19-Mar-18 15:30:00,17.50,13.767
12,19-Mar-18 15:45:00,17.63,13.764
13,19-Mar-18 16:00:00,17.38,13.766
14,19-Mar-18 16:15:00,17.13,13.763
15,19-Mar-18 16:30:00,16.94,13.762
16,19-Mar-18 16:45:00,16.75,13.760
17,19-Mar-18 17:00:00,16.75,13.759
18,19-Mar-18 17:15:00,16.50,13.757
19,19-Mar-18 17:30:00,16.31,13.751
20,19-Mar-18 17:45:00,16.06,13.753
21,19-Mar-18 18:00:00,15.75,13.758
22,19-Mar-18 18:15:00,15.31,13.759
23,19-Mar-18 18:30:00,15.06,13.757
24,19-Mar-18 18:45:00,14.75,13.759
25,19-Mar-18 19:00:00,14.44,13.760
26,19-Mar-18 19:15:00,14.13,13.755
27,19-Mar-18 19:30:00,13.88,13.761
28,19-Mar-18 19:45:00,13.69,13.756
29,19-Mar-18 20:00:00,13.56,13.758
30,19-Mar-18 20:15:00,13.31,13.761
31,19-Mar-18 20:30:00,13.00,13.763
32,19-Mar-18 20:45:00,12.75,13.760
33,19-Mar-18 21:00:00,12.50,13.759
34,19-Mar-18 21:15:00,12.19,13.756
35,19-Mar-18 21:30:00,11.88,13.752
36,19-Mar-18 21:45:00,11.44,13.753
