
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,4-Jun-12 14:50:11,0.0000040000,-0.0002440000,1.0035119057,-0.0000720000,0.0041340003,0.0370159969,0.0000000000,1.0000000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21204020 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 7"
Sensor Name,Barometric Pressure (2),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_BV_20181008,,Exported,"Aqua4Plus 1.9.10"
# Records,  2023 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,15 psia,
,Minimum,1.44,13.660,
,Maximum,27.88,14.090,
,Mean,12.93,13.908,
,Variance,32.204,0.0093,
,Std Deviation,5.675,0.0964,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,8-Oct-18 12:00:00,27.13,14.049
2,8-Oct-18 12:15:00,27.25,14.047
3,8-Oct-18 12:30:00,27.44,14.046
4,8-Oct-18 12:45:00,26.88,14.047
5,8-Oct-18 13:00:00,26.50,14.044
6,8-Oct-18 13:15:00,26.81,14.040
7,8-Oct-18 13:30:00,27.00,14.038
8,8-Oct-18 13:45:00,27.13,14.035
9,8-Oct-18 14:00:00,27.00,14.033
10,8-Oct-18 14:15:00,26.94,14.030
11,8-Oct-18 14:30:00,27.00,14.030
12,8-Oct-18 14:45:00,26.94,14.030
13,8-Oct-18 15:00:00,27.13,14.028
14,8-Oct-18 15:15:00,27.25,14.027
15,8-Oct-18 15:30:00,27.44,14.027
16,8-Oct-18 15:45:00,27.19,14.026
17,8-Oct-18 16:00:00,27.50,14.027
18,8-Oct-18 16:15:00,27.88,14.024
19,8-Oct-18 16:30:00,27.44,14.024
20,8-Oct-18 16:45:00,27.13,14.023
21,8-Oct-18 17:00:00,26.81,14.023
22,8-Oct-18 17:15:00,26.88,14.021
23,8-Oct-18 17:30:00,26.63,14.023
24,8-Oct-18 17:45:00,26.06,14.023
25,8-Oct-18 18:00:00,25.56,14.024
26,8-Oct-18 18:15:00,25.06,14.023
27,8-Oct-18 18:30:00,24.50,14.025
28,8-Oct-18 18:45:00,23.88,14.026
29,8-Oct-18 19:00:00,23.44,14.028
30,8-Oct-18 19:15:00,23.06,14.028
31,8-Oct-18 19:30:00,22.69,14.029
32,8-Oct-18 19:45:00,22.38,14.029
33,8-Oct-18 20:00:00,22.13,14.030
34,8-Oct-18 20:15:00,22.06,14.031
35,8-Oct-18 20:30:00,22.19,14.031
36,8-Oct-18 20:45:00,22.50,14.033
37,8-Oct-18 21:00:00,22.56,14.035
38,8-Oct-18 21:15:00,22.56,14.036
39,8-Oct-18 21:30:00,22.44,14.037
40,8-Oct-18 21:45:00,22.38,14.039
41,8-Oct-18 22:00:00,22.31,14.039
42,8-Oct-18 22:15:00,22.38,14.041
43,8-Oct-18 22:30:00,22.38,14.043
44,8-Oct-18 22:45:00,22.31,14.045
45,8-Oct-18 23:00:00,22.31,14.046
46,8-Oct-18 23:15:00,22.25,14.044
47,8-Oct-18 23:30:00,22.13,14.045
48,8-Oct-18 23:45:00,22.00,14.044
49,9-Oct-18 00:00:00,21.94,14.044
50,9-Oct-18 00:15:00,21.81,14.045
51,9-Oct-18 00:30:00,21.75,14.045
52,9-Oct-18 00:45:00,21.56,14.045
53,9-Oct-18 01:00:00,21.50,14.046
54,9-Oct-18 01:15:00,21.44,14.045
55,9-Oct-18 01:30:00,21.31,14.046
56,9-Oct-18 01:45:00,21.19,14.044
57,9-Oct-18 02:00:00,21.13,14.042
58,9-Oct-18 02:15:00,21.00,14.040
59,9-Oct-18 02:30:00,20.88,14.038
60,9-Oct-18 02:45:00,20.75,14.037
61,9-Oct-18 03:00:00,20.69,14.036
62,9-Oct-18 03:15:00,20.63,14.033
63,9-Oct-18 03:30:00,20.50,14.031
64,9-Oct-18 03:45:00,20.44,14.029
65,9-Oct-18 04:00:00,20.38,14.028
66,9-Oct-18 04:15:00,20.38,14.027
67,9-Oct-18 04:30:00,20.38,14.027
68,9-Oct-18 04:45:00,20.31,14.026
69,9-Oct-18 05:00:00,20.25,14.027
70,9-Oct-18 05:15:00,20.25,14.028
71,9-Oct-18 05:30:00,20.19,14.029
72,9-Oct-18 05:45:00,20.13,14.030
73,9-Oct-18 06:00:00,20.06,14.031
74,9-Oct-18 06:15:00,20.00,14.032
75,9-Oct-18 06:30:00,20.00,14.034
76,9-Oct-18 06:45:00,19.94,14.035
77,9-Oct-18 07:00:00,19.88,14.035
78,9-Oct-18 07:15:00,19.88,14.035
79,9-Oct-18 07:30:00,19.81,14.035
80,9-Oct-18 07:45:00,19.81,14.037
81,9-Oct-18 08:00:00,19.81,14.037
82,9-Oct-18 08:15:00,19.94,14.038
83,9-Oct-18 08:30:00,20.00,14.038
84,9-Oct-18 08:45:00,20.06,14.037
85,9-Oct-18 09:00:00,20.19,14.036
86,9-Oct-18 09:15:00,20.44,14.037
87,9-Oct-18 09:30:00,20.69,14.039
88,9-Oct-18 09:45:00,20.69,14.040
89,9-Oct-18 10:00:00,20.94,14.041
90,9-Oct-18 10:15:00,21.44,14.041
91,9-Oct-18 10:30:00,21.69,14.040
92,9-Oct-18 10:45:00,21.63,14.039
93,9-Oct-18 11:00:00,21.75,14.037
94,9-Oct-18 11:15:00,22.00,14.038
95,9-Oct-18 11:30:00,22.13,14.036
96,9-Oct-18 11:45:00,22.69,14.033
97,9-Oct-18 12:00:00,23.19,14.032
98,9-Oct-18 12:15:00,23.44,14.030
99,9-Oct-18 12:30:00,23.50,14.029
100,9-Oct-18 12:45:00,23.94,14.029
101,9-Oct-18 13:00:00,23.88,14.024
102,9-Oct-18 13:15:00,24.44,14.022
103,9-Oct-18 13:30:00,24.00,14.018
104,9-Oct-18 13:45:00,23.88,14.017
105,9-Oct-18 14:00:00,24.00,14.013
106,9-Oct-18 14:15:00,24.25,14.007
107,9-Oct-18 14:30:00,24.38,14.004
108,9-Oct-18 14:45:00,24.63,14.002
109,9-Oct-18 15:00:00,24.75,14.001
110,9-Oct-18 15:15:00,24.94,13.998
111,9-Oct-18 15:30:00,24.94,13.996
112,9-Oct-18 15:45:00,25.00,13.991
113,9-Oct-18 16:00:00,25.63,13.989
114,9-Oct-18 16:15:00,25.25,13.989
115,9-Oct-18 16:30:00,24.75,13.986
116,9-Oct-18 16:45:00,24.25,13.986
117,9-Oct-18 17:00:00,23.69,13.984
118,9-Oct-18 17:15:00,23.25,13.984
119,9-Oct-18 17:30:00,22.81,13.985
120,9-Oct-18 17:45:00,22.50,13.987
121,9-Oct-18 18:00:00,21.88,13.986
122,9-Oct-18 18:15:00,21.63,13.987
123,9-Oct-18 18:30:00,21.44,13.983
124,9-Oct-18 18:45:00,21.25,13.982
125,9-Oct-18 19:00:00,21.13,13.983
126,9-Oct-18 19:15:00,21.00,13.984
127,9-Oct-18 19:30:00,20.88,13.984
128,9-Oct-18 19:45:00,20.75,13.979
129,9-Oct-18 20:00:00,20.63,13.980
130,9-Oct-18 20:15:00,20.56,13.981
131,9-Oct-18 20:30:00,20.50,13.983
132,9-Oct-18 20:45:00,20.50,13.985
133,9-Oct-18 21:00:00,20.50,13.983
134,9-Oct-18 21:15:00,20.44,13.982
135,9-Oct-18 21:30:00,20.44,13.980
136,9-Oct-18 21:45:00,20.31,13.981
137,9-Oct-18 22:00:00,20.13,13.978
138,9-Oct-18 22:15:00,20.06,13.979
139,9-Oct-18 22:30:00,20.13,13.980
140,9-Oct-18 22:45:00,20.06,13.979
141,9-Oct-18 23:00:00,20.00,13.979
142,9-Oct-18 23:15:00,20.13,13.980
143,9-Oct-18 23:30:00,20.19,13.980
144,9-Oct-18 23:45:00,20.25,13.978
145,10-Oct-18 00:00:00,20.31,13.976
146,10-Oct-18 00:15:00,20.31,13.976
147,10-Oct-18 00:30:00,20.31,13.975
148,10-Oct-18 00:45:00,20.31,13.971
149,10-Oct-18 01:00:00,20.31,13.971
150,10-Oct-18 01:15:00,20.31,13.970
151,10-Oct-18 01:30:00,20.25,13.967
152,10-Oct-18 01:45:00,20.19,13.966
153,10-Oct-18 02:00:00,20.19,13.965
154,10-Oct-18 02:15:00,20.19,13.963
155,10-Oct-18 02:30:00,20.13,13.963
156,10-Oct-18 02:45:00,20.13,13.959
157,10-Oct-18 03:00:00,20.06,13.957
158,10-Oct-18 03:15:00,20.06,13.955
159,10-Oct-18 03:30:00,20.00,13.951
160,10-Oct-18 03:45:00,20.00,13.949
161,10-Oct-18 04:00:00,19.94,13.948
162,10-Oct-18 04:15:00,19.94,13.945
163,10-Oct-18 04:30:00,19.94,13.945
164,10-Oct-18 04:45:00,19.88,13.942
165,10-Oct-18 05:00:00,19.88,13.940
166,10-Oct-18 05:15:00,19.81,13.939
167,10-Oct-18 05:30:00,19.81,13.940
168,10-Oct-18 05:45:00,19.75,13.939
169,10-Oct-18 06:00:00,19.75,13.941
170,10-Oct-18 06:15:00,19.75,13.940
171,10-Oct-18 06:30:00,19.69,13.940
172,10-Oct-18 06:45:00,19.69,13.940
173,10-Oct-18 07:00:00,19.69,13.939
174,10-Oct-18 07:15:00,19.69,13.939
175,10-Oct-18 07:30:00,19.69,13.938
176,10-Oct-18 07:45:00,19.69,13.940
177,10-Oct-18 08:00:00,19.69,13.942
178,10-Oct-18 08:15:00,19.75,13.942
179,10-Oct-18 08:30:00,19.75,13.942
180,10-Oct-18 08:45:00,19.81,13.942
181,10-Oct-18 09:00:00,19.81,13.941
182,10-Oct-18 09:15:00,19.94,13.940
183,10-Oct-18 09:30:00,20.06,13.938
184,10-Oct-18 09:45:00,20.13,13.938
185,10-Oct-18 10:00:00,20.19,13.937
186,10-Oct-18 10:15:00,20.19,13.938
187,10-Oct-18 10:30:00,20.19,13.938
188,10-Oct-18 10:45:00,20.25,13.936
189,10-Oct-18 11:00:00,20.31,13.934
190,10-Oct-18 11:15:00,20.44,13.931
191,10-Oct-18 11:30:00,20.50,13.930
192,10-Oct-18 11:45:00,20.50,13.930
193,10-Oct-18 12:00:00,20.50,13.929
194,10-Oct-18 12:15:00,20.56,13.925
195,10-Oct-18 12:30:00,20.56,13.921
196,10-Oct-18 12:45:00,20.63,13.920
197,10-Oct-18 13:00:00,20.63,13.915
198,10-Oct-18 13:15:00,20.75,13.911
199,10-Oct-18 13:30:00,20.81,13.907
200,10-Oct-18 13:45:00,20.88,13.899
201,10-Oct-18 14:00:00,20.81,13.898
202,10-Oct-18 14:15:00,20.88,13.892
203,10-Oct-18 14:30:00,20.94,13.886
204,10-Oct-18 14:45:00,20.94,13.882
205,10-Oct-18 15:00:00,21.00,13.883
206,10-Oct-18 15:15:00,21.06,13.880
207,10-Oct-18 15:30:00,21.13,13.878
208,10-Oct-18 15:45:00,21.25,13.871
209,10-Oct-18 16:00:00,21.31,13.871
210,10-Oct-18 16:15:00,21.31,13.868
211,10-Oct-18 16:30:00,21.38,13.865
212,10-Oct-18 16:45:00,21.38,13.864
213,10-Oct-18 17:00:00,21.38,13.862
214,10-Oct-18 17:15:00,21.38,13.860
215,10-Oct-18 17:30:00,21.38,13.863
216,10-Oct-18 17:45:00,21.44,13.861
217,10-Oct-18 18:00:00,21.44,13.862
218,10-Oct-18 18:15:00,21.44,13.859
219,10-Oct-18 18:30:00,21.50,13.856
220,10-Oct-18 18:45:00,21.50,13.856
221,10-Oct-18 19:00:00,21.50,13.855
222,10-Oct-18 19:15:00,21.56,13.854
223,10-Oct-18 19:30:00,21.56,13.851
224,10-Oct-18 19:45:00,21.56,13.853
225,10-Oct-18 20:00:00,21.63,13.854
226,10-Oct-18 20:15:00,21.63,13.853
227,10-Oct-18 20:30:00,21.63,13.852
228,10-Oct-18 20:45:00,21.63,13.849
229,10-Oct-18 21:00:00,21.63,13.847
230,10-Oct-18 21:15:00,21.56,13.844
231,10-Oct-18 21:30:00,21.56,13.843
232,10-Oct-18 21:45:00,21.50,13.846
233,10-Oct-18 22:00:00,21.50,13.843
234,10-Oct-18 22:15:00,21.50,13.841
235,10-Oct-18 22:30:00,21.44,13.839
236,10-Oct-18 22:45:00,21.44,13.837
237,10-Oct-18 23:00:00,21.44,13.834
238,10-Oct-18 23:15:00,21.44,13.831
239,10-Oct-18 23:30:00,21.38,13.830
240,10-Oct-18 23:45:00,21.38,13.828
241,11-Oct-18 00:00:00,21.31,13.825
242,11-Oct-18 00:15:00,21.38,13.821
243,11-Oct-18 00:30:00,21.31,13.817
244,11-Oct-18 00:45:00,21.31,13.814
245,11-Oct-18 01:00:00,21.31,13.809
246,11-Oct-18 01:15:00,21.38,13.808
247,11-Oct-18 01:30:00,21.31,13.806
248,11-Oct-18 01:45:00,21.31,13.805
249,11-Oct-18 02:00:00,21.31,13.803
250,11-Oct-18 02:15:00,21.31,13.800
251,11-Oct-18 02:30:00,21.31,13.798
252,11-Oct-18 02:45:00,21.31,13.797
253,11-Oct-18 03:00:00,21.31,13.792
254,11-Oct-18 03:15:00,21.31,13.791
255,11-Oct-18 03:30:00,21.31,13.790
256,11-Oct-18 03:45:00,21.31,13.791
257,11-Oct-18 04:00:00,21.38,13.789
258,11-Oct-18 04:15:00,21.38,13.785
259,11-Oct-18 04:30:00,21.38,13.785
260,11-Oct-18 04:45:00,21.38,13.784
261,11-Oct-18 05:00:00,21.38,13.785
262,11-Oct-18 05:15:00,21.38,13.784
263,11-Oct-18 05:30:00,21.38,13.785
264,11-Oct-18 05:45:00,21.38,13.782
265,11-Oct-18 06:00:00,21.38,13.781
266,11-Oct-18 06:15:00,21.38,13.781
267,11-Oct-18 06:30:00,21.31,13.780
268,11-Oct-18 06:45:00,21.31,13.780
269,11-Oct-18 07:00:00,21.38,13.778
