
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,4-Jun-12 14:50:11,0.0000040000,-0.0002440000,1.0035119057,-0.0000720000,0.0041340003,0.0370159969,0.0000000000,1.0000000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21204020 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 7"
Sensor Name,Barometric Pressure (2),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_BV_20181029,,Exported,"Aqua4Plus 1.9.10"
# Records,  2009 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,15 psia,
,Minimum,-4.19,13.706,
,Maximum,23.25,14.101,
,Mean,8.36,13.933,
,Variance,30.302,0.0070,
,Std Deviation,5.505,0.0836,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,29-Oct-18 14:00:00,13.81,13.887
2,29-Oct-18 14:15:00,13.75,13.889
3,29-Oct-18 14:30:00,13.19,13.889
4,29-Oct-18 14:45:00,12.81,13.887
5,29-Oct-18 15:00:00,12.69,13.887
6,29-Oct-18 15:15:00,12.50,13.889
7,29-Oct-18 15:30:00,12.31,13.889
8,29-Oct-18 15:45:00,12.50,13.892
9,29-Oct-18 16:00:00,12.88,13.893
10,29-Oct-18 16:15:00,13.50,13.895
11,29-Oct-18 16:30:00,13.63,13.898
12,29-Oct-18 16:45:00,13.50,13.898
13,29-Oct-18 17:00:00,13.25,13.898
14,29-Oct-18 17:15:00,12.94,13.900
15,29-Oct-18 17:30:00,12.50,13.902
16,29-Oct-18 17:45:00,11.94,13.901
17,29-Oct-18 18:00:00,11.38,13.903
18,29-Oct-18 18:15:00,10.81,13.907
19,29-Oct-18 18:30:00,10.44,13.908
20,29-Oct-18 18:45:00,10.25,13.913
21,29-Oct-18 19:00:00,10.25,13.918
22,29-Oct-18 19:15:00,10.19,13.920
23,29-Oct-18 19:30:00,10.00,13.918
24,29-Oct-18 19:45:00,9.94,13.927
25,29-Oct-18 20:00:00,9.94,13.924
26,29-Oct-18 20:15:00,9.81,13.926
27,29-Oct-18 20:30:00,9.50,13.928
28,29-Oct-18 20:45:00,9.25,13.927
29,29-Oct-18 21:00:00,9.00,13.925
30,29-Oct-18 21:15:00,8.75,13.927
31,29-Oct-18 21:30:00,8.56,13.928
32,29-Oct-18 21:45:00,8.19,13.930
33,29-Oct-18 22:00:00,7.63,13.930
34,29-Oct-18 22:15:00,7.31,13.931
35,29-Oct-18 22:30:00,6.88,13.931
36,29-Oct-18 22:45:00,6.94,13.935
37,29-Oct-18 23:00:00,6.88,13.937
38,29-Oct-18 23:15:00,6.69,13.938
39,29-Oct-18 23:30:00,6.44,13.935
40,29-Oct-18 23:45:00,6.19,13.936
41,30-Oct-18 00:00:00,5.94,13.937
42,30-Oct-18 00:15:00,5.63,13.936
43,30-Oct-18 00:30:00,5.38,13.938
44,30-Oct-18 00:45:00,5.19,13.939
45,30-Oct-18 01:00:00,4.94,13.937
46,30-Oct-18 01:15:00,4.75,13.938
47,30-Oct-18 01:30:00,4.50,13.940
48,30-Oct-18 01:45:00,4.31,13.941
49,30-Oct-18 02:00:00,4.25,13.942
50,30-Oct-18 02:15:00,4.13,13.940
51,30-Oct-18 02:30:00,4.06,13.939
52,30-Oct-18 02:45:00,4.00,13.942
53,30-Oct-18 03:00:00,3.88,13.943
54,30-Oct-18 03:15:00,3.88,13.943
55,30-Oct-18 03:30:00,3.88,13.943
56,30-Oct-18 03:45:00,3.94,13.942
57,30-Oct-18 04:00:00,4.06,13.943
58,30-Oct-18 04:15:00,3.94,13.943
59,30-Oct-18 04:30:00,3.88,13.946
60,30-Oct-18 04:45:00,4.13,13.945
61,30-Oct-18 05:00:00,4.69,13.947
