
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,25-Mar-13 09:51:57,0.000000,-0.000063,1.000679,0.000009,0.000455,0.153440,0.000000,1.000000

Field Calibration Data
,Temperature,Cal Date,m,b
,Pressure,Cal Date,m,b
,Temperature(degC),unknown,1.000000,0.00
,Pressure(psi),unknown,1.000000,0.00

Sensor/Session information
SensorSN, 21309003 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 9"
Sensor Name,INW Smart Sensor,,Uploaded,"Aqua4Plus 1.9.302"
Session Name,FCR_Inf2_15min2013,,Exported,"Aqua4Plus 1.9.302"
# Records,  7954 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,30 psia,
,Minimum,14.50,13.906,
,Maximum,20.00,14.543,
,Mean,17.74,14.158,
,Variance,1.048,0.0072,
,Std Deviation,1.024,0.0850,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,13-Jun-13 14:00:00,19.06,13.962
2,13-Jun-13 14:15:00,19.06,13.960
3,13-Jun-13 14:30:00,19.06,14.011
4,13-Jun-13 14:45:00,18.81,14.000
5,13-Jun-13 15:00:00,18.63,13.982
6,13-Jun-13 15:15:00,18.44,14.000
7,13-Jun-13 15:30:00,18.25,14.012
8,13-Jun-13 15:45:00,18.13,14.005
9,13-Jun-13 16:00:00,18.06,13.978
10,13-Jun-13 16:15:00,18.00,13.971
11,13-Jun-13 16:30:00,18.00,13.968
12,13-Jun-13 16:45:00,18.00,13.974
13,13-Jun-13 17:00:00,17.94,13.976
14,13-Jun-13 17:15:00,17.94,13.979
15,13-Jun-13 17:30:00,17.88,13.982
16,13-Jun-13 17:45:00,17.88,13.984
17,13-Jun-13 18:00:00,17.88,13.985
18,13-Jun-13 18:15:00,17.88,13.974
19,13-Jun-13 18:30:00,17.81,13.971
20,13-Jun-13 18:45:00,17.81,13.972
21,13-Jun-13 19:00:00,17.81,13.976
22,13-Jun-13 19:15:00,17.75,13.980
23,13-Jun-13 19:30:00,17.69,13.982
24,13-Jun-13 19:45:00,17.69,13.984
25,13-Jun-13 20:00:00,17.63,13.989
26,13-Jun-13 20:15:00,17.56,13.991
27,13-Jun-13 20:30:00,17.56,14.000
28,13-Jun-13 20:45:00,17.56,14.001
29,13-Jun-13 21:00:00,17.50,14.004
30,13-Jun-13 21:15:00,17.44,14.010
31,13-Jun-13 21:30:00,17.44,14.015
32,13-Jun-13 21:45:00,17.38,14.014
33,13-Jun-13 22:00:00,17.31,14.016
34,13-Jun-13 22:15:00,17.25,14.018
35,13-Jun-13 22:30:00,17.19,14.019
36,13-Jun-13 22:45:00,17.13,14.022
37,13-Jun-13 23:00:00,17.00,14.024
38,13-Jun-13 23:15:00,17.00,14.025
39,13-Jun-13 23:30:00,16.88,14.027
40,13-Jun-13 23:45:00,16.81,14.029
41,14-Jun-13 00:00:00,16.75,14.030
42,14-Jun-13 00:15:00,16.69,14.031
43,14-Jun-13 00:30:00,16.63,14.031
44,14-Jun-13 00:45:00,16.63,14.032
45,14-Jun-13 01:00:00,16.56,14.030
46,14-Jun-13 01:15:00,16.50,14.033
