
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,25-Mar-13 09:51:57,0.000000,-0.000063,1.000679,0.000009,0.000455,0.153440,0.000000,1.000000

Field Calibration Data
,Temperature,Cal Date,m,b
,Pressure,Cal Date,m,b
,Temperature(degC),unknown,1.000000,0.00
,Pressure(psi),unknown,1.000000,0.00

Sensor/Session information
SensorSN, 21309003 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 9"
Sensor Name,INW Smart Sensor,,Uploaded,"Aqua4Plus 1.9.501"
Session Name,FCR_Inf2_15min,,Exported,"Aqua4Plus 1.9.302"
# Records,  14787 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,30 psia,
,Minimum,0.19,13.913,
,Maximum,21.56,14.416,
,Mean,9.11,14.172,
,Variance,35.211,0.0084,
,Std Deviation,5.934,0.0914,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,4-Sep-13 10:21:43,16.94,14.159
2,4-Sep-13 10:36:43,16.94,14.160
3,4-Sep-13 10:51:43,17.06,14.161
4,4-Sep-13 11:06:43,17.13,14.161
5,4-Sep-13 11:21:43,17.19,14.159
6,4-Sep-13 11:36:43,17.31,14.159
7,4-Sep-13 11:51:43,17.38,14.157
8,4-Sep-13 12:06:43,17.50,14.157
9,4-Sep-13 12:21:43,17.63,14.155
10,4-Sep-13 12:36:43,17.75,14.154
11,4-Sep-13 12:51:43,17.81,14.153
12,4-Sep-13 13:06:43,17.88,14.152
13,4-Sep-13 13:21:43,17.94,14.150
14,4-Sep-13 13:36:43,18.06,14.149
15,4-Sep-13 13:51:43,18.19,14.148
16,4-Sep-13 14:06:43,18.19,14.146
17,4-Sep-13 14:21:43,18.31,14.144
18,4-Sep-13 14:36:43,18.44,14.142
19,4-Sep-13 14:51:43,18.50,14.141
20,4-Sep-13 15:06:43,18.56,14.139
21,4-Sep-13 15:21:43,18.56,14.137
22,4-Sep-13 15:36:43,18.63,14.137
23,4-Sep-13 15:51:43,18.69,14.135
24,4-Sep-13 16:06:43,18.69,14.132
25,4-Sep-13 16:21:43,18.75,14.134
26,4-Sep-13 16:36:43,18.75,14.133
27,4-Sep-13 16:51:43,18.75,14.131
28,4-Sep-13 17:06:43,18.75,14.132
29,4-Sep-13 17:21:43,18.69,14.131
30,4-Sep-13 17:36:43,18.69,14.131
31,4-Sep-13 17:51:43,18.63,14.131
32,4-Sep-13 18:06:43,18.63,14.131
33,4-Sep-13 18:21:43,18.56,14.132
34,4-Sep-13 18:36:43,18.56,14.132
35,4-Sep-13 18:51:43,18.50,14.133
36,4-Sep-13 19:06:43,18.44,14.134
37,4-Sep-13 19:21:43,18.38,14.135
38,4-Sep-13 19:36:43,18.38,14.136
39,4-Sep-13 19:51:43,18.31,14.137
40,4-Sep-13 20:06:43,18.25,14.139
41,4-Sep-13 20:21:43,18.19,14.140
42,4-Sep-13 20:36:43,18.13,14.141
43,4-Sep-13 20:51:43,18.06,14.143
44,4-Sep-13 21:06:43,18.00,14.145
45,4-Sep-13 21:21:43,17.94,14.147
46,4-Sep-13 21:36:43,17.88,14.146
47,4-Sep-13 21:51:43,17.88,14.150
48,4-Sep-13 22:06:43,17.75,14.150
49,4-Sep-13 22:21:43,17.75,14.152
50,4-Sep-13 22:36:43,17.69,14.154
51,4-Sep-13 22:51:43,17.63,14.155
52,4-Sep-13 23:06:43,17.56,14.154
53,4-Sep-13 23:21:43,17.56,14.156
54,4-Sep-13 23:36:43,17.50,14.156
55,4-Sep-13 23:51:43,17.50,14.157
56,5-Sep-13 00:06:43,17.44,14.158
57,5-Sep-13 00:21:43,17.44,14.156
58,5-Sep-13 00:36:43,17.38,14.156
59,5-Sep-13 00:51:43,17.38,14.157
60,5-Sep-13 01:06:43,17.38,14.159
61,5-Sep-13 01:21:43,17.31,14.158
62,5-Sep-13 01:36:43,17.31,14.157
63,5-Sep-13 01:51:43,17.25,14.156
64,5-Sep-13 02:06:43,17.19,14.156
65,5-Sep-13 02:21:43,17.19,14.155
66,5-Sep-13 02:36:43,17.13,14.153
67,5-Sep-13 02:51:43,17.13,14.150
68,5-Sep-13 03:06:43,17.06,14.146
69,5-Sep-13 03:21:43,17.00,14.148
70,5-Sep-13 03:36:43,16.94,14.147
71,5-Sep-13 03:51:43,16.94,14.147
72,5-Sep-13 04:06:43,16.88,14.146
73,5-Sep-13 04:21:43,16.88,14.147
74,5-Sep-13 04:36:43,16.88,14.147
75,5-Sep-13 04:51:43,16.81,14.148
76,5-Sep-13 05:06:43,16.81,14.148
77,5-Sep-13 05:21:43,16.75,14.149
78,5-Sep-13 05:36:43,16.69,14.148
79,5-Sep-13 05:51:43,16.69,14.148
80,5-Sep-13 06:06:43,16.63,14.150
81,5-Sep-13 06:21:43,16.63,14.151
82,5-Sep-13 06:36:43,16.63,14.154
83,5-Sep-13 06:51:43,16.56,14.154
84,5-Sep-13 07:06:43,16.56,14.155
85,5-Sep-13 07:21:43,16.50,14.157
86,5-Sep-13 07:36:43,16.50,14.158
87,5-Sep-13 07:51:43,16.50,14.159
88,5-Sep-13 08:06:43,16.50,14.159
89,5-Sep-13 08:21:43,16.50,14.159
90,5-Sep-13 08:36:43,16.50,14.159
91,5-Sep-13 08:51:43,16.56,14.159
92,5-Sep-13 09:06:43,16.56,14.160
93,5-Sep-13 09:21:43,16.56,14.160
94,5-Sep-13 09:36:43,16.63,14.162
95,5-Sep-13 09:51:43,16.63,14.164
96,5-Sep-13 10:06:43,16.69,14.165
97,5-Sep-13 10:21:43,16.81,14.165
98,5-Sep-13 10:36:43,16.88,14.164
99,5-Sep-13 10:51:43,16.94,14.166
100,5-Sep-13 11:06:43,17.00,14.165
101,5-Sep-13 11:21:43,17.13,14.164
102,5-Sep-13 11:36:43,17.19,14.163
103,5-Sep-13 11:51:43,17.31,14.163
104,5-Sep-13 12:06:43,17.44,14.162
105,5-Sep-13 12:21:43,17.50,14.160
106,5-Sep-13 12:36:43,17.69,14.159
107,5-Sep-13 12:51:43,17.81,14.157
108,5-Sep-13 13:06:43,17.88,14.156
109,5-Sep-13 13:21:43,18.00,14.154
110,5-Sep-13 13:36:43,18.06,14.151
111,5-Sep-13 13:51:43,18.19,14.150
112,5-Sep-13 14:06:43,18.25,14.149
113,5-Sep-13 14:21:43,18.38,14.148
114,5-Sep-13 14:36:43,18.50,14.145
115,5-Sep-13 14:51:43,18.56,14.142
116,5-Sep-13 15:06:43,18.63,14.140
117,5-Sep-13 15:21:43,18.69,14.138
118,5-Sep-13 15:36:43,18.75,14.136
119,5-Sep-13 15:51:43,18.75,14.135
120,5-Sep-13 16:06:43,18.81,14.135
121,5-Sep-13 16:21:43,18.81,14.135
122,5-Sep-13 16:36:43,18.81,14.134
123,5-Sep-13 16:51:43,18.81,14.133
124,5-Sep-13 17:06:43,18.81,14.133
125,5-Sep-13 17:21:43,18.81,14.133
126,5-Sep-13 17:36:43,18.75,14.133
127,5-Sep-13 17:51:43,18.69,14.135
128,5-Sep-13 18:06:43,18.69,14.137
129,5-Sep-13 18:21:43,18.63,14.135
130,5-Sep-13 18:36:43,18.63,14.139
131,5-Sep-13 18:51:43,18.56,14.137
132,5-Sep-13 19:06:43,18.56,14.138
133,5-Sep-13 19:21:43,18.50,14.137
134,5-Sep-13 19:36:43,18.44,14.139
135,5-Sep-13 19:51:43,18.38,14.144
136,5-Sep-13 20:06:43,18.31,14.148
137,5-Sep-13 20:21:43,18.25,14.149
138,5-Sep-13 20:36:43,18.19,14.151
139,5-Sep-13 20:51:43,18.19,14.151
140,5-Sep-13 21:06:43,18.13,14.154
141,5-Sep-13 21:21:43,18.06,14.155
142,5-Sep-13 21:36:43,18.00,14.158
143,5-Sep-13 21:51:43,17.94,14.161
144,5-Sep-13 22:06:43,17.88,14.165
145,5-Sep-13 22:21:43,17.88,14.166
146,5-Sep-13 22:36:43,17.75,14.170
147,5-Sep-13 22:51:43,17.75,14.171
148,5-Sep-13 23:06:43,17.69,14.174
149,5-Sep-13 23:21:43,17.63,14.174
150,5-Sep-13 23:36:43,17.63,14.173
151,5-Sep-13 23:51:43,17.56,14.172
152,6-Sep-13 00:06:43,17.56,14.174
153,6-Sep-13 00:21:43,17.50,14.175
154,6-Sep-13 00:36:43,17.50,14.178
155,6-Sep-13 00:51:43,17.44,14.176
156,6-Sep-13 01:06:43,17.38,14.178
157,6-Sep-13 01:21:43,17.38,14.175
158,6-Sep-13 01:36:43,17.38,14.171
159,6-Sep-13 01:51:43,17.38,14.173
160,6-Sep-13 02:06:43,17.38,14.173
161,6-Sep-13 02:21:43,17.38,14.172
162,6-Sep-13 02:36:43,17.31,14.171
163,6-Sep-13 02:51:43,17.25,14.169
164,6-Sep-13 03:06:43,17.25,14.170
165,6-Sep-13 03:21:43,17.19,14.173
166,6-Sep-13 03:36:43,17.19,14.174
167,6-Sep-13 03:51:43,17.13,14.175
168,6-Sep-13 04:06:43,17.06,14.174
169,6-Sep-13 04:21:43,17.00,14.175
170,6-Sep-13 04:36:43,17.00,14.177
171,6-Sep-13 04:51:43,16.94,14.178
172,6-Sep-13 05:06:43,16.88,14.178
173,6-Sep-13 05:21:43,16.88,14.180
174,6-Sep-13 05:36:43,16.81,14.181
175,6-Sep-13 05:51:43,16.75,14.183
176,6-Sep-13 06:06:43,16.75,14.186
177,6-Sep-13 06:21:43,16.75,14.190
178,6-Sep-13 06:36:43,16.75,14.191
179,6-Sep-13 06:51:43,16.69,14.192
180,6-Sep-13 07:06:43,16.63,14.194
181,6-Sep-13 07:21:43,16.63,14.196
182,6-Sep-13 07:36:43,16.63,14.198
183,6-Sep-13 07:51:43,16.63,14.198
184,6-Sep-13 08:06:43,16.63,14.200
185,6-Sep-13 08:21:43,16.63,14.201
186,6-Sep-13 08:36:43,16.56,14.203
