
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,25-Mar-13 09:51:57,0.000000,-0.000063,1.000679,0.000009,0.000455,0.153440,0.000000,1.000000

Field Calibration Data
,Temperature,Cal Date,m,b
,Pressure,Cal Date,m,b
,Temperature(degC),unknown,1.000000,0.00
,Pressure(psi),unknown,1.000000,0.00

Sensor/Session information
SensorSN, 21309003 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 9"
Sensor Name,INW Smart Sensor,,Uploaded,"Aqua4Plus 1.9.501"
Session Name,FCR_inf_15min,,Exported,"Aqua4Plus 1.9.302"
# Records,  6624 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,30 psia,
,Minimum,7.75,14.043,
,Maximum,22.81,14.400,
,Mean,16.72,14.241,
,Variance,13.526,0.0048,
,Std Deviation,3.678,0.0693,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,31-Mar-15 11:00:00,8.75,14.173
2,31-Mar-15 11:15:00,9.00,14.169
3,31-Mar-15 11:30:00,9.25,14.162
4,31-Mar-15 11:45:00,9.56,14.155
5,31-Mar-15 12:00:00,9.81,14.153
6,31-Mar-15 12:15:00,10.13,14.146
7,31-Mar-15 12:30:00,10.25,14.141
8,31-Mar-15 12:45:00,10.31,14.133
9,31-Mar-15 13:00:00,10.38,14.129
10,31-Mar-15 13:15:00,10.50,14.126
11,31-Mar-15 13:30:00,10.50,14.119
12,31-Mar-15 13:45:00,10.69,14.108
13,31-Mar-15 14:00:00,10.94,14.105
14,31-Mar-15 14:15:00,11.13,14.099
15,31-Mar-15 14:30:00,11.31,14.094
16,31-Mar-15 14:45:00,11.44,14.088
17,31-Mar-15 15:00:00,11.56,14.083
18,31-Mar-15 15:15:00,11.63,14.078
19,31-Mar-15 15:30:00,11.69,14.070
20,31-Mar-15 15:45:00,11.63,14.071
21,31-Mar-15 16:00:00,11.56,14.065
22,31-Mar-15 16:15:00,11.56,14.062
23,31-Mar-15 16:30:00,11.56,14.060
24,31-Mar-15 16:45:00,11.44,14.061
25,31-Mar-15 17:00:00,11.31,14.055
26,31-Mar-15 17:15:00,11.25,14.053
27,31-Mar-15 17:30:00,11.19,14.052
28,31-Mar-15 17:45:00,11.00,14.051
29,31-Mar-15 18:00:00,10.88,14.052
30,31-Mar-15 18:15:00,10.75,14.056
31,31-Mar-15 18:30:00,10.63,14.056
32,31-Mar-15 18:45:00,10.44,14.062
33,31-Mar-15 19:00:00,10.25,14.062
34,31-Mar-15 19:15:00,10.19,14.064
35,31-Mar-15 19:30:00,10.13,14.066
36,31-Mar-15 19:45:00,10.13,14.070
37,31-Mar-15 20:00:00,10.06,14.073
38,31-Mar-15 20:15:00,10.00,14.080
39,31-Mar-15 20:30:00,10.00,14.082
40,31-Mar-15 20:45:00,9.94,14.086
41,31-Mar-15 21:00:00,9.88,14.093
42,31-Mar-15 21:15:00,9.75,14.101
43,31-Mar-15 21:30:00,9.69,14.104
44,31-Mar-15 21:45:00,9.56,14.112
45,31-Mar-15 22:00:00,9.44,14.121
46,31-Mar-15 22:15:00,9.31,14.126
