
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,25-Mar-13 09:51:57,0.000000,-0.000063,1.000679,0.000009,0.000455,0.153440,0.000000,1.000000

Field Calibration Data
,Temperature,Cal Date,m,b
,Pressure,Cal Date,m,b
,Temperature(degC),unknown,1.000000,0.00
,Pressure(psi),unknown,1.000000,0.00

Sensor/Session information
SensorSN, 21309003 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 9"
Sensor Name,INW Smart Sensor,,Uploaded,"Aqua4Plus 1.9.501"
Session Name,FCR_15min_inf,,Exported,"Aqua4Plus 1.9.302"
# Records,  6918 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,30 psia,
,Minimum,3.44,14.002,
,Maximum,17.13,14.557,
,Mean,9.57,14.284,
,Variance,7.070,0.0091,
,Std Deviation,2.659,0.0956,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,31-Oct-15 12:00:00,12.63,14.323
2,31-Oct-15 12:15:00,12.69,14.318
3,31-Oct-15 12:30:00,12.69,14.315
4,31-Oct-15 12:45:00,12.69,14.302
5,31-Oct-15 13:00:00,12.69,14.311
6,31-Oct-15 13:15:00,12.69,14.313
7,31-Oct-15 13:30:00,12.69,14.314
8,31-Oct-15 13:45:00,12.75,14.305
9,31-Oct-15 14:00:00,12.81,14.298
10,31-Oct-15 14:15:00,12.88,14.298
11,31-Oct-15 14:30:00,12.94,14.294
12,31-Oct-15 14:45:00,13.00,14.290
13,31-Oct-15 15:00:00,13.00,14.284
14,31-Oct-15 15:15:00,13.06,14.288
15,31-Oct-15 15:30:00,13.06,14.286
16,31-Oct-15 15:45:00,13.06,14.285
17,31-Oct-15 16:00:00,13.00,14.286
18,31-Oct-15 16:15:00,13.06,14.287
19,31-Oct-15 16:30:00,13.00,14.289
20,31-Oct-15 16:45:00,13.00,14.288
21,31-Oct-15 17:00:00,12.94,14.291
22,31-Oct-15 17:15:00,12.94,14.292
23,31-Oct-15 17:30:00,12.94,14.290
24,31-Oct-15 17:45:00,12.88,14.289
25,31-Oct-15 18:00:00,12.88,14.288
26,31-Oct-15 18:15:00,12.88,14.286
27,31-Oct-15 18:30:00,12.88,14.283
28,31-Oct-15 18:45:00,12.88,14.284
29,31-Oct-15 19:00:00,12.81,14.282
30,31-Oct-15 19:15:00,12.81,14.280
31,31-Oct-15 19:30:00,12.81,14.279
32,31-Oct-15 19:45:00,12.81,14.278
33,31-Oct-15 20:00:00,12.81,14.275
34,31-Oct-15 20:15:00,12.81,14.272
35,31-Oct-15 20:30:00,12.81,14.269
36,31-Oct-15 20:45:00,12.81,14.266
37,31-Oct-15 21:00:00,12.81,14.264
38,31-Oct-15 21:15:00,12.81,14.264
39,31-Oct-15 21:30:00,12.81,14.268
40,31-Oct-15 21:45:00,12.81,14.261
41,31-Oct-15 22:00:00,12.81,14.261
42,31-Oct-15 22:15:00,12.81,14.261
43,31-Oct-15 22:30:00,12.81,14.261
44,31-Oct-15 22:45:00,12.81,14.258
45,31-Oct-15 23:00:00,12.81,14.252
46,31-Oct-15 23:15:00,12.81,14.257
47,31-Oct-15 23:30:00,12.81,14.252
48,31-Oct-15 23:45:00,12.81,14.246
49,1-Nov-15 00:00:00,12.81,14.244
50,1-Nov-15 00:15:00,12.81,14.237
51,1-Nov-15 00:30:00,12.81,14.240
52,1-Nov-15 00:45:00,12.81,14.233
53,1-Nov-15 01:00:00,12.81,14.233
54,1-Nov-15 01:15:00,12.81,14.233
55,1-Nov-15 01:30:00,12.81,14.237
56,1-Nov-15 01:45:00,12.81,14.230
57,1-Nov-15 02:00:00,12.88,14.234
58,1-Nov-15 02:15:00,12.88,14.234
59,1-Nov-15 02:30:00,12.88,14.234
60,1-Nov-15 02:45:00,12.88,14.230
61,1-Nov-15 03:00:00,12.88,14.234
62,1-Nov-15 03:15:00,12.88,14.229
63,1-Nov-15 03:30:00,12.94,14.228
64,1-Nov-15 03:45:00,12.88,14.225
65,1-Nov-15 04:00:00,12.94,14.226
66,1-Nov-15 04:15:00,12.94,14.219
67,1-Nov-15 04:30:00,12.94,14.222
68,1-Nov-15 04:45:00,12.94,14.222
69,1-Nov-15 05:00:00,12.94,14.224
70,1-Nov-15 05:15:00,12.94,14.219
71,1-Nov-15 05:30:00,12.94,14.224
72,1-Nov-15 05:45:00,12.94,14.221
73,1-Nov-15 06:00:00,12.94,14.221
74,1-Nov-15 06:15:00,13.00,14.223
75,1-Nov-15 06:30:00,13.00,14.221
76,1-Nov-15 06:45:00,13.00,14.215
77,1-Nov-15 07:00:00,13.00,14.227
78,1-Nov-15 07:15:00,13.00,14.227
79,1-Nov-15 07:30:00,13.00,14.230
80,1-Nov-15 07:45:00,13.00,14.227
81,1-Nov-15 08:00:00,13.00,14.223
82,1-Nov-15 08:15:00,13.00,14.226
83,1-Nov-15 08:30:00,13.00,14.235
84,1-Nov-15 08:45:00,13.06,14.232
85,1-Nov-15 09:00:00,13.06,14.239
86,1-Nov-15 09:15:00,13.06,14.239
87,1-Nov-15 09:30:00,13.06,14.241
88,1-Nov-15 09:45:00,13.13,14.240
89,1-Nov-15 10:00:00,13.13,14.243
90,1-Nov-15 10:15:00,13.19,14.243
91,1-Nov-15 10:30:00,13.19,14.248
92,1-Nov-15 10:45:00,13.25,14.243
