
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,25-Mar-13 09:51:57,0.000000,-0.000063,1.000679,0.000009,0.000455,0.153440,0.000000,1.000000

Field Calibration Data
,Temperature,Cal Date,m,b
,Pressure,Cal Date,m,b
,Temperature(degC),unknown,1.000000,0.00
,Pressure(psi),unknown,1.000000,0.00

Sensor/Session information
SensorSN, 21309003 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 9"
Sensor Name,INW Smart Sensor,,Uploaded,"Aqua4Plus 1.9.501"
Session Name,FCR_inf_041816,,Exported,"Aqua4Plus 1.9.302"
# Records,  4971 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,30 psia,
,Minimum,14.25,14.141,
,Maximum,23.88,14.506,
,Mean,18.13,14.366,
,Variance,6.238,0.0052,
,Std Deviation,2.498,0.0721,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,18-Apr-16 14:15:00,17.88,14.497
2,18-Apr-16 14:30:00,17.94,14.495
3,18-Apr-16 14:45:00,18.00,14.492
4,18-Apr-16 15:00:00,18.06,14.487
5,18-Apr-16 15:15:00,18.00,14.484
6,18-Apr-16 15:30:00,17.94,14.481
7,18-Apr-16 15:45:00,17.81,14.478
8,18-Apr-16 16:00:00,17.75,14.471
9,18-Apr-16 16:15:00,17.69,14.467
10,18-Apr-16 16:30:00,17.56,14.472
11,18-Apr-16 16:45:00,17.50,14.471
12,18-Apr-16 17:00:00,17.38,14.468
13,18-Apr-16 17:15:00,17.25,14.465
14,18-Apr-16 17:30:00,17.13,14.462
15,18-Apr-16 17:45:00,17.00,14.463
16,18-Apr-16 18:00:00,16.94,14.461
17,18-Apr-16 18:15:00,16.88,14.460
18,18-Apr-16 18:30:00,16.75,14.461
19,18-Apr-16 18:45:00,16.63,14.457
20,18-Apr-16 19:00:00,16.50,14.458
21,18-Apr-16 19:15:00,16.38,14.460
22,18-Apr-16 19:30:00,16.25,14.460
23,18-Apr-16 19:45:00,16.19,14.461
24,18-Apr-16 20:00:00,16.06,14.462
25,18-Apr-16 20:15:00,16.00,14.464
26,18-Apr-16 20:30:00,15.94,14.466
27,18-Apr-16 20:45:00,15.88,14.466
28,18-Apr-16 21:00:00,15.81,14.468
29,18-Apr-16 21:15:00,15.75,14.468
30,18-Apr-16 21:30:00,15.69,14.468
31,18-Apr-16 21:45:00,15.63,14.467
32,18-Apr-16 22:00:00,15.63,14.465
33,18-Apr-16 22:15:00,15.56,14.467
34,18-Apr-16 22:30:00,15.56,14.467
35,18-Apr-16 22:45:00,15.50,14.463
36,18-Apr-16 23:00:00,15.50,14.462
37,18-Apr-16 23:15:00,15.44,14.461
38,18-Apr-16 23:30:00,15.44,14.462
39,18-Apr-16 23:45:00,15.44,14.455
40,19-Apr-16 00:00:00,15.38,14.460
41,19-Apr-16 00:15:00,15.38,14.459
42,19-Apr-16 00:30:00,15.25,14.457
43,19-Apr-16 00:45:00,15.25,14.458
44,19-Apr-16 01:00:00,15.19,14.458
45,19-Apr-16 01:15:00,15.13,14.457
46,19-Apr-16 01:30:00,15.13,14.455
47,19-Apr-16 01:45:00,15.06,14.447
48,19-Apr-16 02:00:00,15.06,14.453
49,19-Apr-16 02:15:00,15.00,14.451
50,19-Apr-16 02:30:00,15.00,14.450
51,19-Apr-16 02:45:00,14.94,14.451
52,19-Apr-16 03:00:00,14.94,14.451
53,19-Apr-16 03:15:00,14.94,14.447
54,19-Apr-16 03:30:00,14.88,14.450
55,19-Apr-16 03:45:00,14.81,14.450
56,19-Apr-16 04:00:00,14.81,14.449
57,19-Apr-16 04:15:00,14.81,14.448
58,19-Apr-16 04:30:00,14.75,14.448
59,19-Apr-16 04:45:00,14.75,14.449
60,19-Apr-16 05:00:00,14.75,14.446
61,19-Apr-16 05:15:00,14.69,14.449
62,19-Apr-16 05:30:00,14.69,14.450
63,19-Apr-16 05:45:00,14.69,14.450
64,19-Apr-16 06:00:00,14.63,14.455
65,19-Apr-16 06:15:00,14.56,14.450
66,19-Apr-16 06:30:00,14.56,14.451
67,19-Apr-16 06:45:00,14.56,14.454
68,19-Apr-16 07:00:00,14.56,14.457
69,19-Apr-16 07:15:00,14.56,14.459
70,19-Apr-16 07:30:00,14.56,14.459
71,19-Apr-16 07:45:00,14.63,14.460
72,19-Apr-16 08:00:00,14.69,14.461
73,19-Apr-16 08:15:00,14.69,14.460
74,19-Apr-16 08:30:00,14.81,14.456
75,19-Apr-16 08:45:00,14.88,14.458
76,19-Apr-16 09:00:00,15.00,14.459
77,19-Apr-16 09:15:00,15.13,14.454
78,19-Apr-16 09:30:00,15.31,14.456
79,19-Apr-16 09:45:00,15.44,14.459
80,19-Apr-16 10:00:00,15.63,14.457
81,19-Apr-16 10:15:00,15.81,14.456
82,19-Apr-16 10:30:00,15.94,14.453
83,19-Apr-16 10:45:00,16.06,14.456
84,19-Apr-16 11:00:00,16.31,14.448
85,19-Apr-16 11:15:00,16.50,14.448
86,19-Apr-16 11:30:00,16.69,14.448
87,19-Apr-16 11:45:00,16.88,14.444
88,19-Apr-16 12:00:00,17.06,14.441
89,19-Apr-16 12:15:00,17.25,14.444
90,19-Apr-16 12:30:00,17.50,14.439
91,19-Apr-16 12:45:00,17.69,14.441
92,19-Apr-16 13:00:00,17.81,14.436
93,19-Apr-16 13:15:00,17.94,14.434
94,19-Apr-16 13:30:00,18.13,14.426
95,19-Apr-16 13:45:00,18.19,14.425
96,19-Apr-16 14:00:00,18.25,14.423
97,19-Apr-16 14:15:00,18.31,14.422
98,19-Apr-16 14:30:00,18.31,14.418
99,19-Apr-16 14:45:00,18.31,14.415
100,19-Apr-16 15:00:00,18.31,14.415
101,19-Apr-16 15:15:00,18.25,14.410
102,19-Apr-16 15:30:00,18.19,14.414
103,19-Apr-16 15:45:00,18.13,14.406
104,19-Apr-16 16:00:00,18.06,14.409
105,19-Apr-16 16:15:00,17.94,14.404
106,19-Apr-16 16:30:00,17.88,14.403
107,19-Apr-16 16:45:00,17.69,14.403
108,19-Apr-16 17:00:00,17.63,14.406
109,19-Apr-16 17:15:00,17.50,14.400
110,19-Apr-16 17:30:00,17.38,14.401
111,19-Apr-16 17:45:00,17.31,14.401
112,19-Apr-16 18:00:00,17.19,14.402
113,19-Apr-16 18:15:00,17.06,14.404
114,19-Apr-16 18:30:00,17.06,14.404
115,19-Apr-16 18:45:00,17.00,14.406
116,19-Apr-16 19:00:00,16.94,14.402
117,19-Apr-16 19:15:00,16.81,14.408
118,19-Apr-16 19:30:00,16.75,14.405
119,19-Apr-16 19:45:00,16.69,14.409
120,19-Apr-16 20:00:00,16.63,14.413
121,19-Apr-16 20:15:00,16.56,14.418
122,19-Apr-16 20:30:00,16.50,14.420
123,19-Apr-16 20:45:00,16.44,14.421
