
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,25-Mar-13 09:51:57,0.000000,-0.000063,1.000679,0.000009,0.000455,0.153440,0.000000,1.000000

Field Calibration Data
,Temperature,Cal Date,m,b
,Pressure,Cal Date,m,b
,Temperature(degC),unknown,1.000000,0.00
,Pressure(psi),unknown,1.000000,0.00

Sensor/Session information
SensorSN, 21309003 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 9"
Sensor Name,INW Smart Sensor,,Uploaded,"Aqua4Plus 1.9.501"
Session Name,INF BV 2017-12-11,,Exported,"Aqua4Plus 1.9.302"
# Records,  3347 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,30 psia,
,Minimum,-1.94,13.984,
,Maximum,9.38,14.546,
,Mean,1.92,14.271,
,Variance,6.149,0.0129,
,Std Deviation,2.480,0.1134,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,11-Dec-17 15:00:00,4.19,14.177
2,11-Dec-17 15:15:00,4.25,14.176
3,11-Dec-17 15:30:00,4.25,14.175
4,11-Dec-17 15:45:00,4.25,14.170
5,11-Dec-17 16:00:00,4.25,14.173
6,11-Dec-17 16:15:00,4.19,14.171
7,11-Dec-17 16:30:00,4.19,14.168
8,11-Dec-17 16:45:00,4.13,14.169
9,11-Dec-17 17:00:00,4.00,14.167
10,11-Dec-17 17:15:00,3.94,14.171
11,11-Dec-17 17:30:00,3.88,14.167
12,11-Dec-17 17:45:00,3.75,14.161
13,11-Dec-17 18:00:00,3.69,14.163
14,11-Dec-17 18:15:00,3.63,14.159
15,11-Dec-17 18:30:00,3.56,14.161
16,11-Dec-17 18:45:00,3.50,14.159
17,11-Dec-17 19:00:00,3.50,14.160
18,11-Dec-17 19:15:00,3.50,14.161
19,11-Dec-17 19:30:00,3.44,14.159
20,11-Dec-17 19:45:00,3.38,14.156
21,11-Dec-17 20:00:00,3.31,14.154
22,11-Dec-17 20:15:00,3.31,14.153
23,11-Dec-17 20:30:00,3.25,14.147
24,11-Dec-17 20:45:00,3.19,14.145
25,11-Dec-17 21:00:00,3.19,14.144
26,11-Dec-17 21:15:00,3.19,14.139
27,11-Dec-17 21:30:00,3.19,14.135
28,11-Dec-17 21:45:00,3.19,14.131
29,11-Dec-17 22:00:00,3.25,14.129
30,11-Dec-17 22:15:00,3.25,14.124
31,11-Dec-17 22:30:00,3.25,14.125
32,11-Dec-17 22:45:00,3.25,14.121
33,11-Dec-17 23:00:00,3.25,14.120
34,11-Dec-17 23:15:00,3.25,14.117
35,11-Dec-17 23:30:00,3.25,14.112
36,11-Dec-17 23:45:00,3.25,14.108
37,12-Dec-17 00:00:00,3.25,14.107
38,12-Dec-17 00:15:00,3.31,14.105
39,12-Dec-17 00:30:00,3.31,14.098
40,12-Dec-17 00:45:00,3.31,14.094
41,12-Dec-17 01:00:00,3.38,14.093
42,12-Dec-17 01:15:00,3.31,14.087
43,12-Dec-17 01:30:00,3.31,14.082
44,12-Dec-17 01:45:00,3.38,14.076
45,12-Dec-17 02:00:00,3.38,14.077
46,12-Dec-17 02:15:00,3.38,14.076
47,12-Dec-17 02:30:00,3.31,14.073
48,12-Dec-17 02:45:00,3.25,14.069
49,12-Dec-17 03:00:00,3.25,14.064
50,12-Dec-17 03:15:00,3.25,14.058
51,12-Dec-17 03:30:00,3.31,14.059
52,12-Dec-17 03:45:00,3.38,14.056
53,12-Dec-17 04:00:00,3.38,14.051
54,12-Dec-17 04:15:00,3.38,14.052
55,12-Dec-17 04:30:00,3.38,14.048
56,12-Dec-17 04:45:00,3.44,14.050
57,12-Dec-17 05:00:00,3.38,14.043
58,12-Dec-17 05:15:00,3.44,14.041
59,12-Dec-17 05:30:00,3.44,14.039
60,12-Dec-17 05:45:00,3.50,14.037
61,12-Dec-17 06:00:00,3.50,14.033
62,12-Dec-17 06:15:00,3.50,14.029
63,12-Dec-17 06:30:00,3.50,14.034
64,12-Dec-17 06:45:00,3.56,14.034
65,12-Dec-17 07:00:00,3.56,14.033
66,12-Dec-17 07:15:00,3.56,14.034
67,12-Dec-17 07:30:00,3.56,14.033
68,12-Dec-17 07:45:00,3.63,14.038
69,12-Dec-17 08:00:00,3.63,14.037
70,12-Dec-17 08:15:00,3.69,14.033
71,12-Dec-17 08:30:00,3.75,14.034
