
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,25-Mar-13 09:51:57,0.0000000000,-0.0000630000,1.0006790161,0.0000090000,0.0004550000,0.1534399986,0.0000000000,1.0000000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21309003 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 9"
Sensor Name,INW Smart Sensor,,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR INF 2018-08-20,,Exported,"Aqua4Plus 1.9.10"
# Records,  2207 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,30 psia,
,Minimum,15.25,14.171,
,Maximum,22.44,14.376,
,Mean,19.64,14.290,
,Variance,2.350,0.0020,
,Std Deviation,1.533,0.0446,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,20-Aug-18 15:00:00,20.06,14.255
2,20-Aug-18 15:15:00,20.06,14.253
3,20-Aug-18 15:30:00,20.13,14.250
4,20-Aug-18 15:45:00,20.13,14.247
5,20-Aug-18 16:00:00,20.13,14.247
6,20-Aug-18 16:15:00,20.13,14.244
7,20-Aug-18 16:30:00,20.06,14.243
8,20-Aug-18 16:45:00,20.13,14.243
9,20-Aug-18 17:00:00,20.06,14.242
10,20-Aug-18 17:15:00,20.13,14.242
11,20-Aug-18 17:30:00,20.13,14.240
12,20-Aug-18 17:45:00,20.06,14.242
13,20-Aug-18 18:00:00,20.06,14.244
14,20-Aug-18 18:15:00,20.13,14.243
15,20-Aug-18 18:30:00,20.06,14.242
16,20-Aug-18 18:45:00,20.06,14.240
17,20-Aug-18 19:00:00,20.06,14.239
18,20-Aug-18 19:15:00,20.06,14.238
19,20-Aug-18 19:30:00,20.06,14.238
20,20-Aug-18 19:45:00,20.00,14.239
21,20-Aug-18 20:00:00,20.00,14.242
22,20-Aug-18 20:15:00,20.00,14.245
23,20-Aug-18 20:30:00,19.94,14.244
24,20-Aug-18 20:45:00,19.94,14.246
25,20-Aug-18 21:00:00,19.94,14.250
26,20-Aug-18 21:15:00,19.94,14.255
27,20-Aug-18 21:30:00,19.94,14.258
28,20-Aug-18 21:45:00,19.94,14.259
29,20-Aug-18 22:00:00,19.94,14.259
30,20-Aug-18 22:15:00,19.94,14.260
31,20-Aug-18 22:30:00,19.94,14.258
32,20-Aug-18 22:45:00,19.94,14.256
33,20-Aug-18 23:00:00,19.94,14.257
34,20-Aug-18 23:15:00,19.94,14.256
35,20-Aug-18 23:30:00,19.94,14.256
36,20-Aug-18 23:45:00,19.94,14.258
37,21-Aug-18 00:00:00,19.94,14.255
38,21-Aug-18 00:15:00,19.94,14.255
39,21-Aug-18 00:30:00,20.00,14.253
40,21-Aug-18 00:45:00,19.94,14.253
41,21-Aug-18 01:00:00,19.94,14.253
42,21-Aug-18 01:15:00,19.94,14.253
43,21-Aug-18 01:30:00,19.94,14.253
44,21-Aug-18 01:45:00,19.94,14.248
45,21-Aug-18 02:00:00,19.88,14.246
46,21-Aug-18 02:15:00,19.88,14.243
47,21-Aug-18 02:30:00,19.94,14.240
48,21-Aug-18 02:45:00,19.88,14.237
49,21-Aug-18 03:00:00,19.88,14.235
50,21-Aug-18 03:15:00,19.94,14.232
51,21-Aug-18 03:30:00,19.88,14.231
52,21-Aug-18 03:45:00,19.88,14.230
