
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,25-Mar-13 09:51:57,0.0000000000,-0.0000630000,1.0006790161,0.0000090000,0.0004550000,0.1534399986,0.0000000000,1.0000000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21309003 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 9"
Sensor Name,INW Smart Sensor,,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_INF_20181008,,Exported,"Aqua4Plus 1.9.10"
# Records,  665 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,30 psia,
,Minimum,15.56,14.160,
,Maximum,20.31,14.476,
,Mean,17.79,14.337,
,Variance,2.200,0.0060,
,Std Deviation,1.483,0.0775,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,8-Oct-18 15:00:00,20.13,14.364
2,8-Oct-18 15:15:00,20.25,14.362
3,8-Oct-18 15:30:00,20.25,14.363
4,8-Oct-18 15:45:00,20.25,14.362
5,8-Oct-18 16:00:00,20.25,14.361
6,8-Oct-18 16:15:00,20.31,14.359
7,8-Oct-18 16:30:00,20.31,14.359
8,8-Oct-18 16:45:00,20.25,14.357
9,8-Oct-18 17:00:00,20.19,14.358
10,8-Oct-18 17:15:00,20.19,14.355
11,8-Oct-18 17:30:00,20.19,14.357
12,8-Oct-18 17:45:00,20.13,14.358
13,8-Oct-18 18:00:00,20.13,14.358
14,8-Oct-18 18:15:00,20.06,14.357
15,8-Oct-18 18:30:00,20.00,14.358
16,8-Oct-18 18:45:00,20.00,14.359
17,8-Oct-18 19:00:00,19.94,14.360
18,8-Oct-18 19:15:00,19.88,14.360
19,8-Oct-18 19:30:00,19.81,14.362
20,8-Oct-18 19:45:00,19.81,14.361
21,8-Oct-18 20:00:00,19.75,14.364
22,8-Oct-18 20:15:00,19.75,14.364
23,8-Oct-18 20:30:00,19.75,14.363
24,8-Oct-18 20:45:00,19.69,14.366
25,8-Oct-18 21:00:00,19.69,14.368
26,8-Oct-18 21:15:00,19.69,14.369
27,8-Oct-18 21:30:00,19.69,14.369
28,8-Oct-18 21:45:00,19.69,14.371
29,8-Oct-18 22:00:00,19.63,14.372
30,8-Oct-18 22:15:00,19.63,14.373
31,8-Oct-18 22:30:00,19.63,14.376
32,8-Oct-18 22:45:00,19.63,14.377
33,8-Oct-18 23:00:00,19.63,14.377
34,8-Oct-18 23:15:00,19.63,14.377
35,8-Oct-18 23:30:00,19.63,14.377
36,8-Oct-18 23:45:00,19.56,14.377
37,9-Oct-18 00:00:00,19.56,14.376
38,9-Oct-18 00:15:00,19.56,14.378
39,9-Oct-18 00:30:00,19.56,14.378
40,9-Oct-18 00:45:00,19.56,14.377
41,9-Oct-18 01:00:00,19.50,14.378
42,9-Oct-18 01:15:00,19.50,14.378
43,9-Oct-18 01:30:00,19.50,14.377
44,9-Oct-18 01:45:00,19.50,14.376
45,9-Oct-18 02:00:00,19.50,14.375
46,9-Oct-18 02:15:00,19.44,14.372
47,9-Oct-18 02:30:00,19.44,14.371
48,9-Oct-18 02:45:00,19.44,14.369
49,9-Oct-18 03:00:00,19.38,14.368
50,9-Oct-18 03:15:00,19.38,14.365
51,9-Oct-18 03:30:00,19.38,14.364
52,9-Oct-18 03:45:00,19.38,14.362
53,9-Oct-18 04:00:00,19.31,14.360
54,9-Oct-18 04:15:00,19.31,14.360
55,9-Oct-18 04:30:00,19.31,14.359
56,9-Oct-18 04:45:00,19.31,14.359
57,9-Oct-18 05:00:00,19.25,14.360
58,9-Oct-18 05:15:00,19.25,14.362
59,9-Oct-18 05:30:00,19.25,14.361
60,9-Oct-18 05:45:00,19.19,14.363
61,9-Oct-18 06:00:00,19.19,14.363
62,9-Oct-18 06:15:00,19.19,14.365
63,9-Oct-18 06:30:00,19.13,14.367
64,9-Oct-18 06:45:00,19.13,14.368
65,9-Oct-18 07:00:00,19.13,14.367
66,9-Oct-18 07:15:00,19.13,14.367
67,9-Oct-18 07:30:00,19.06,14.368
68,9-Oct-18 07:45:00,19.06,14.369
69,9-Oct-18 08:00:00,19.06,14.370
70,9-Oct-18 08:15:00,19.00,14.371
71,9-Oct-18 08:30:00,19.00,14.371
72,9-Oct-18 08:45:00,19.00,14.370
73,9-Oct-18 09:00:00,19.00,14.370
74,9-Oct-18 09:15:00,19.06,14.370
75,9-Oct-18 09:30:00,19.00,14.371
76,9-Oct-18 09:45:00,19.00,14.372
77,9-Oct-18 10:00:00,19.00,14.374
78,9-Oct-18 10:15:00,19.06,14.374
79,9-Oct-18 10:30:00,19.06,14.373
80,9-Oct-18 10:45:00,19.06,14.372
81,9-Oct-18 11:00:00,19.06,14.370
82,9-Oct-18 11:15:00,19.06,14.371
83,9-Oct-18 11:30:00,19.13,14.369
84,9-Oct-18 11:45:00,19.13,14.366
85,9-Oct-18 12:00:00,19.19,14.364
86,9-Oct-18 12:15:00,19.25,14.364
87,9-Oct-18 12:30:00,19.25,14.363
88,9-Oct-18 12:45:00,19.38,14.361
89,9-Oct-18 13:00:00,19.38,14.359
90,9-Oct-18 13:15:00,19.44,14.356
91,9-Oct-18 13:30:00,19.38,14.352
92,9-Oct-18 13:45:00,19.38,14.350
93,9-Oct-18 14:00:00,19.44,14.348
94,9-Oct-18 14:15:00,19.44,14.342
95,9-Oct-18 14:30:00,19.50,14.339
96,9-Oct-18 14:45:00,19.56,14.335
97,9-Oct-18 15:00:00,19.63,14.334
98,9-Oct-18 15:15:00,19.69,14.331
99,9-Oct-18 15:30:00,19.63,14.330
100,9-Oct-18 15:45:00,19.69,14.325
101,9-Oct-18 16:00:00,19.69,14.322
102,9-Oct-18 16:15:00,19.63,14.321
103,9-Oct-18 16:30:00,19.63,14.318
104,9-Oct-18 16:45:00,19.56,14.319
105,9-Oct-18 17:00:00,19.56,14.316
106,9-Oct-18 17:15:00,19.50,14.316
107,9-Oct-18 17:30:00,19.50,14.317
108,9-Oct-18 17:45:00,19.50,14.318
109,9-Oct-18 18:00:00,19.50,14.323
110,9-Oct-18 18:15:00,19.50,14.324
111,9-Oct-18 18:30:00,19.44,14.321
112,9-Oct-18 18:45:00,19.38,14.321
113,9-Oct-18 19:00:00,19.38,14.323
114,9-Oct-18 19:15:00,19.31,14.327
115,9-Oct-18 19:30:00,19.31,14.333
116,9-Oct-18 19:45:00,19.31,14.327
117,9-Oct-18 20:00:00,19.31,14.327
118,9-Oct-18 20:15:00,19.25,14.327
119,9-Oct-18 20:30:00,19.25,14.330
120,9-Oct-18 20:45:00,19.25,14.332
121,9-Oct-18 21:00:00,19.19,14.331
122,9-Oct-18 21:15:00,19.19,14.326
123,9-Oct-18 21:30:00,19.13,14.323
124,9-Oct-18 21:45:00,19.13,14.321
125,9-Oct-18 22:00:00,19.13,14.318
126,9-Oct-18 22:15:00,19.06,14.318
127,9-Oct-18 22:30:00,19.06,14.319
128,9-Oct-18 22:45:00,19.06,14.318
129,9-Oct-18 23:00:00,19.00,14.316
130,9-Oct-18 23:15:00,19.06,14.316
131,9-Oct-18 23:30:00,19.00,14.315
132,9-Oct-18 23:45:00,19.06,14.314
133,10-Oct-18 00:00:00,19.00,14.310
134,10-Oct-18 00:15:00,19.06,14.312
135,10-Oct-18 00:30:00,19.06,14.311
136,10-Oct-18 00:45:00,19.06,14.308
137,10-Oct-18 01:00:00,19.06,14.306
138,10-Oct-18 01:15:00,19.06,14.307
139,10-Oct-18 01:30:00,19.06,14.304
140,10-Oct-18 01:45:00,19.06,14.303
141,10-Oct-18 02:00:00,19.13,14.301
142,10-Oct-18 02:15:00,19.06,14.299
143,10-Oct-18 02:30:00,19.06,14.299
144,10-Oct-18 02:45:00,19.06,14.295
145,10-Oct-18 03:00:00,19.06,14.292
146,10-Oct-18 03:15:00,19.06,14.290
147,10-Oct-18 03:30:00,19.06,14.286
148,10-Oct-18 03:45:00,19.00,14.285
149,10-Oct-18 04:00:00,19.00,14.284
150,10-Oct-18 04:15:00,19.00,14.280
151,10-Oct-18 04:30:00,19.00,14.280
152,10-Oct-18 04:45:00,19.00,14.277
153,10-Oct-18 05:00:00,19.00,14.276
154,10-Oct-18 05:15:00,19.00,14.275
155,10-Oct-18 05:30:00,19.00,14.276
156,10-Oct-18 05:45:00,19.00,14.274
157,10-Oct-18 06:00:00,18.94,14.275
158,10-Oct-18 06:15:00,18.94,14.275
159,10-Oct-18 06:30:00,18.94,14.274
160,10-Oct-18 06:45:00,18.94,14.274
161,10-Oct-18 07:00:00,18.94,14.274
162,10-Oct-18 07:15:00,18.94,14.274
163,10-Oct-18 07:30:00,18.94,14.274
164,10-Oct-18 07:45:00,18.88,14.275
165,10-Oct-18 08:00:00,18.94,14.278
166,10-Oct-18 08:15:00,18.94,14.278
167,10-Oct-18 08:30:00,18.88,14.277
168,10-Oct-18 08:45:00,18.94,14.277
169,10-Oct-18 09:00:00,18.88,14.277
170,10-Oct-18 09:15:00,18.94,14.276
171,10-Oct-18 09:30:00,18.94,14.274
172,10-Oct-18 09:45:00,18.94,14.273
173,10-Oct-18 10:00:00,18.94,14.274
174,10-Oct-18 10:15:00,18.94,14.275
175,10-Oct-18 10:30:00,18.94,14.275
176,10-Oct-18 10:45:00,18.94,14.273
177,10-Oct-18 11:00:00,18.94,14.273
178,10-Oct-18 11:15:00,18.94,14.273
179,10-Oct-18 11:30:00,18.94,14.274
180,10-Oct-18 11:45:00,19.00,14.275
181,10-Oct-18 12:00:00,19.00,14.277
182,10-Oct-18 12:15:00,19.00,14.277
183,10-Oct-18 12:30:00,19.00,14.274
184,10-Oct-18 12:45:00,19.00,14.272
185,10-Oct-18 13:00:00,19.00,14.270
186,10-Oct-18 13:15:00,19.00,14.265
187,10-Oct-18 13:30:00,19.06,14.260
188,10-Oct-18 13:45:00,19.06,14.250
189,10-Oct-18 14:00:00,19.06,14.248
190,10-Oct-18 14:15:00,19.06,14.241
191,10-Oct-18 14:30:00,19.13,14.235
192,10-Oct-18 14:45:00,19.13,14.232
193,10-Oct-18 15:00:00,19.13,14.231
194,10-Oct-18 15:15:00,19.19,14.228
195,10-Oct-18 15:30:00,19.19,14.227
196,10-Oct-18 15:45:00,19.19,14.222
197,10-Oct-18 16:00:00,19.19,14.219
198,10-Oct-18 16:15:00,19.25,14.218
199,10-Oct-18 16:30:00,19.25,14.215
200,10-Oct-18 16:45:00,19.25,14.214
201,10-Oct-18 17:00:00,19.31,14.213
202,10-Oct-18 17:15:00,19.31,14.215
203,10-Oct-18 17:30:00,19.31,14.220
204,10-Oct-18 17:45:00,19.31,14.220
205,10-Oct-18 18:00:00,19.31,14.220
206,10-Oct-18 18:15:00,19.31,14.222
207,10-Oct-18 18:30:00,19.31,14.219
208,10-Oct-18 18:45:00,19.31,14.218
209,10-Oct-18 19:00:00,19.31,14.214
210,10-Oct-18 19:15:00,19.38,14.210
211,10-Oct-18 19:30:00,19.38,14.208
212,10-Oct-18 19:45:00,19.44,14.207
213,10-Oct-18 20:00:00,19.44,14.206
214,10-Oct-18 20:15:00,19.44,14.205
215,10-Oct-18 20:30:00,19.44,14.204
216,10-Oct-18 20:45:00,19.50,14.201
217,10-Oct-18 21:00:00,19.50,14.199
218,10-Oct-18 21:15:00,19.50,14.197
219,10-Oct-18 21:30:00,19.50,14.200
220,10-Oct-18 21:45:00,19.50,14.202
221,10-Oct-18 22:00:00,19.50,14.199
222,10-Oct-18 22:15:00,19.50,14.198
223,10-Oct-18 22:30:00,19.50,14.198
224,10-Oct-18 22:45:00,19.50,14.197
225,10-Oct-18 23:00:00,19.50,14.195
226,10-Oct-18 23:15:00,19.50,14.191
227,10-Oct-18 23:30:00,19.50,14.190
228,10-Oct-18 23:45:00,19.50,14.187
229,11-Oct-18 00:00:00,19.50,14.185
230,11-Oct-18 00:15:00,19.44,14.183
231,11-Oct-18 00:30:00,19.44,14.180
