
Advanced Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
,Pressure(psi),unknown,0.000001,-0.000219,1.003133,-0.000022,0.001997,0.421111,0.000000,1.000000,0.000000
,Power(V),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO(ppm),19-Feb-18 12:42,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO Temp(degC),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Field Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7
,Temperature(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Pressure(psi),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Power(V),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO(ppm),19-Feb-18 12:42,1.000000,0.560000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO Temp(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000

Sensor/File information
Sensor SN, 21230023 ,,Modbus Addr., 3 
Sensor Type,DO2,,Initialized w/fw Rev,"2. 131"
Sensor Name,FCR DO 1m  (3),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR DO_1m 2018-03-19,,Exported,"Aqua4Plus 1.9.10"
# Records,  13446 
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),
,Sensor Range,Custom,Custom,Custom,Custom,Custom,
,Minimum,6.125,-55.224,12.460,6.340,5.550,
,Maximum,31.813,15.405,13.950,12.190,29.520,
,Mean,20.912,7.809,13.367,9.396,20.109,
,Variance,47.9620,192.4657,0.2297,1.3616,46.2859,
,Std Deviation,6.9255,13.8732,0.4793,1.1669,6.8034,
,,,,,,,
,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC)
1,19-Mar-18 13:00:00,8.625,15.029,13.861,12.090,6.660
2,19-Mar-18 13:15:00,8.500,15.027,13.861,12.090,6.770
3,19-Mar-18 13:30:00,8.500,15.027,13.861,12.110,6.840
4,19-Mar-18 13:45:00,8.313,15.023,13.891,12.150,6.810
5,19-Mar-18 14:00:00,8.313,15.023,13.861,12.150,6.820
6,19-Mar-18 14:15:00,8.250,15.019,13.861,12.140,6.800
7,19-Mar-18 14:30:00,8.125,15.020,13.891,12.160,6.820
8,19-Mar-18 14:45:00,8.063,15.025,13.861,12.160,6.770
9,19-Mar-18 15:00:00,8.000,15.012,13.891,12.190,6.760
10,19-Mar-18 15:15:00,7.938,15.015,13.891,12.170,6.770
11,19-Mar-18 15:30:00,8.000,15.006,13.861,12.170,6.790
12,19-Mar-18 15:45:00,8.063,15.011,13.861,12.140,6.860
13,19-Mar-18 16:00:00,8.125,15.003,13.801,12.110,6.950
14,19-Mar-18 16:15:00,8.125,15.005,13.861,12.120,6.930
15,19-Mar-18 16:30:00,8.125,15.008,13.891,12.110,6.950
16,19-Mar-18 16:45:00,8.125,15.007,13.861,12.140,6.970
17,19-Mar-18 17:00:00,8.125,15.000,13.861,12.170,6.950
18,19-Mar-18 17:15:00,8.125,15.000,13.831,12.130,6.960
19,19-Mar-18 17:30:00,8.000,14.991,13.861,12.130,6.940
20,19-Mar-18 17:45:00,7.875,14.999,13.861,12.090,7.130
21,19-Mar-18 18:00:00,7.813,15.000,13.563,12.050,7.240
22,19-Mar-18 18:15:00,7.938,14.997,13.503,12.020,7.420
23,19-Mar-18 18:30:00,8.250,14.993,13.473,11.960,7.460
24,19-Mar-18 18:45:00,8.625,15.002,13.265,12.000,7.390
25,19-Mar-18 19:00:00,8.938,14.999,13.145,11.960,7.630
26,19-Mar-18 19:15:00,9.188,15.004,13.086,11.950,7.630
27,19-Mar-18 19:30:00,9.313,15.000,13.026,11.970,7.660
28,19-Mar-18 19:45:00,9.375,14.998,13.026,11.930,8.010
29,19-Mar-18 20:00:00,9.375,14.995,12.966,11.760,8.680
