
Advanced Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
,Pressure(psi),unknown,0.000001,-0.000219,1.003133,-0.000022,0.001997,0.421111,0.000000,1.000000,0.000000
,Power(V),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO(ppm),19-Feb-18 12:42,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO Temp(degC),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Field Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7
,Temperature(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Pressure(psi),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Power(V),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO(ppm),19-Feb-18 12:42,1.000000,0.560000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO Temp(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000

Sensor/File information
Sensor SN, 21230023 ,,Modbus Addr., 3 
Sensor Type,DO2,,Initialized w/fw Rev,"2. 131"
Sensor Name,FCR DO 1m  (3),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_DO_1m_20181029,,Exported,"Aqua4Plus 1.9.10"
# Records,  2010 
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),
,Sensor Range,Custom,Custom,Custom,Custom,Custom,
,Minimum,8.000,11.278,12.490,6.890,7.570,
,Maximum,13.625,15.176,13.950,8.930,12.960,
,Mean,11.190,14.954,13.156,7.776,10.750,
,Variance,3.0181,0.1013,0.1930,0.1963,3.0338,
,Std Deviation,1.7373,0.3182,0.4394,0.4430,1.7418,
,,,,,,,
,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC)
1,29-Oct-18 14:00:00,13.188,14.891,13.891,7.000,12.370
2,29-Oct-18 14:15:00,13.125,14.894,13.831,6.990,12.330
3,29-Oct-18 14:30:00,13.063,14.886,13.891,6.990,12.320
4,29-Oct-18 14:45:00,13.000,14.895,13.891,7.000,12.290
5,29-Oct-18 15:00:00,12.938,14.901,13.801,7.040,12.300
6,29-Oct-18 15:15:00,12.938,14.891,13.771,7.080,12.310
7,29-Oct-18 15:30:00,12.875,14.906,13.801,7.060,12.300
8,29-Oct-18 15:45:00,12.875,14.913,13.861,7.040,12.320
9,29-Oct-18 16:00:00,12.875,14.902,13.831,7.060,12.400
10,29-Oct-18 16:15:00,12.938,14.913,13.861,7.060,12.250
11,29-Oct-18 16:30:00,12.875,14.916,13.861,7.020,12.270
12,29-Oct-18 16:45:00,12.875,14.912,13.861,7.160,12.330
13,29-Oct-18 17:00:00,12.813,14.912,13.592,7.240,12.400
14,29-Oct-18 17:15:00,12.813,14.901,13.563,7.290,12.410
15,29-Oct-18 17:30:00,12.813,14.919,13.473,7.330,12.400
16,29-Oct-18 17:45:00,12.750,14.911,13.443,7.340,12.380
17,29-Oct-18 18:00:00,12.750,14.902,13.205,7.340,12.380
18,29-Oct-18 18:15:00,12.688,14.919,13.086,7.340,12.360
19,29-Oct-18 18:30:00,12.688,14.918,12.996,7.360,12.360
20,29-Oct-18 18:45:00,12.688,14.928,12.966,7.360,12.350
21,29-Oct-18 19:00:00,12.688,14.931,12.966,7.360,12.350
22,29-Oct-18 19:15:00,12.688,14.932,12.937,7.320,12.340
23,29-Oct-18 19:30:00,12.625,14.928,12.907,7.310,12.330
24,29-Oct-18 19:45:00,12.625,14.935,12.907,7.340,12.320
25,29-Oct-18 20:00:00,12.688,14.935,12.907,7.330,12.310
26,29-Oct-18 20:15:00,12.625,14.931,12.907,7.300,12.300
27,29-Oct-18 20:30:00,12.625,14.932,12.877,7.280,12.280
28,29-Oct-18 20:45:00,12.625,14.940,12.877,7.270,12.260
29,29-Oct-18 21:00:00,12.563,14.928,12.907,7.270,12.230
