
Advanced Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
,Pressure(psi),unknown,0.000000,-0.000189,0.995379,-0.000032,0.003576,0.347366,0.000000,1.000000,0.000000
,Power(V),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO(ppm),19-Feb-18 12:38,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO Temp(degC),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Field Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7
,Temperature(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Pressure(psi),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Power(V),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO(ppm),19-Feb-18 12:38,1.000000,0.130000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO Temp(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000

Sensor/File information
Sensor SN, 21230019 ,,Modbus Addr., 1 
Sensor Type,DO2,,Initialized w/fw Rev,"2. 130"
Sensor Name,FCR DO (1),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR DO_8m 2018-02-19,,Exported,"Aqua4Plus 1.9.10"
# Records,  13445 
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),
,Sensor Range,Custom,Custom,Custom,Custom,Custom,
,Minimum,5.625,25.990,12.609,1.620,5.570,
,Maximum,13.188,26.638,14.010,11.850,11.960,
,Mean,9.263,26.295,13.397,8.439,9.296,
,Variance,3.7700,0.0118,0.2334,4.1729,4.0090,
,Std Deviation,1.9417,0.1088,0.4831,2.0428,2.0023,
,,,,,,,
,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC)
1,19-Mar-18 13:00:00,5.750,26.244,13.920,11.510,5.660
2,19-Mar-18 13:15:00,5.688,26.253,13.920,11.480,5.650
3,19-Mar-18 13:30:00,5.750,26.252,13.920,11.350,5.630
4,19-Mar-18 13:45:00,5.750,26.241,13.920,11.290,5.590
5,19-Mar-18 14:00:00,5.688,26.231,13.891,11.260,5.600
6,19-Mar-18 14:15:00,5.750,26.222,13.920,11.270,5.590
7,19-Mar-18 14:30:00,5.750,26.244,13.920,11.290,5.590
8,19-Mar-18 14:45:00,5.750,26.241,13.920,11.460,5.670
9,19-Mar-18 15:00:00,5.750,26.238,13.920,11.460,5.660
10,19-Mar-18 15:15:00,5.750,26.204,13.920,11.430,5.610
11,19-Mar-18 15:30:00,5.750,26.218,13.920,11.370,5.610
12,19-Mar-18 15:45:00,5.750,26.235,13.891,11.370,5.580
13,19-Mar-18 16:00:00,5.750,26.216,13.861,11.400,5.570
14,19-Mar-18 16:15:00,5.688,26.230,13.920,11.390,5.580
15,19-Mar-18 16:30:00,5.688,26.226,13.920,11.400,5.600
16,19-Mar-18 16:45:00,5.688,26.209,13.891,11.430,5.590
17,19-Mar-18 17:00:00,5.688,26.208,13.920,11.410,5.580
18,19-Mar-18 17:15:00,5.688,26.218,13.891,11.380,5.580
19,19-Mar-18 17:30:00,5.688,26.217,13.920,11.430,5.600
20,19-Mar-18 17:45:00,5.688,26.222,13.920,11.210,5.590
21,19-Mar-18 18:00:00,5.688,26.208,13.622,11.110,5.600
22,19-Mar-18 18:15:00,5.688,26.224,13.533,11.290,5.600
23,19-Mar-18 18:30:00,5.688,26.223,13.503,11.440,5.610
24,19-Mar-18 18:45:00,5.688,26.233,13.294,11.310,5.610
25,19-Mar-18 19:00:00,5.625,26.231,13.175,11.230,5.590
26,19-Mar-18 19:15:00,5.688,26.231,13.116,11.440,5.610
27,19-Mar-18 19:30:00,5.688,26.225,13.056,11.520,5.630
28,19-Mar-18 19:45:00,5.688,26.220,13.086,11.550,5.640
29,19-Mar-18 20:00:00,5.688,26.219,13.026,11.560,5.640
30,19-Mar-18 20:15:00,5.688,26.215,13.026,11.360,5.600
31,19-Mar-18 20:30:00,5.688,26.229,13.026,11.230,5.600
32,19-Mar-18 20:45:00,5.688,26.190,12.996,11.310,5.600
33,19-Mar-18 21:00:00,5.688,26.226,12.937,11.330,5.610
34,19-Mar-18 21:15:00,5.688,26.218,12.966,11.330,5.610
35,19-Mar-18 21:30:00,5.688,26.225,12.996,11.360,5.620
36,19-Mar-18 21:45:00,5.688,26.223,12.996,11.380,5.620
37,19-Mar-18 22:00:00,5.688,26.220,12.966,11.430,5.630
38,19-Mar-18 22:15:00,5.688,26.214,12.966,11.530,5.640
39,19-Mar-18 22:30:00,5.688,26.221,12.996,11.490,5.660
40,19-Mar-18 22:45:00,5.750,26.212,12.966,11.510,5.660
41,19-Mar-18 23:00:00,5.750,26.211,12.937,11.520,5.650
42,19-Mar-18 23:15:00,5.688,26.210,12.966,11.540,5.650
43,19-Mar-18 23:30:00,5.688,26.209,12.937,11.580,5.660
44,19-Mar-18 23:45:00,5.688,26.207,12.966,11.570,5.660
45,20-Mar-18 00:00:00,5.688,26.203,12.907,11.560,5.660
46,20-Mar-18 00:15:00,5.688,26.209,12.937,11.490,5.650
47,20-Mar-18 00:30:00,5.750,26.207,12.937,11.300,5.610
48,20-Mar-18 00:45:00,5.688,26.219,12.937,11.370,5.620
49,20-Mar-18 01:00:00,5.688,26.211,12.877,11.380,5.610
50,20-Mar-18 01:15:00,5.688,26.217,12.847,11.300,5.610
51,20-Mar-18 01:30:00,5.625,26.207,12.907,11.120,5.590
52,20-Mar-18 01:45:00,5.688,26.222,12.907,11.200,5.600
53,20-Mar-18 02:00:00,5.688,26.201,12.847,11.240,5.600
54,20-Mar-18 02:15:00,5.688,26.203,12.877,11.310,5.600
55,20-Mar-18 02:30:00,5.688,26.207,12.877,11.310,5.600
56,20-Mar-18 02:45:00,5.688,26.209,12.907,11.200,5.610
57,20-Mar-18 03:00:00,5.625,26.181,12.847,11.130,5.600
58,20-Mar-18 03:15:00,6.375,26.214,12.847,11.150,5.610
59,20-Mar-18 03:30:00,5.688,26.196,12.877,11.160,5.610
60,20-Mar-18 03:45:00,5.625,26.192,12.877,11.150,5.600
61,20-Mar-18 04:00:00,5.688,26.182,12.847,11.130,5.610
62,20-Mar-18 04:15:00,5.688,26.166,12.817,11.140,5.620
63,20-Mar-18 04:30:00,5.688,26.177,12.847,11.180,5.630
64,20-Mar-18 04:45:00,6.375,26.212,12.817,11.210,5.640
65,20-Mar-18 05:00:00,5.688,26.193,12.817,11.280,5.640
66,20-Mar-18 05:15:00,5.688,26.190,12.817,11.450,5.650
67,20-Mar-18 05:30:00,5.750,26.187,12.847,11.540,5.670
68,20-Mar-18 05:45:00,5.750,26.178,12.847,11.520,5.670
69,20-Mar-18 06:00:00,5.750,26.188,12.758,11.490,5.700
70,20-Mar-18 06:15:00,5.750,26.174,12.817,11.450,5.720
71,20-Mar-18 06:30:00,5.750,26.175,12.817,11.490,5.710
72,20-Mar-18 06:45:00,5.750,26.189,12.817,11.450,5.710
73,20-Mar-18 07:00:00,5.750,26.176,12.788,11.430,5.710
74,20-Mar-18 07:15:00,5.750,26.184,12.758,11.430,5.730
75,20-Mar-18 07:30:00,5.750,26.149,12.758,11.450,5.720
76,20-Mar-18 07:45:00,5.750,26.203,12.847,11.440,5.720
77,20-Mar-18 08:00:00,5.750,26.181,12.728,11.420,5.730
78,20-Mar-18 08:15:00,5.750,26.213,12.788,11.410,5.720
79,20-Mar-18 08:30:00,5.750,26.219,12.817,11.420,5.720
80,20-Mar-18 08:45:00,5.750,26.208,12.907,11.410,5.720
81,20-Mar-18 09:00:00,5.750,26.205,12.966,11.400,5.720
82,20-Mar-18 09:15:00,5.750,26.217,12.996,11.420,5.710
83,20-Mar-18 09:30:00,5.750,26.204,13.205,11.380,5.710
84,20-Mar-18 09:45:00,5.750,26.217,13.533,11.400,5.700
85,20-Mar-18 10:00:00,5.750,26.223,13.861,11.400,5.710
86,20-Mar-18 10:15:00,5.750,26.214,13.831,11.390,5.700
87,20-Mar-18 10:30:00,5.750,26.221,13.891,11.420,5.690
88,20-Mar-18 10:45:00,5.750,26.228,13.801,11.390,5.680
89,20-Mar-18 11:00:00,5.750,26.205,13.801,11.370,5.670
90,20-Mar-18 11:15:00,5.750,26.201,13.861,11.370,5.670
91,20-Mar-18 11:30:00,5.750,26.223,13.891,11.370,5.670
92,20-Mar-18 11:45:00,5.750,26.231,13.891,11.350,5.670
93,20-Mar-18 12:00:00,5.750,26.232,13.831,11.340,5.670
94,20-Mar-18 12:15:00,5.750,26.206,13.861,11.240,5.670
