
Advanced Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
,Pressure(psi),unknown,0.000000,-0.000189,0.995379,-0.000032,0.003576,0.347366,0.000000,1.000000,0.000000
,Power(V),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO(ppm),19-Feb-18 12:38,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO Temp(degC),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Field Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7
,Temperature(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Pressure(psi),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Power(V),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO(ppm),19-Feb-18 12:38,1.000000,0.130000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO Temp(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000

Sensor/File information
Sensor SN, 21230019 ,,Modbus Addr., 1 
Sensor Type,DO2,,Initialized w/fw Rev,"2. 130"
Sensor Name,FCR DO (1),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_DO_8m_2018-0806,,Exported,"Aqua4Plus 1.9.10"
# Records,  3559 
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),
,Sensor Range,Custom,Custom,Custom,Custom,Custom,
,Minimum,11.500,26.088,12.639,1.610,11.620,
,Maximum,13.313,26.361,13.980,3.030,12.340,
,Mean,11.815,26.223,13.355,1.758,11.933,
,Variance,0.0357,0.0039,0.2170,0.1031,0.0217,
,Std Deviation,0.1889,0.0623,0.4658,0.3211,0.1472,
,,,,,,,
,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC)
1,6-Aug-18 14:00:00,11.750,26.236,13.891,1.660,11.670
2,6-Aug-18 14:15:00,11.563,26.236,13.920,1.640,11.670
3,6-Aug-18 14:30:00,11.563,26.228,13.891,1.640,11.670
4,6-Aug-18 14:45:00,11.563,26.225,13.861,1.640,11.680
5,6-Aug-18 15:00:00,11.563,26.218,13.861,1.640,11.690
6,6-Aug-18 15:15:00,11.563,26.226,13.891,1.640,11.690
7,6-Aug-18 15:30:00,11.563,26.226,13.920,1.650,11.700
8,6-Aug-18 15:45:00,11.563,26.223,13.891,1.640,11.690
9,6-Aug-18 16:00:00,11.563,26.217,13.891,1.640,11.700
10,6-Aug-18 16:15:00,11.563,26.229,13.891,1.650,11.690
11,6-Aug-18 16:30:00,11.563,26.226,13.771,1.630,11.690
12,6-Aug-18 16:45:00,11.563,26.227,13.861,1.640,11.670
13,6-Aug-18 17:00:00,11.563,26.222,13.563,1.630,11.690
14,6-Aug-18 17:15:00,11.563,26.215,13.503,1.630,11.690
15,6-Aug-18 17:30:00,11.563,26.225,13.563,1.640,11.670
16,6-Aug-18 17:45:00,11.563,26.222,13.503,1.630,11.670
17,6-Aug-18 18:00:00,11.563,26.228,13.503,1.630,11.680
18,6-Aug-18 18:15:00,11.563,26.211,13.503,1.630,11.680
19,6-Aug-18 18:30:00,11.563,26.220,13.533,1.630,11.690
20,6-Aug-18 18:45:00,11.563,26.218,13.563,1.630,11.690
21,6-Aug-18 19:00:00,11.563,26.220,13.563,1.640,11.700
22,6-Aug-18 19:15:00,11.563,26.218,13.563,1.640,11.680
23,6-Aug-18 19:30:00,11.563,26.216,13.563,1.630,11.690
24,6-Aug-18 19:45:00,11.563,26.221,13.503,1.640,11.690
25,6-Aug-18 20:00:00,11.563,26.228,13.324,1.630,11.690
26,6-Aug-18 20:15:00,11.563,26.228,13.175,1.630,11.680
27,6-Aug-18 20:30:00,11.563,26.230,13.116,1.630,11.690
28,6-Aug-18 20:45:00,11.563,26.229,13.056,1.630,11.680
29,6-Aug-18 21:00:00,11.563,26.231,13.026,1.630,11.690
30,6-Aug-18 21:15:00,11.563,26.231,12.937,1.630,11.690
31,6-Aug-18 21:30:00,11.563,26.224,12.907,1.640,11.690
32,6-Aug-18 21:45:00,11.563,26.229,12.937,1.630,11.690
33,6-Aug-18 22:00:00,11.563,26.225,12.907,1.630,11.690
34,6-Aug-18 22:15:00,11.563,26.227,12.907,1.630,11.690
35,6-Aug-18 22:30:00,11.563,26.226,12.937,1.640,11.700
36,6-Aug-18 22:45:00,11.625,26.220,12.937,1.630,11.700
37,6-Aug-18 23:00:00,11.563,26.219,12.907,1.630,11.710
38,6-Aug-18 23:15:00,11.563,26.221,12.907,1.640,11.710
39,6-Aug-18 23:30:00,11.625,26.214,12.907,1.630,11.710
40,6-Aug-18 23:45:00,11.563,26.221,12.877,1.630,11.710
41,7-Aug-18 00:00:00,11.563,26.218,12.937,1.630,11.670
42,7-Aug-18 00:15:00,11.563,26.222,12.877,1.630,11.680
43,7-Aug-18 00:30:00,11.563,26.220,12.907,1.630,11.680
44,7-Aug-18 00:45:00,11.563,26.213,12.907,1.630,11.700
45,7-Aug-18 01:00:00,11.563,26.211,12.907,1.630,11.710
46,7-Aug-18 01:15:00,11.563,26.208,12.817,1.630,11.730
47,7-Aug-18 01:30:00,11.563,26.203,12.877,1.630,11.730
48,7-Aug-18 01:45:00,11.563,26.215,12.907,1.640,11.710
49,7-Aug-18 02:00:00,11.563,26.211,12.907,1.630,11.700
50,7-Aug-18 02:15:00,11.563,26.209,12.877,1.630,11.720
51,7-Aug-18 02:30:00,11.563,26.206,12.877,1.630,11.720
52,7-Aug-18 02:45:00,11.563,26.203,12.847,1.630,11.730
53,7-Aug-18 03:00:00,11.563,26.198,12.847,1.620,11.740
54,7-Aug-18 03:15:00,11.563,26.193,12.877,1.630,11.740
55,7-Aug-18 03:30:00,11.563,26.200,12.847,1.630,11.740
56,7-Aug-18 03:45:00,11.563,26.197,12.877,1.630,11.740
57,7-Aug-18 04:00:00,11.563,26.202,12.847,1.630,11.730
58,7-Aug-18 04:15:00,11.625,26.203,12.847,1.630,11.720
59,7-Aug-18 04:30:00,11.563,26.199,12.817,1.630,11.720
60,7-Aug-18 04:45:00,11.563,26.198,12.847,1.620,11.730
61,7-Aug-18 05:00:00,11.563,26.199,12.847,1.630,11.740
62,7-Aug-18 05:15:00,11.563,26.207,12.817,1.630,11.740
63,7-Aug-18 05:30:00,11.563,26.206,12.817,1.630,11.750
64,7-Aug-18 05:45:00,11.563,26.209,12.817,1.640,11.740
65,7-Aug-18 06:00:00,11.563,26.203,12.817,1.630,11.710
66,7-Aug-18 06:15:00,11.563,26.201,12.817,1.630,11.710
67,7-Aug-18 06:30:00,11.563,26.207,12.817,1.630,11.730
68,7-Aug-18 06:45:00,11.563,26.212,12.788,1.630,11.740
69,7-Aug-18 07:00:00,11.563,26.209,12.817,1.630,11.740
70,7-Aug-18 07:15:00,11.563,26.200,12.817,1.640,11.740
71,7-Aug-18 07:30:00,11.563,26.209,12.847,1.630,11.730
72,7-Aug-18 07:45:00,11.563,26.196,12.937,1.630,11.730
73,7-Aug-18 08:00:00,11.563,26.199,13.175,1.630,11.730
74,7-Aug-18 08:15:00,11.563,26.202,13.592,1.630,11.730
75,7-Aug-18 08:30:00,11.563,26.202,13.622,1.630,11.740
