
Advanced Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
,Pressure(psi),unknown,0.000000,-0.000189,0.995379,-0.000032,0.003576,0.347366,0.000000,1.000000,0.000000
,Power(V),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO(ppm),19-Feb-18 12:38,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO Temp(degC),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Field Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7
,Temperature(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Pressure(psi),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Power(V),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO(ppm),19-Feb-18 12:38,1.000000,0.130000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO Temp(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000

Sensor/File information
Sensor SN, 21230019 ,,Modbus Addr., 1 
Sensor Type,DO2,,Initialized w/fw Rev,"2. 130"
Sensor Name,FCR DO (1),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_DO_8m_20180912,,Exported,"Aqua4Plus 1.9.10"
# Records,  2479 
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),
,Sensor Range,Custom,Custom,Custom,Custom,Custom,
,Minimum,12.063,25.810,12.609,1.570,12.200,
,Maximum,15.875,26.598,13.980,1.660,14.190,
,Mean,13.880,26.287,13.273,1.604,13.445,
,Variance,0.5354,0.0285,0.2007,0.0004,0.2649,
,Std Deviation,0.7317,0.1688,0.4480,0.0200,0.5146,
,,,,,,,
,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC)
1,12-Sep-18 16:00:00,12.125,26.309,13.652,1.650,12.200
2,12-Sep-18 16:15:00,12.063,26.300,13.891,1.650,12.210
3,12-Sep-18 16:30:00,12.063,26.306,13.920,1.650,12.200
4,12-Sep-18 16:45:00,12.063,26.302,13.920,1.650,12.210
5,12-Sep-18 17:00:00,12.063,26.295,13.891,1.650,12.200
6,12-Sep-18 17:15:00,12.063,26.293,13.920,1.650,12.200
7,12-Sep-18 17:30:00,12.063,26.298,13.920,1.650,12.200
8,12-Sep-18 17:45:00,12.063,26.295,13.592,1.660,12.200
9,12-Sep-18 18:00:00,12.063,26.291,13.563,1.640,12.210
10,12-Sep-18 18:15:00,12.063,26.291,13.503,1.650,12.210
11,12-Sep-18 18:30:00,12.063,26.289,13.354,1.650,12.200
12,12-Sep-18 18:45:00,12.063,26.288,13.533,1.640,12.200
13,12-Sep-18 19:00:00,12.063,26.289,13.473,1.650,12.200
14,12-Sep-18 19:15:00,12.063,26.284,13.205,1.640,12.210
15,12-Sep-18 19:30:00,12.063,26.287,13.056,1.650,12.210
16,12-Sep-18 19:45:00,12.063,26.287,13.026,1.650,12.210
17,12-Sep-18 20:00:00,12.063,26.280,13.026,1.650,12.220
18,12-Sep-18 20:15:00,12.063,26.287,13.026,1.650,12.230
19,12-Sep-18 20:30:00,12.063,26.286,12.937,1.650,12.220
20,12-Sep-18 20:45:00,12.125,26.282,12.937,1.660,12.210
21,12-Sep-18 21:00:00,12.063,26.291,12.966,1.650,12.210
22,12-Sep-18 21:15:00,12.063,26.284,12.907,1.650,12.210
23,12-Sep-18 21:30:00,12.063,26.289,12.966,1.650,12.210
24,12-Sep-18 21:45:00,12.063,26.283,12.966,1.650,12.200
25,12-Sep-18 22:00:00,13.375,26.294,12.847,1.650,12.310
26,12-Sep-18 22:15:00,12.125,26.284,12.937,1.640,12.230
27,12-Sep-18 22:30:00,12.125,26.282,12.907,1.650,12.220
28,12-Sep-18 22:45:00,12.063,26.286,12.966,1.650,12.210
29,12-Sep-18 23:00:00,12.063,26.282,12.937,1.650,12.200
