Reservoir,Year,Date,FLOWAVG_cmn,FLOWAVG_cms,FLOWMDN_cmn,FLOWMDN_cms,FLOWSUM_cmd,FLOWSE_cmn,FLOWSE_cms,RTIME_days,WTEMP_C
FCR,2014,2014-01-01 12:00:00,1.42520231,0.023753372,1.42000315,0.023666719,2052.291327,0.012660326,0.000211005,151.638003,3.787604167
FCR,2014,2014-01-02 12:00:00,1.341659545,0.022360992,1.342978972,0.022382983,1931.989744,0.011858074,0.000197635,161.1021111,4.230520833
FCR,2014,2014-01-03 12:00:00,1.586490616,0.02644151,1.535458472,0.025590975,2284.546487,0.018405067,0.000306751,136.8237005,1.320520833
FCR,2014,2014-01-04 12:00:00,1.33001114,0.022166852,1.312563686,0.021876061,1915.216042,0.013667383,0.00022779,162.8757652,1.0665625
FCR,2014,2014-01-05 12:00:00,1.27280121,0.021213354,1.277370044,0.021289501,1832.833742,0.009757745,0.000162629,169.4679422,3.471875
FCR,2014,2014-01-06 12:00:00,1.430740979,0.023845683,1.440776547,0.024012942,2060.26701,0.0181914,0.00030319,152.3098596,3.181770833
FCR,2014,2014-01-07 12:00:00,2.443036158,0.040717269,1.944552501,0.032409208,3517.972067,0.090622205,0.00151037,98.70211271,0.253229167
FCR,2014,2014-01-08 12:00:00,1.981349573,0.033022493,1.859135812,0.030985597,2853.143385,0.064398261,0.001073304,119.2914087,0.280416667
FCR,2014,2014-01-09 12:00:00,1.250247604,0.02083746,1.262378051,0.021039634,1800.356549,0.011493052,0.000191551,172.9856637,1.220416667
FCR,2014,2014-01-10 12:00:00,1.325338442,0.022088974,1.342978972,0.022382983,1908.487356,0.012136105,0.000202268,163.1204618,2.7440625
FCR,2014,2014-01-11 12:00:00,2.023304495,0.033721742,2.095542396,0.034925707,2913.558473,0.057096927,0.000951615,114.5210994,4.640520833
FCR,2014,2014-01-12 12:00:00,2.054762568,0.034246043,2.037026161,0.033950436,2958.858097,0.018623808,0.000310397,105.1776555,4.477708333
FCR,2014,2014-01-13 12:00:00,1.644378742,0.027406312,1.670166538,0.027836109,2367.905388,0.018818873,0.000313648,132.151426,4.4509375
FCR,2014,2014-01-14 12:00:00,1.578490982,0.026308183,1.594270929,0.026571182,2273.027014,0.012537387,0.000208956,136.7256523,5.342916667
FCR,2014,2014-01-15 12:00:00,1.515872169,0.025264536,1.530144265,0.025502404,2182.855924,0.010240744,0.000170679,142.1110881,4.3178125
FCR,2014,2014-01-16 12:00:00,1.462399373,0.024373323,1.477361747,0.024622696,2105.855097,0.012731244,0.000212187,147.7570681,2.815208333
FCR,2014,2014-01-17 12:00:00,1.404383998,0.0234064,1.425184246,0.023753071,2022.312957,0.012399258,0.000206654,153.9152412,3.0428125
FCR,2014,2014-01-18 12:00:00,1.451410154,0.024190169,1.456417698,0.024273628,2090.030622,0.010581788,0.000176363,148.5190938,1.730416667
FCR,2014,2014-01-19 12:00:00,1.360232418,0.02267054,1.358274448,0.022637907,1958.734682,0.008364764,0.000139413,158.2342642,2.380625
FCR,2014,2014-01-20 12:00:00,1.306479707,0.021774662,1.297444407,0.021624073,1881.330778,0.009080078,0.000151335,164.8888775,3.233645833
FCR,2014,2014-01-21 12:00:00,1.359811689,0.022663528,1.307519702,0.021791995,1958.128833,0.015321167,0.000255353,159.5441493,2.885520833
FCR,2014,2014-01-22 12:00:00,1.544503009,0.025741717,1.546098798,0.025768313,2224.084333,0.010338821,0.000172314,139.4585498,0.421041667
FCR,2014,2014-01-23 12:00:00,1.559254143,0.025987569,1.524842002,0.025414033,2245.325966,0.017807557,0.000296793,139.1715176,0.3915625
FCR,2014,2014-01-24 12:00:00,3.023623651,0.050393728,2.741094592,0.04568491,4354.018057,0.115135263,0.001918921,82.13318026,0.250625
FCR,2014,2014-01-25 12:00:00,2.488465165,0.041474419,2.494646035,0.041577434,3583.389838,0.077413496,0.001290225,95.50650187,0.381354167
FCR,2014,2014-01-26 12:00:00,1.298790507,0.021646508,1.267371121,0.021122852,1870.25833,0.015014565,0.000250243,167.132108,0.776041667
FCR,2014,2014-01-27 12:00:00,1.32984745,0.022164124,1.312563686,0.021876061,1914.980327,0.010016916,0.000166949,162.1307163,1.987708333
FCR,2014,2014-01-28 12:00:00,1.471509588,0.02452516,1.425184246,0.023753071,2118.973807,0.016860058,0.000281001,147.4632315,0.260625
FCR,2014,2014-01-29 12:00:00,1.495677825,0.024927964,1.394171505,0.023236192,2153.776067,0.033324912,0.000555415,148.3837256,0.308125
FCR,2014,2014-01-30 12:00:00,1.786488134,0.029774802,1.588897459,0.026481624,2572.542914,0.049691331,0.000828189,128.0182992,0.292604167
FCR,2014,2014-01-31 12:00:00,1.242245189,0.020704086,1.252417552,0.020873626,1788.833072,0.010540501,0.000175675,173.9030833,1.191979167
FCR,2014,2014-02-01 12:00:00,1.170434882,0.019507248,1.16880251,0.019480042,1685.426231,0.010719057,0.000178651,184.7454003,2.6
FCR,2014,2014-02-02 12:00:00,1.175488787,0.01959148,1.183418315,0.019723639,1692.703854,0.008309067,0.000138484,183.3263195,4.269375
FCR,2014,2014-02-03 12:00:00,2.641465929,0.044024432,2.626251379,0.043770856,3803.710938,0.099288147,0.001654802,96.25511258,5.1546875
FCR,2014,2014-02-04 12:00:00,1.936006178,0.03226677,1.927365816,0.032122764,2787.848896,0.020366638,0.000339444,111.9479157,4.066041667
