Reservoir,Year,Date,Depth,PAR
FCR,2015,2015-05-11,-0.1,139.5
FCR,2015,2015-05-11,0.1,103
FCR,2015,2015-05-11,1,64
FCR,2015,2015-05-11,2,72
FCR,2015,2015-05-11,3,47
FCR,2015,2015-05-11,4,22.1
FCR,2015,2015-05-11,5,13.2
FCR,2015,2015-05-11,6,0.59
FCR,2015,2015-05-11,7,1.53
FCR,2015,2015-05-11,8,0.48
FCR,2015,2015-05-11,9,0.09
FCR,2015,2015-05-18,-0.1,2160
FCR,2015,2015-05-18,0.1,1500
FCR,2015,2015-05-18,1,650
FCR,2015,2015-05-18,2,360
FCR,2015,2015-05-18,3,190
FCR,2015,2015-05-18,4,92
FCR,2015,2015-05-18,5,36
FCR,2015,2015-05-18,6,8.3
FCR,2015,2015-05-18,7,2.08
FCR,2015,2015-05-18,8,0.41
FCR,2015,2015-05-18,9,0.047
FCR,2015,2015-05-21,-0.1,2580
FCR,2015,2015-05-21,0.1,200
FCR,2015,2015-05-21,1,740
FCR,2015,2015-05-21,2,320
FCR,2015,2015-05-21,3,185
FCR,2015,2015-05-21,4,71
FCR,2015,2015-05-21,5,23.3
FCR,2015,2015-05-21,6,5.4
FCR,2015,2015-05-21,7,1.2
FCR,2015,2015-05-21,8,0.25
FCR,2015,2015-05-21,9,0.05
FCR,2015,2015-06-01,-0.1,256
FCR,2015,2015-06-01,0.1,193
FCR,2015,2015-06-01,1,80
FCR,2015,2015-06-01,2,51
FCR,2015,2015-06-01,3,29
FCR,2015,2015-06-01,4,24
FCR,2015,2015-06-01,5,8.9
FCR,2015,2015-06-01,6,5.1
FCR,2015,2015-06-01,7,2.04
FCR,2015,2015-06-01,8,0.4
FCR,2015,2015-06-01,9,0.08
FCR,2015,2015-06-08,-0.1,587.8
FCR,2015,2015-06-08,0.1,360.6
FCR,2015,2015-06-08,1,147.1
FCR,2015,2015-06-08,2,58.66
FCR,2015,2015-06-08,3,55.73
FCR,2015,2015-06-08,4,46.19
FCR,2015,2015-06-08,5,10.71
FCR,2015,2015-06-08,6,2.063
FCR,2015,2015-06-08,7,0.4711
FCR,2015,2015-06-08,8,0.1105
FCR,2015,2015-06-08,9,0.0255
FCR,2015,2015-06-15,-0.1,900
FCR,2015,2015-06-15,0.1,230
FCR,2015,2015-06-15,1,148
FCR,2015,2015-06-15,2,152
FCR,2015,2015-06-15,3,114
FCR,2015,2015-06-15,4,66
FCR,2015,2015-06-15,5,12
FCR,2015,2015-06-15,6,2.08
FCR,2015,2015-06-15,7,0.6
FCR,2015,2015-06-15,8,0.187
FCR,2015,2015-06-15,9,0.062
FCR,2015,2015-06-22,-0.1,262
FCR,2015,2015-06-22,0.1,375
FCR,2015,2015-06-22,1,155
FCR,2015,2015-06-22,2,69
FCR,2015,2015-06-22,3,70
FCR,2015,2015-06-22,4,35
FCR,2015,2015-06-22,5,5.5
FCR,2015,2015-06-22,6,0.72
FCR,2015,2015-06-22,7,0.29
FCR,2015,2015-06-22,8,0.034
FCR,2015,2015-06-22,9,0.014
FCR,2015,2015-06-29,-0.1,1784
FCR,2015,2015-06-29,0.1,1041
FCR,2015,2015-06-29,1,557.7
FCR,2015,2015-06-29,2,252.9
FCR,2015,2015-06-29,3,114.5
FCR,2015,2015-06-29,4,20.2
FCR,2015,2015-06-29,5,5.94
FCR,2015,2015-06-29,6,0.939
FCR,2015,2015-06-29,7,0.131
FCR,2015,2015-06-29,8,0.018
FCR,2015,2015-06-29,9,0.004
FCR,2015,2015-07-20,-0.1,936.6
FCR,2015,2015-07-20,0.1,840
FCR,2015,2015-07-20,1,407.1
FCR,2015,2015-07-20,2,204.3
FCR,2015,2015-07-20,3,90.29
FCR,2015,2015-07-20,4,33.95
FCR,2015,2015-07-20,5,14.06
FCR,2015,2015-07-20,6,1.602
FCR,2015,2015-07-20,7,0.2347
FCR,2015,2015-07-20,8,0.03742
FCR,2015,2015-07-20,9,0.006803
FCR,2015,2015-08-03,-0.1,2286
FCR,2015,2015-08-03,0.1,1300
FCR,2015,2015-08-03,1,750
FCR,2015,2015-08-03,2,355
FCR,2015,2015-08-03,3,161.5
FCR,2015,2015-08-03,4,57.8
FCR,2015,2015-08-03,5,15.32
FCR,2015,2015-08-03,6,1.52
FCR,2015,2015-08-03,7,0.2381
FCR,2015,2015-08-03,8,0.0408
FCR,2015,2015-08-03,9,0.006807
FCR,2015,2015-08-31,-0.1,342
FCR,2015,2015-08-31,0.1,208
FCR,2015,2015-08-31,1,70
FCR,2015,2015-08-31,2,27
FCR,2015,2015-08-31,3,9.2
FCR,2015,2015-08-31,4,2.1
FCR,2015,2015-08-31,5,0.09
FCR,2015,2015-08-31,6,0.01
FCR,2015,2015-08-31,7,0.002
FCR,2015,2015-08-31,8,0
FCR,2015,2015-08-31,9,0
FCR,2015,2015-09-14,-0.1,1169
FCR,2015,2015-09-14,0.1,748
FCR,2015,2015-09-14,1,135.4
FCR,2015,2015-09-14,2,27.2
FCR,2015,2015-09-14,3,5.5
FCR,2015,2015-09-14,4,1.6
FCR,2015,2015-09-14,5,0.09
FCR,2015,2015-09-14,6,0.01
FCR,2015,2015-09-14,7,0
FCR,2015,2015-09-14,8,0
FCR,2015,2015-09-14,9,0
FCR,2015,2015-09-14,-0.1,55.05
FCR,2015,2015-09-21,0.1,40.3
FCR,2015,2015-09-21,1,13.7
FCR,2015,2015-09-21,2,6.9
FCR,2015,2015-09-21,3,2.8
FCR,2015,2015-09-21,4,1
FCR,2015,2015-09-21,5,0.3
FCR,2015,2015-09-21,6,0.02
FCR,2015,2015-09-21,7,0
FCR,2015,2015-09-21,8,0
FCR,2015,2015-09-21,9,0
FCR,2015,2015-09-28,-0.1,158
FCR,2015,2015-09-28,0.1,103
FCR,2015,2015-09-28,1,23.09
FCR,2015,2015-09-28,2,7.69
FCR,2015,2015-09-28,3,2.46
FCR,2015,2015-09-28,4,0.717
FCR,2015,2015-09-28,5,0.117
FCR,2015,2015-09-28,6,0.012
FCR,2015,2015-09-28,7,0.024
FCR,2015,2015-09-28,8,0
FCR,2015,2015-09-28,9,0
FCR,2015,2015-10-19,-0.1,1398
FCR,2015,2015-10-19,0.1,641
FCR,2015,2015-10-19,1,201.9
FCR,2015,2015-10-19,2,70.1
FCR,2015,2015-10-19,3,31.5
FCR,2015,2015-10-19,4,12.1
FCR,2015,2015-10-19,5,4.9
FCR,2015,2015-10-19,6,2
FCR,2015,2015-10-19,7,0.8
FCR,2015,2015-10-19,8,0.3
FCR,2015,2015-10-19,9,0.07
FCR,2015,2015-11-09,-0.1,111
FCR,2015,2015-11-09,0.1,71
FCR,2015,2015-11-09,1,27.5
FCR,2015,2015-11-09,2,11.3
FCR,2015,2015-11-09,3,4.6
FCR,2015,2015-11-09,4,1.8
FCR,2015,2015-11-09,5,0.7
FCR,2015,2015-11-09,6,0.3
FCR,2015,2015-11-09,7,0.09
FCR,2015,2015-11-09,8,0.03
FCR,2015,2015-11-09,9,0.01
FCR,2015,2015-12-07,-0.1,333.6
FCR,2015,2015-12-07,0.1,207.8
FCR,2015,2015-12-07,1,79
FCR,2015,2015-12-07,2,31.7
FCR,2015,2015-12-07,3,12.9
FCR,2015,2015-12-07,4,5.1
FCR,2015,2015-12-07,5,2
FCR,2015,2015-12-07,6,0.9
FCR,2015,2015-12-07,7,0.4
