Reservoir,Year,Date,Depth,pH
FCR,2015,2015-03-31 12:00:00,0.1,7.47
FCR,2015,2015-03-31 12:00:00,0.8,7.14
FCR,2015,2015-03-31 12:00:00,1.6,7.09
FCR,2015,2015-03-31 12:00:00,2.8,7.06
FCR,2015,2015-03-31 12:00:00,3.8,6.96
FCR,2015,2015-03-31 12:00:00,5,6.88
FCR,2015,2015-03-31 12:00:00,6.2,6.73
FCR,2015,2015-03-31 12:00:00,8,6.62
FCR,2015,2015-03-31 12:00:00,9,6.44
FCR,2015,2015-04-07 12:00:00,0.1,7.93
FCR,2015,2015-04-07 12:00:00,0.8,7.18
FCR,2015,2015-04-07 12:00:00,1.6,7.06
FCR,2015,2015-04-07 12:00:00,2.8,6.97
FCR,2015,2015-04-07 12:00:00,3.8,6.82
FCR,2015,2015-04-07 12:00:00,5,6.78
FCR,2015,2015-04-07 12:00:00,6.2,6.49
FCR,2015,2015-04-07 12:00:00,8,6.35
FCR,2015,2015-04-07 12:00:00,9,6.17
FCR,2015,2015-04-13 12:00:00,0.1,6.82
FCR,2015,2015-04-13 12:00:00,0.8,6.84
FCR,2015,2015-04-13 12:00:00,1.6,6.8
FCR,2015,2015-04-13 12:00:00,2.8,6.8
FCR,2015,2015-04-13 12:00:00,3.8,6.75
FCR,2015,2015-04-13 12:00:00,5,6.6
FCR,2015,2015-04-13 12:00:00,6.2,6.5
FCR,2015,2015-04-13 12:00:00,8,6.31
FCR,2015,2015-04-13 12:00:00,9,6.95
FCR,2015,2015-04-21 12:00:00,0.1,7.57
FCR,2015,2015-04-21 12:00:00,0.8,7.52
FCR,2015,2015-04-21 12:00:00,1.6,7.43
FCR,2015,2015-04-21 12:00:00,2.8,7.41
FCR,2015,2015-04-21 12:00:00,3.8,7.37
FCR,2015,2015-04-21 12:00:00,5,7.16
FCR,2015,2015-04-21 12:00:00,6.2,7
FCR,2015,2015-04-21 12:00:00,8,6.75
FCR,2015,2015-04-21 12:00:00,9,6.61
FCR,2015,2015-04-28 12:00:00,0.1,6.89
FCR,2015,2015-04-28 12:00:00,1.6,6.71
FCR,2015,2015-04-28 12:00:00,3.8,6.66
FCR,2015,2015-04-28 12:00:00,5,6.49
FCR,2015,2015-04-28 12:00:00,6.2,6.34
FCR,2015,2015-04-28 12:00:00,8,6.3
FCR,2015,2015-04-28 12:00:00,9,6.15
FCR,2015,2015-05-05 12:00:00,0.1,
FCR,2015,2015-05-05 12:00:00,1.6,6.78
FCR,2015,2015-05-05 12:00:00,3.8,6.67
FCR,2015,2015-05-05 12:00:00,5,
FCR,2015,2015-05-05 12:00:00,6.2,6.32
FCR,2015,2015-05-05 12:00:00,8,6.24
FCR,2015,2015-05-05 12:00:00,9,6.17
FCR,2015,2015-05-11 12:00:00,0.1,7.06
FCR,2015,2015-05-11 12:00:00,0.8,6.98
FCR,2015,2015-05-11 12:00:00,1.6,6.96
FCR,2015,2015-05-11 12:00:00,2.8,6.77
FCR,2015,2015-05-11 12:00:00,3.8,6.75
FCR,2015,2015-05-11 12:00:00,5,6.55
FCR,2015,2015-05-11 12:00:00,6.2,6.24
FCR,2015,2015-05-11 12:00:00,8,6.16
FCR,2015,2015-05-11 12:00:00,9,6.1
FCR,2015,2015-05-18 12:00:00,0.1,6.89
FCR,2015,2015-05-18 12:00:00,0.8,6.89
FCR,2015,2015-05-18 12:00:00,1.6,6.95
FCR,2015,2015-05-18 12:00:00,2.8,6.71
FCR,2015,2015-05-18 12:00:00,3.8,6.71
FCR,2015,2015-05-18 12:00:00,5,6.44
FCR,2015,2015-05-18 12:00:00,6.2,6.22
FCR,2015,2015-05-18 12:00:00,8,6.13
FCR,2015,2015-05-18 12:00:00,9,6.06
FCR,2015,2015-05-25 12:00:00,0.1,6.85
FCR,2015,2015-05-25 12:00:00,0.8,6.78
FCR,2015,2015-05-25 12:00:00,1.6,6.83
FCR,2015,2015-05-25 12:00:00,2.8,6.88
FCR,2015,2015-05-25 12:00:00,3.8,6.79
FCR,2015,2015-05-25 12:00:00,5,6.36
FCR,2015,2015-05-25 12:00:00,6.2,6.03
FCR,2015,2015-05-25 12:00:00,8,5.86
FCR,2015,2015-05-25 12:00:00,9,5.81
FCR,2015,2015-06-01 12:00:00,0.1,7.25
FCR,2015,2015-06-01 12:00:00,0.8,7.3
FCR,2015,2015-06-01 12:00:00,1.6,7.32
FCR,2015,2015-06-01 12:00:00,2.8,7.37
FCR,2015,2015-06-01 12:00:00,3.8,7.29
FCR,2015,2015-06-01 12:00:00,5,6.65
FCR,2015,2015-06-01 12:00:00,6.2,6.35
FCR,2015,2015-06-01 12:00:00,8,6.21
FCR,2015,2015-06-01 12:00:00,9,6.11
FCR,2015,2015-06-08 12:00:00,0.1,7.9
FCR,2015,2015-06-08 12:00:00,1.6,6.79
FCR,2015,2015-06-08 12:00:00,3.8,6.69
FCR,2015,2015-06-08 12:00:00,5,6.59
FCR,2015,2015-06-08 12:00:00,6.2,6.42
FCR,2015,2015-06-08 12:00:00,8,6.2
FCR,2015,2015-06-08 12:00:00,9,6.25
FCR,2015,2015-06-15 12:00:00,0.1,7
FCR,2015,2015-06-15 12:00:00,1.6,6.8
FCR,2015,2015-06-15 12:00:00,3.8,6.66
FCR,2015,2015-06-15 12:00:00,5,6.11
FCR,2015,2015-06-15 12:00:00,6.2,5.96
FCR,2015,2015-06-15 12:00:00,8,5.88
FCR,2015,2015-06-15 12:00:00,9,6.91
FCR,2015,2015-06-22 12:00:00,0.1,7.1
FCR,2015,2015-06-22 12:00:00,1.6,7.11
FCR,2015,2015-06-22 12:00:00,3.8,7.69
FCR,2015,2015-06-22 12:00:00,5,6.99
FCR,2015,2015-06-22 12:00:00,6.2,6.19
FCR,2015,2015-06-22 12:00:00,8,5.91
