Reservoir,Year,Date,Depth,PO4_ugL,NH4_ugL,NO3_ugL,TP_ugL,TN_ugL,OI DOC Conc (ppm),Used OI DIC Conc (ppm),OI DC Conc (ppm) by addition,Vario DIC Mean of 3 reps,Vario DC Mean of 3 reps,Vario DOC Mean of 3 reps,Vario DNb Mean of 3 reps,Notes
FCR,2016,2016-01-11 12:00:00,0.1,5.38,7.194349858,3.007992034,,,2.001,2.882,4.883,2.71697254,4.60279125,1.88581871,0.142021106,
FCR,2016,2016-01-11 12:00:00,1.6,4.84,4.642765739,2.737620285,14.9,142,1.914,2.937,4.851,2.744824773,4.600374508,1.855549734,0.109941948,
FCR,2016,2016-01-11 12:00:00,3.8,7.47,6.546709173,3.003075788,,,2.015,2.866,4.881,2.741220367,4.760915262,2.019694895,0.161377601,
FCR,2016,2016-01-11 12:00:00,5,5.38,5.48462337,2.767113227,16.6,155,1.884,2.861,4.745,2.91554258,4.785082687,1.869540107,0.116795437,
FCR,2016,2016-01-11 12:00:00,6.2,5.48,4.324164153,0.85068026,15.5,125,1.835,2.881,4.716,2.700588873,4.696353711,1.995764838,0.108173297,
FCR,2016,2016-01-11 12:00:00,8,6.68,0.990804884,1.450277207,,,1.866,2.761,4.627,2.674375007,4.498871321,1.824496315,0.117532307,
FCR,2016,2016-01-11 12:00:00,9,5.52,3.166361657,1.872729104,16.6,146,1.836,2.892,4.728,2.962399867,4.845846499,1.883446633,0.113479509,
FCR,2016,2016-01-11 12:00:00,999,5.58,5.432815734,13.7306184,,,1.697,2.692,4.389,2.44762506,4.00067711,1.55305205,0.104782653,
FCR,2016,2016-02-05 12:00:00,0.1,5.46,7.375692969,10.96194614,,,1.767,2.803,4.57,,,,,*did not go through Bobbie's overlap
FCR,2016,2016-02-05 12:00:00,1.6,5.02,5.691855242,8.197877536,,,1.537,2.787,4.324,,,,,*did not go through Bobbie's overlap
FCR,2016,2016-02-05 12:00:00,3.8,5.69,8.489693478,9.03648315,,,1.59,2.723,4.313,,,,,*did not go through Bobbie's overlap
