Reservoir,Site,Year,Date,Depth,PAR,YSI_TEMP_C,YSI_DO_mgL,YSI_PSAT,pH,YSI_COND_uScm,YSI_ORP_mV,Notes
FCR,100,2017,2017-02-06 09:30:00,0.1,,4.4,12.85,105.1,6.89,30,202.1,
FCR,100,2017,2017-02-27 09:50:00,0.1,,6.7,11.56,99.7,6.88,31.8,225.3,partly cloudy; sunny; chilly
FCR,100,2017,2017-03-13 11:50:00,0.1,,3.9,12.1,96.9,7.03,31.6,188.5,
FCR,100,2017,2017-03-13 15:11:00,0.1,,6.5,11.3,96.3,7.14,31.8,86.2,
FCR,100,2017,2017-03-27 11:00:00,0.1,,12.4,10,99.1,,,,
FCR,100,2017,2017-04-10 11:45:00,0.1,,14.1,9.58,98.17,,,,
FCR,100,2017,2017-04-17 10:04:00,0.1,,16.4,9.51,102.8,,,,
FCR,100,2017,2017-05-01 12:00:00,0.1,,18.9,8.46,96.6,,,,
FCR,100,2017,2017-05-08 09:39:00,0.1,,14.7,9.06,94.7,6.19,21.1,211.1,
FCR,100,2017,2017-05-15 11:07:00,0.1,,16.8,8.74,95.9,,,,
FCR,100,2017,2017-05-22 09:35:00,0.1,,18.7,8.39,90.6,,,,
FCR,100,2017,2017-05-29 10:00:00,0.1,,20.3,8.63,101.2,,,,
FCR,100,2017,2017-06-05 12:00:00,0.1,,19.7,8.32,97.1,,,,rainy
FCR,100,2017,2017-06-12 13:00:00,0.1,,21.1,8.46,100.2,,,,
FCR,100,2017,2017-06-19 12:00:00,0.1,,22.4,7.74,95.02,,,,
FCR,100,2017,2017-06-26 11:00:00,0.1,,17,9.27,101.2,,,,
FCR,100,2017,2017-07-05 12:00:00,0.1,,18.7,8.58,97,,,,raining 
FCR,100,2017,2017-07-10 11:00:00,0.1,,18.7,8.12,91.4,,,,
FCR,100,2017,2017-07-17 12:00:00,0.1,,19.91,8.67,100.5,,,,
FCR,100,2017,2017-07-24 12:00:00,0.1,,20.7,8.56,101.3,,,,
FCR,100,2017,2017-07-31 12:00:00,0.1,,18.8,8.41,95.6,,,,
FCR,100,2017,2017-08-07 12:00:00,0.1,,18.8,8.77,99.5,,,,
FCR,100,2017,2017-08-14 12:00:00,0.1,,19,8.5,97.2,,,,
FCR,100,2017,2017-08-21 12:00:00,0.1,,21.3,8.31,98.7,,,,
FCR,100,2017,2017-08-28 12:00:00,0.1,,17.5,9.2,101.7,,,,
FCR,100,2017,2017-09-04 12:00:00,0.1,,16.5,9.1,98.5,,,,
FCR,100,2017,2017-09-11 12:00:00,0.1,,13.9,10,101.6,,,,
FCR,100,2017,2017-09-18 12:00:00,0.1,,18.4,8.69,98,,,,
FCR,100,2017,2017-09-25 12:00:00,0.1,,19.2,8.2,93.6,,,,
FCR,100,2017,2017-10-02 12:00:00,0.1,,13.7,9.67,97.6,,,,
FCR,100,2017,2017-10-09 12:00:00,0.1,,20.7,7.92,93.6,,,,
FCR,100,2017,2017-10-16 12:00:00,0.1,,14.5,9.2,95.3,,,,
FCR,100,2017,2017-10-23 12:00:00,0.1,,15.2,9.04,96,,,,
FCR,100,2017,2017-10-30 12:00:00,0.1,,9,10.38,95.1,,,,
FCR,100,2017,2017-11-06 12:00:00,0.1,,14.3,9.15,94.8,,,,
FCR,100,2017,2017-12-11 12:00:00,0.1,,4.1,12.74,96,,,,
FCR,50,2017,2017-02-06 09:30:00,0.1,133,4.5,12.51,102,6.8,34.4,190.5,
FCR,50,2017,2017-02-06 09:30:00,0.8,74.3,4.2,12.58,101.7,6.72,34.3,192.9,
FCR,50,2017,2017-02-06 09:30:00,1.6,37.8,4.1,12.6,101.6,6.74,34.3,193.5,
FCR,50,2017,2017-02-06 09:30:00,2.8,12.7,4.1,12.57,101.2,6.73,34.4,195.2,
FCR,50,2017,2017-02-06 09:30:00,3.8,4.8,4.1,12.56,101,6.74,34.3,195.1,
FCR,50,2017,2017-02-06 09:30:00,5,1.5,4.1,12.52,100.6,6.78,34.3,195,
FCR,50,2017,2017-02-06 09:30:00,6.2,0.6,4.1,12.51,101,6.76,34.3,196,
FCR,50,2017,2017-02-06 09:30:00,8,0.1,4.1,12.5,100.2,6.79,34.3,196,
FCR,50,2017,2017-02-06 09:30:00,9,0.05,4.1,12.53,100.7,6.78,34.3,197.7,
