
Advanced Calibration Data,,Cal Date,m2,m1,m0,b3,b2,b1,b0
,Block 0,unknown, 0,-6.29999994998798E-05, 1.00067901611328, 0, 8.999999408843E-06, 4.54999972134829E-04, .153439998626709
,Block 1,unknown, 0, 0, 0, 0, 0, 0, 100


Field Calibration Data,,m,b, Cal Date
,Pressure, 1, 0,unknown
,Temperature, 1, 0,unknown
SensorSN,21309003
Sensor Type,PT2X
Sensor Name,INW Smart Sensor
Session Name,FCR_inf2_15min
# Records, 11329
Sensor File,6/3/2014 12:17:23 PM ,FCR_inf2_15min_060314.a4d

Barometric File,6/3/2014 12:45:40 PM ,FCRBV2014_060314.a4d
Barometric Factory Calibration Data,,m3,m2,m1,m0,b3,b2,b1,b0
,Block 0, 38353, 4.00000044464832E-06,-2.43999995291233E-04, 1.00351190567017, 0,-7.1999995270744E-05, 4.13400027900934E-03, 3.70159968733788E-02
,Block 1, 38353, 0, 0, 0, 0, 0, 0, 100

Barometric Field Calibration Data,,m,b
,Pressure, 1, 0
,Temperature, 1, 0

SensorSN,21204020
Sensor Type,PT2X
Sensor Name,Barometric Pressure (2)
Session Name,FCRBV2014
# Records, n/a

Statistical Data,,Pressure(in H2O),Temperature(degC),
,Sensor Range,30 psia,,
,Minimum,-20.68,0.19,
,Maximum,95.83,19.13,
,Mean,6.27,9.55,
,Variance,89.742,28.502,
,Std Deviation,9.473,5.339,
Rec #,Date/Time,Pressure(in H2O),Temperature(degC),SensorPressure(in H2O),Barometric Date/Time
1,5-Feb-14 11:00:00,7.39,4.00,388.44,5-Feb-14 11:00:00
2,5-Feb-14 11:15:00,7.37,4.19,388.32,5-Feb-14 11:15:00
3,5-Feb-14 11:30:00,7.46,4.25,388.27,5-Feb-14 11:30:00
4,5-Feb-14 11:45:00,7.46,4.50,388.27,5-Feb-14 11:45:00
5,5-Feb-14 12:00:00,7.41,4.81,388.10,5-Feb-14 12:00:00
6,5-Feb-14 12:15:00,7.45,4.94,388.04,5-Feb-14 12:15:00
7,5-Feb-14 12:30:00,7.39,4.94,387.95,5-Feb-14 12:30:00
8,5-Feb-14 12:45:00,7.40,5.00,387.84,5-Feb-14 12:45:00
9,5-Feb-14 13:00:00,7.33,5.25,387.76,5-Feb-14 13:00:00
10,5-Feb-14 13:15:00,7.37,5.56,387.73,5-Feb-14 13:15:00
11,5-Feb-14 13:30:00,7.36,5.81,387.64,5-Feb-14 13:30:00
12,5-Feb-14 13:45:00,7.32,6.00,387.61,5-Feb-14 13:45:00
13,5-Feb-14 14:00:00,7.33,6.19,387.55,5-Feb-14 14:00:00
14,5-Feb-14 14:15:00,7.34,6.31,387.64,5-Feb-14 14:15:00
15,5-Feb-14 14:30:00,7.34,6.50,387.63,5-Feb-14 14:30:00
16,5-Feb-14 14:45:00,7.32,6.50,387.77,5-Feb-14 14:45:00
17,5-Feb-14 15:00:00,7.32,6.56,387.80,5-Feb-14 15:00:00
18,5-Feb-14 15:15:00,7.31,6.50,388.05,5-Feb-14 15:15:00
19,5-Feb-14 15:30:00,7.43,6.44,388.22,5-Feb-14 15:30:00
20,5-Feb-14 15:45:00,7.38,6.44,388.42,5-Feb-14 15:45:00
21,5-Feb-14 16:00:00,7.25,6.38,388.53,5-Feb-14 16:00:00
22,5-Feb-14 16:15:00,7.18,6.25,388.64,5-Feb-14 16:15:00
23,5-Feb-14 16:30:00,7.44,6.13,388.87,5-Feb-14 16:30:00
24,5-Feb-14 16:45:00,7.39,6.00,389.09,5-Feb-14 16:45:00
25,5-Feb-14 17:00:00,7.27,5.88,389.26,5-Feb-14 17:00:00
26,5-Feb-14 17:15:00,7.23,5.81,389.40,5-Feb-14 17:15:00
27,5-Feb-14 17:30:00,7.24,5.63,389.54,5-Feb-14 17:30:00
28,5-Feb-14 17:45:00,7.31,5.50,389.77,5-Feb-14 17:45:00
29,5-Feb-14 18:00:00,7.36,5.38,389.96,5-Feb-14 18:00:00
30,5-Feb-14 18:15:00,7.56,5.25,390.19,5-Feb-14 18:15:00
31,5-Feb-14 18:30:00,7.49,5.13,390.41,5-Feb-14 18:30:00
32,5-Feb-14 18:45:00,7.34,5.00,390.39,5-Feb-14 18:45:00
33,5-Feb-14 19:00:00,7.31,4.88,390.47,5-Feb-14 19:00:00
34,5-Feb-14 19:15:00,7.27,4.81,390.44,5-Feb-14 19:15:00
35,5-Feb-14 19:30:00,7.32,4.69,390.56,5-Feb-14 19:30:00
36,5-Feb-14 19:45:00,7.30,4.63,390.67,5-Feb-14 19:45:00
37,5-Feb-14 20:00:00,7.37,4.50,390.89,5-Feb-14 20:00:00
38,5-Feb-14 20:15:00,7.32,4.44,391.06,5-Feb-14 20:15:00
39,5-Feb-14 20:30:00,7.60,4.31,391.20,5-Feb-14 20:30:00
40,5-Feb-14 20:45:00,7.65,4.25,391.17,5-Feb-14 20:45:00
41,5-Feb-14 21:00:00,7.39,4.13,391.18,5-Feb-14 21:00:00
42,5-Feb-14 21:15:00,7.51,4.06,391.26,5-Feb-14 21:15:00
43,5-Feb-14 21:30:00,7.42,4.00,391.46,5-Feb-14 21:30:00
44,5-Feb-14 21:45:00,7.47,3.88,391.54,5-Feb-14 21:45:00
45,5-Feb-14 22:00:00,7.45,3.81,391.65,5-Feb-14 22:00:00
46,5-Feb-14 22:15:00,7.29,3.75,391.52,5-Feb-14 22:15:00
47,5-Feb-14 22:30:00,7.42,3.69,391.85,5-Feb-14 22:30:00
48,5-Feb-14 22:45:00,7.52,3.69,391.93,5-Feb-14 22:45:00
49,5-Feb-14 23:00:00,7.49,3.63,391.96,5-Feb-14 23:00:00
50,5-Feb-14 23:15:00,7.48,3.50,391.91,5-Feb-14 23:15:00
51,5-Feb-14 23:30:00,7.64,3.44,392.08,5-Feb-14 23:30:00
52,5-Feb-14 23:45:00,7.42,3.31,392.22,5-Feb-14 23:45:00
53,6-Feb-14 00:00:00,7.40,3.19,392.36,6-Feb-14 00:00:00
54,6-Feb-14 00:15:00,7.47,3.13,392.42,6-Feb-14 00:15:00
55,6-Feb-14 00:30:00,7.39,3.13,392.53,6-Feb-14 00:30:00
56,6-Feb-14 00:45:00,7.37,3.06,392.64,6-Feb-14 00:45:00
57,6-Feb-14 01:00:00,7.37,2.94,392.78,6-Feb-14 01:00:00
58,6-Feb-14 01:15:00,7.37,2.94,392.81,6-Feb-14 01:15:00
59,6-Feb-14 01:30:00,7.42,2.88,392.87,6-Feb-14 01:30:00
60,6-Feb-14 01:45:00,7.44,2.81,393.01,6-Feb-14 01:45:00
61,6-Feb-14 02:00:00,7.55,2.81,393.03,6-Feb-14 02:00:00
62,6-Feb-14 02:15:00,7.48,2.75,392.95,6-Feb-14 02:15:00
63,6-Feb-14 02:30:00,7.46,2.69,393.06,6-Feb-14 02:30:00
