
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,25-Mar-13 09:51:57,0.000000,-0.000063,1.000679,0.000009,0.000455,0.153440,0.000000,1.000000

Field Calibration Data
,Temperature,Cal Date,m,b
,Pressure,Cal Date,m,b
,Temperature(degC),unknown,1.000000,0.00
,Pressure(in H2O),unknown,1.000000,0.00

Sensor/Session information
SensorSN, 21309003 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 9"
Sensor Name,INW Smart Sensor,,Uploaded,"Aqua4Plus 1.9.501"
Session Name,FCR_Inf2_BV2013,,Exported,"Aqua4Plus 1.9.501"
# Records,  2491 
Statistical Data,,Temperature(degC),Pressure(in H2O),
,Sensor Range,-40 - +125 degC,30 psia,
,Minimum,10.56,384.02,
,Maximum,20.56,395.88,
,Mean,15.36,391.87,
,Variance,2.427,2.092,
,Std Deviation,1.558,1.446,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(in H2O)
1,15-May-13 16:00:00,20.56,384.02
2,15-May-13 16:15:00,16.31,389.31
3,15-May-13 16:30:00,16.19,389.31
4,15-May-13 16:45:00,16.25,389.34
5,15-May-13 17:00:00,16.19,389.25
6,15-May-13 17:15:00,16.13,389.20
7,15-May-13 17:30:00,16.06,389.22
8,15-May-13 17:45:00,16.06,389.20
9,15-May-13 18:00:00,16.00,389.14
10,15-May-13 18:15:00,16.00,389.14
11,15-May-13 18:30:00,15.94,389.17
12,15-May-13 18:45:00,15.88,389.14
13,15-May-13 19:00:00,15.81,389.17
14,15-May-13 19:15:00,15.81,389.17
15,15-May-13 19:30:00,15.75,389.25
16,15-May-13 19:45:00,15.69,389.28
17,15-May-13 20:00:00,15.63,389.28
18,15-May-13 20:15:00,15.56,389.28
19,15-May-13 20:30:00,15.50,389.34
20,15-May-13 20:45:00,15.50,389.42
21,15-May-13 21:00:00,15.44,389.48
22,15-May-13 21:15:00,15.38,389.56
23,15-May-13 21:30:00,15.38,389.65
24,15-May-13 21:45:00,15.38,389.76
25,15-May-13 22:00:00,15.31,389.87
26,15-May-13 22:15:00,15.31,389.84
27,15-May-13 22:30:00,15.25,389.90
28,15-May-13 22:45:00,15.25,389.95
29,15-May-13 23:00:00,15.19,389.93
30,15-May-13 23:15:00,15.19,389.95
31,15-May-13 23:30:00,15.13,389.93
32,15-May-13 23:45:00,15.13,389.93
33,16-May-13 00:00:00,15.06,389.98
34,16-May-13 00:15:00,15.06,389.98
35,16-May-13 00:30:00,15.06,389.98
36,16-May-13 00:45:00,15.00,389.98
37,16-May-13 01:00:00,15.00,389.95
38,16-May-13 01:15:00,14.94,389.90
39,16-May-13 01:30:00,14.94,389.87
40,16-May-13 01:45:00,14.88,389.82
41,16-May-13 02:00:00,14.88,389.73
42,16-May-13 02:15:00,14.88,389.82
43,16-May-13 02:30:00,14.81,389.76
44,16-May-13 02:45:00,14.81,389.73
45,16-May-13 03:00:00,14.75,389.70
46,16-May-13 03:15:00,14.75,389.65
47,16-May-13 03:30:00,14.69,389.59
48,16-May-13 03:45:00,14.69,389.57
49,16-May-13 04:00:00,14.69,389.68
50,16-May-13 04:15:00,14.63,389.62
51,16-May-13 04:30:00,14.63,389.62
52,16-May-13 04:45:00,14.56,389.59
53,16-May-13 05:00:00,14.56,389.65
54,16-May-13 05:15:00,14.56,389.71
55,16-May-13 05:30:00,14.50,389.68
56,16-May-13 05:45:00,14.50,389.73
57,16-May-13 06:00:00,14.44,389.73
58,16-May-13 06:15:00,14.38,389.79
59,16-May-13 06:30:00,14.38,389.79
60,16-May-13 06:45:00,14.38,389.85
61,16-May-13 07:00:00,14.31,389.87
62,16-May-13 07:15:00,14.31,389.93
63,16-May-13 07:30:00,14.31,389.99
64,16-May-13 07:45:00,14.31,390.10
65,16-May-13 08:00:00,14.31,390.13
66,16-May-13 08:15:00,14.25,390.18
67,16-May-13 08:30:00,14.31,390.21
68,16-May-13 08:45:00,14.38,390.13
69,16-May-13 09:00:00,14.38,390.10
70,16-May-13 09:15:00,14.44,390.10
71,16-May-13 09:30:00,14.50,390.18
72,16-May-13 09:45:00,14.56,390.12
73,16-May-13 10:00:00,14.63,390.12
74,16-May-13 10:15:00,14.75,390.12
75,16-May-13 10:30:00,14.81,390.12
76,16-May-13 10:45:00,14.94,390.21
77,16-May-13 11:00:00,14.94,390.29
78,16-May-13 11:15:00,15.06,390.35
79,16-May-13 11:30:00,15.19,390.35
80,16-May-13 11:45:00,15.31,390.32
81,16-May-13 12:00:00,15.38,390.29
82,16-May-13 12:15:00,15.56,390.20
83,16-May-13 12:30:00,15.69,390.20
84,16-May-13 12:45:00,15.75,390.20
85,16-May-13 13:00:00,15.88,390.23
86,16-May-13 13:15:00,15.94,390.26
87,16-May-13 13:30:00,16.13,390.20
88,16-May-13 13:45:00,16.19,390.17
89,16-May-13 14:00:00,16.25,390.12
90,16-May-13 14:15:00,16.25,390.12
91,16-May-13 14:30:00,16.19,390.09
92,16-May-13 14:45:00,16.19,390.09
93,16-May-13 15:00:00,16.19,390.03
94,16-May-13 15:15:00,16.19,389.89
95,16-May-13 15:30:00,16.31,389.78
96,16-May-13 15:45:00,16.44,389.75
97,16-May-13 16:00:00,16.44,389.73
98,16-May-13 16:15:00,16.44,389.75
99,16-May-13 16:30:00,16.44,389.78
100,16-May-13 16:45:00,16.50,389.73
101,16-May-13 17:00:00,16.44,389.75
102,16-May-13 17:15:00,16.38,389.78
103,16-May-13 17:30:00,16.44,389.87
104,16-May-13 17:45:00,16.38,389.84
105,16-May-13 18:00:00,16.31,389.78
106,16-May-13 18:15:00,16.31,389.78
107,16-May-13 18:30:00,16.25,389.75
108,16-May-13 18:45:00,16.25,389.78
109,16-May-13 19:00:00,16.25,389.89
110,16-May-13 19:15:00,16.19,390.01
111,16-May-13 19:30:00,16.13,390.12
112,16-May-13 19:45:00,16.13,390.20
113,16-May-13 20:00:00,16.06,390.17
114,16-May-13 20:15:00,16.00,390.57
115,16-May-13 20:30:00,16.00,390.48
116,16-May-13 20:45:00,15.94,390.57
117,16-May-13 21:00:00,15.81,390.62
118,16-May-13 21:15:00,15.75,390.68
119,16-May-13 21:30:00,15.69,390.71
120,16-May-13 21:45:00,15.63,390.76
121,16-May-13 22:00:00,15.63,390.87
122,16-May-13 22:15:00,15.56,390.85
123,16-May-13 22:30:00,15.50,390.76
124,16-May-13 22:45:00,15.50,390.73
125,16-May-13 23:00:00,15.44,390.79
126,16-May-13 23:15:00,15.38,390.76
127,16-May-13 23:30:00,15.31,390.79
128,16-May-13 23:45:00,15.31,390.82
129,17-May-13 00:00:00,15.25,390.79
130,17-May-13 00:15:00,15.25,390.88
131,17-May-13 00:30:00,15.19,390.85
132,17-May-13 00:45:00,15.19,390.93
133,17-May-13 01:00:00,15.13,390.93
134,17-May-13 01:15:00,15.13,390.96
135,17-May-13 01:30:00,15.06,390.93
136,17-May-13 01:45:00,15.00,390.90
137,17-May-13 02:00:00,15.00,390.90
138,17-May-13 02:15:00,14.94,390.85
139,17-May-13 02:30:00,14.94,390.88
140,17-May-13 02:45:00,14.88,390.93
141,17-May-13 03:00:00,14.81,390.93
142,17-May-13 03:15:00,14.81,390.99
143,17-May-13 03:30:00,14.75,391.05
