
Advanced Calibration Data,,Cal Date,m2,m1,m0,b3,b2,b1,b0
,Block 0,unknown, 0,-6.29999994998798E-05, 1.00067901611328, 0, 8.999999408843E-06, 4.54999972134829E-04, .153439998626709
,Block 1,unknown, 0, 0, 0, 0, 0, 0, 100


Field Calibration Data,,m,b, Cal Date
,Pressure, 1, 0,unknown
,Temperature, 1, 0,unknown
SensorSN,21309003
Sensor Type,PT2X
Sensor Name,INW Smart Sensor
Session Name,FCR_inf_110617
# Records, 3360
Sensor File,12/11/2017 2:52:03 PM ,FCR_inf_121117.a4d

Barometric File,12/11/2017 2:29:42 PM ,FCR_BV_121117.a4d
Barometric Factory Calibration Data,,m3,m2,m1,m0,b3,b2,b1,b0
,Block 0, 38353, 4.00000044464832E-06,-2.43999995291233E-04, 1.00351190567017, 0,-7.1999995270744E-05, 4.13400027900934E-03, 3.70159968733788E-02
,Block 1, 38353, 0, 0, 0, 0, 0, 0, 100

Barometric Field Calibration Data,,m,b
,Pressure, 1, 0
,Temperature, 1, 0

SensorSN,21204020
Sensor Type,PT2X
Sensor Name,Barometric Pressure (2)
Session Name,FCR_BV_110617
# Records, n/a

Statistical Data,,Pressure(in H2O),Temperature(degC),
,Sensor Range,30 psia,,
,Minimum,1.92,-3.75,
,Maximum,9.78,19.38,
,Mean,8.10,5.95,
,Variance,6.937,6.059,
,Std Deviation,2.634,2.461,
Rec #,Date/Time,Pressure(in H2O),Temperature(degC),SensorPressure(in H2O),Barometric Date/Time
1,6-Nov-17 15:00:00,3.02,18.75,386.87,6-Nov-17 15:00:00
2,6-Nov-17 15:15:00,3.04,18.81,386.93,6-Nov-17 15:15:00
3,6-Nov-17 15:30:00,3.03,19.25,386.90,6-Nov-17 15:30:00
4,6-Nov-17 15:45:00,3.01,19.38,386.95,6-Nov-17 15:45:00
5,6-Nov-17 16:00:00,3.00,19.25,387.01,6-Nov-17 16:00:00
6,6-Nov-17 16:15:00,3.01,18.56,387.01,6-Nov-17 16:15:00
7,6-Nov-17 16:30:00,3.00,18.19,387.15,6-Nov-17 16:30:00
8,6-Nov-17 16:45:00,3.04,18.44,387.37,6-Nov-17 16:45:00
9,6-Nov-17 17:00:00,3.00,17.81,387.46,6-Nov-17 17:00:00
10,6-Nov-17 17:15:00,3.02,17.56,387.52,6-Nov-17 17:15:00
11,6-Nov-17 17:30:00,3.01,16.69,387.44,6-Nov-17 17:30:00
12,6-Nov-17 17:45:00,2.98,15.94,387.55,6-Nov-17 17:45:00
13,6-Nov-17 18:00:00,2.96,15.44,387.64,6-Nov-17 18:00:00
14,6-Nov-17 18:15:00,2.92,15.19,387.75,6-Nov-17 18:15:00
15,6-Nov-17 18:30:00,2.94,15.00,387.80,6-Nov-17 18:30:00
16,6-Nov-17 18:45:00,2.93,14.69,387.92,6-Nov-17 18:45:00
17,6-Nov-17 19:00:00,2.92,14.50,388.09,6-Nov-17 19:00:00
18,6-Nov-17 19:15:00,2.95,14.50,388.25,6-Nov-17 19:15:00
19,6-Nov-17 19:30:00,2.89,14.50,388.23,6-Nov-17 19:30:00
20,6-Nov-17 19:45:00,2.95,14.56,388.20,6-Nov-17 19:45:00
21,6-Nov-17 20:00:00,2.99,14.56,388.28,6-Nov-17 20:00:00
22,6-Nov-17 20:15:00,2.96,14.50,388.34,6-Nov-17 20:15:00
23,6-Nov-17 20:30:00,2.99,14.50,388.31,6-Nov-17 20:30:00
24,6-Nov-17 20:45:00,2.95,14.25,388.39,6-Nov-17 20:45:00
25,6-Nov-17 21:00:00,2.97,13.94,388.40,6-Nov-17 21:00:00
26,6-Nov-17 21:15:00,2.93,13.75,388.28,6-Nov-17 21:15:00
27,6-Nov-17 21:30:00,2.94,13.50,388.31,6-Nov-17 21:30:00
28,6-Nov-17 21:45:00,2.92,13.38,388.34,6-Nov-17 21:45:00
29,6-Nov-17 22:00:00,2.92,13.13,388.54,6-Nov-17 22:00:00
30,6-Nov-17 22:15:00,2.92,13.25,388.59,6-Nov-17 22:15:00
31,6-Nov-17 22:30:00,2.93,12.88,388.62,6-Nov-17 22:30:00
32,6-Nov-17 22:45:00,2.95,12.63,388.65,6-Nov-17 22:45:00
33,6-Nov-17 23:00:00,2.94,12.38,388.52,6-Nov-17 23:00:00
34,6-Nov-17 23:15:00,2.90,12.19,388.43,6-Nov-17 23:15:00
35,6-Nov-17 23:30:00,2.93,12.00,388.46,6-Nov-17 23:30:00
36,6-Nov-17 23:45:00,2.92,11.94,388.49,6-Nov-17 23:45:00
37,7-Nov-17 00:00:00,2.93,12.06,388.46,7-Nov-17 00:00:00
38,7-Nov-17 00:15:00,2.92,12.06,388.46,7-Nov-17 00:15:00
39,7-Nov-17 00:30:00,2.92,12.06,388.41,7-Nov-17 00:30:00
40,7-Nov-17 00:45:00,2.89,12.25,388.43,7-Nov-17 00:45:00
41,7-Nov-17 01:00:00,2.90,12.25,388.40,7-Nov-17 01:00:00
42,7-Nov-17 01:15:00,2.90,12.25,388.35,7-Nov-17 01:15:00
43,7-Nov-17 01:30:00,2.92,12.25,388.29,7-Nov-17 01:30:00
44,7-Nov-17 01:45:00,2.89,12.31,388.12,7-Nov-17 01:45:00
45,7-Nov-17 02:00:00,2.93,12.31,388.38,7-Nov-17 02:00:00
46,7-Nov-17 02:15:00,2.89,12.38,388.40,7-Nov-17 02:15:00
47,7-Nov-17 02:30:00,2.92,12.38,388.49,7-Nov-17 02:30:00
48,7-Nov-17 02:45:00,2.92,12.38,388.40,7-Nov-17 02:45:00
49,7-Nov-17 03:00:00,2.89,12.44,388.38,7-Nov-17 03:00:00
50,7-Nov-17 03:15:00,2.87,12.44,388.32,7-Nov-17 03:15:00
51,7-Nov-17 03:30:00,2.88,12.94,388.32,7-Nov-17 03:30:00
52,7-Nov-17 03:45:00,2.93,13.25,388.32,7-Nov-17 03:45:00
53,7-Nov-17 04:00:00,2.89,13.25,388.32,7-Nov-17 04:00:00
54,7-Nov-17 04:15:00,2.93,13.25,388.45,7-Nov-17 04:15:00
55,7-Nov-17 04:30:00,2.89,13.19,388.34,7-Nov-17 04:30:00
56,7-Nov-17 04:45:00,2.92,13.19,388.32,7-Nov-17 04:45:00
57,7-Nov-17 05:00:00,2.88,13.13,388.34,7-Nov-17 05:00:00
58,7-Nov-17 05:15:00,2.89,13.00,388.37,7-Nov-17 05:15:00
59,7-Nov-17 05:30:00,2.86,12.94,388.32,7-Nov-17 05:30:00
60,7-Nov-17 05:45:00,2.91,12.88,388.32,7-Nov-17 05:45:00
61,7-Nov-17 06:00:00,2.90,12.69,388.15,7-Nov-17 06:00:00
62,7-Nov-17 06:15:00,2.90,12.50,388.32,7-Nov-17 06:15:00
63,7-Nov-17 06:30:00,2.94,12.44,388.29,7-Nov-17 06:30:00
64,7-Nov-17 06:45:00,2.89,12.25,388.29,7-Nov-17 06:45:00
65,7-Nov-17 07:00:00,2.91,11.81,388.29,7-Nov-17 07:00:00
66,7-Nov-17 07:15:00,2.91,11.69,388.32,7-Nov-17 07:15:00
67,7-Nov-17 07:30:00,2.86,11.56,388.21,7-Nov-17 07:30:00
68,7-Nov-17 07:45:00,2.87,11.50,388.27,7-Nov-17 07:45:00
69,7-Nov-17 08:00:00,2.89,11.50,388.24,7-Nov-17 08:00:00
70,7-Nov-17 08:15:00,2.91,11.50,388.27,7-Nov-17 08:15:00
71,7-Nov-17 08:30:00,2.93,11.38,388.33,7-Nov-17 08:30:00
72,7-Nov-17 08:45:00,2.88,11.44,388.33,7-Nov-17 08:45:00
73,7-Nov-17 09:00:00,2.86,11.31,388.19,7-Nov-17 09:00:00
74,7-Nov-17 09:15:00,2.91,11.25,388.16,7-Nov-17 09:15:00
75,7-Nov-17 09:30:00,2.94,11.00,388.27,7-Nov-17 09:30:00
76,7-Nov-17 09:45:00,2.94,10.81,388.24,7-Nov-17 09:45:00
77,7-Nov-17 10:00:00,2.89,10.63,388.27,7-Nov-17 10:00:00
78,7-Nov-17 10:15:00,2.91,10.50,388.36,7-Nov-17 10:15:00
79,7-Nov-17 10:30:00,2.91,10.13,388.28,7-Nov-17 10:30:00
80,7-Nov-17 10:45:00,2.90,9.94,388.14,7-Nov-17 10:45:00
81,7-Nov-17 11:00:00,2.89,9.44,388.06,7-Nov-17 11:00:00
82,7-Nov-17 11:15:00,2.88,9.13,388.00,7-Nov-17 11:15:00
83,7-Nov-17 11:30:00,2.92,8.88,388.01,7-Nov-17 11:30:00
84,7-Nov-17 11:45:00,2.88,8.75,388.04,7-Nov-17 11:45:00
85,7-Nov-17 12:00:00,2.89,8.81,387.84,7-Nov-17 12:00:00
86,7-Nov-17 12:15:00,2.89,8.88,387.67,7-Nov-17 12:15:00
87,7-Nov-17 12:30:00,2.91,8.56,387.59,7-Nov-17 12:30:00
88,7-Nov-17 12:45:00,2.88,8.63,387.53,7-Nov-17 12:45:00
89,7-Nov-17 13:00:00,2.88,8.75,387.53,7-Nov-17 13:00:00
90,7-Nov-17 13:15:00,2.91,8.88,387.42,7-Nov-17 13:15:00
91,7-Nov-17 13:30:00,2.93,8.69,387.31,7-Nov-17 13:30:00
92,7-Nov-17 13:45:00,2.88,8.38,387.28,7-Nov-17 13:45:00
93,7-Nov-17 14:00:00,2.89,8.50,387.20,7-Nov-17 14:00:00
94,7-Nov-17 14:15:00,2.88,8.50,387.09,7-Nov-17 14:15:00
95,7-Nov-17 14:30:00,2.85,8.31,387.06,7-Nov-17 14:30:00
96,7-Nov-17 14:45:00,2.88,8.50,387.00,7-Nov-17 14:45:00
97,7-Nov-17 15:00:00,2.88,8.44,387.09,7-Nov-17 15:00:00
98,7-Nov-17 15:15:00,2.91,8.44,387.12,7-Nov-17 15:15:00
99,7-Nov-17 15:30:00,2.87,8.44,387.12,7-Nov-17 15:30:00
100,7-Nov-17 15:45:00,2.88,8.25,387.09,7-Nov-17 15:45:00
101,7-Nov-17 16:00:00,2.90,8.00,387.20,7-Nov-17 16:00:00
102,7-Nov-17 16:15:00,2.88,7.81,387.09,7-Nov-17 16:15:00
103,7-Nov-17 16:30:00,2.89,7.63,387.15,7-Nov-17 16:30:00
104,7-Nov-17 16:45:00,2.91,7.69,387.12,7-Nov-17 16:45:00
105,7-Nov-17 17:00:00,2.92,7.50,387.23,7-Nov-17 17:00:00
106,7-Nov-17 17:15:00,2.90,7.38,387.15,7-Nov-17 17:15:00
107,7-Nov-17 17:30:00,2.89,7.38,387.32,7-Nov-17 17:30:00
108,7-Nov-17 17:45:00,2.87,7.38,387.35,7-Nov-17 17:45:00
109,7-Nov-17 18:00:00,2.89,7.44,387.51,7-Nov-17 18:00:00
110,7-Nov-17 18:15:00,2.89,7.38,387.65,7-Nov-17 18:15:00
111,7-Nov-17 18:30:00,2.90,7.31,387.71,7-Nov-17 18:30:00
112,7-Nov-17 18:45:00,2.89,7.44,387.74,7-Nov-17 18:45:00
113,7-Nov-17 19:00:00,2.89,7.31,387.82,7-Nov-17 19:00:00
114,7-Nov-17 19:15:00,2.89,7.19,387.82,7-Nov-17 19:15:00
115,7-Nov-17 19:30:00,2.88,6.94,387.80,7-Nov-17 19:30:00
116,7-Nov-17 19:45:00,2.90,6.63,387.80,7-Nov-17 19:45:00
117,7-Nov-17 20:00:00,2.85,6.31,387.75,7-Nov-17 20:00:00
118,7-Nov-17 20:15:00,2.89,6.31,387.94,7-Nov-17 20:15:00
119,7-Nov-17 20:30:00,2.91,6.50,388.00,7-Nov-17 20:30:00
120,7-Nov-17 20:45:00,2.88,6.25,388.08,7-Nov-17 20:45:00
121,7-Nov-17 21:00:00,2.93,6.25,388.08,7-Nov-17 21:00:00
122,7-Nov-17 21:15:00,2.90,5.88,388.17,7-Nov-17 21:15:00
123,7-Nov-17 21:30:00,2.89,5.81,388.25,7-Nov-17 21:30:00
124,7-Nov-17 21:45:00,2.87,5.63,388.20,7-Nov-17 21:45:00
125,7-Nov-17 22:00:00,2.88,5.69,388.17,7-Nov-17 22:00:00
126,7-Nov-17 22:15:00,2.87,5.75,388.20,7-Nov-17 22:15:00
127,7-Nov-17 22:30:00,2.88,5.69,388.23,7-Nov-17 22:30:00
128,7-Nov-17 22:45:00,2.85,5.69,388.14,7-Nov-17 22:45:00
129,7-Nov-17 23:00:00,2.91,5.75,388.23,7-Nov-17 23:00:00
130,7-Nov-17 23:15:00,2.85,5.75,388.25,7-Nov-17 23:15:00
131,7-Nov-17 23:30:00,2.90,5.69,388.28,7-Nov-17 23:30:00
132,7-Nov-17 23:45:00,2.86,5.56,388.20,7-Nov-17 23:45:00
133,8-Nov-17 00:00:00,2.90,5.50,388.23,8-Nov-17 00:00:00
134,8-Nov-17 00:15:00,2.85,5.38,388.26,8-Nov-17 00:15:00
135,8-Nov-17 00:30:00,2.89,5.31,388.29,8-Nov-17 00:30:00
136,8-Nov-17 00:45:00,2.89,5.31,388.31,8-Nov-17 00:45:00
137,8-Nov-17 01:00:00,2.86,5.25,388.23,8-Nov-17 01:00:00
138,8-Nov-17 01:15:00,2.91,5.25,388.34,8-Nov-17 01:15:00
139,8-Nov-17 01:30:00,2.94,5.25,388.32,8-Nov-17 01:30:00
140,8-Nov-17 01:45:00,2.92,5.13,388.34,8-Nov-17 01:45:00
141,8-Nov-17 02:00:00,2.91,5.06,388.40,8-Nov-17 02:00:00
142,8-Nov-17 02:15:00,2.94,5.00,388.37,8-Nov-17 02:15:00
143,8-Nov-17 02:30:00,2.91,4.94,388.46,8-Nov-17 02:30:00
144,8-Nov-17 02:45:00,2.90,4.94,388.49,8-Nov-17 02:45:00
145,8-Nov-17 03:00:00,2.92,5.00,388.40,8-Nov-17 03:00:00
146,8-Nov-17 03:15:00,2.89,5.00,388.43,8-Nov-17 03:15:00
147,8-Nov-17 03:30:00,2.91,4.94,388.54,8-Nov-17 03:30:00
148,8-Nov-17 03:45:00,2.89,5.00,388.49,8-Nov-17 03:45:00
149,8-Nov-17 04:00:00,2.93,5.00,388.60,8-Nov-17 04:00:00
150,8-Nov-17 04:15:00,2.86,5.00,388.57,8-Nov-17 04:15:00
151,8-Nov-17 04:30:00,2.89,5.06,388.71,8-Nov-17 04:30:00
152,8-Nov-17 04:45:00,2.89,5.06,388.88,8-Nov-17 04:45:00
153,8-Nov-17 05:00:00,2.90,5.00,388.85,8-Nov-17 05:00:00
154,8-Nov-17 05:15:00,2.89,5.00,388.71,8-Nov-17 05:15:00
155,8-Nov-17 05:30:00,2.92,4.94,388.93,8-Nov-17 05:30:00
156,8-Nov-17 05:45:00,2.89,4.88,388.82,8-Nov-17 05:45:00
157,8-Nov-17 06:00:00,2.89,4.88,388.85,8-Nov-17 06:00:00
158,8-Nov-17 06:15:00,2.88,4.88,388.99,8-Nov-17 06:15:00
