Reservoir,Year,Date,Site,Secchi,notes
BVR,2013,2013-10-16 12:00:00,50,4.4,
BVR,2014,2014-04-30 12:00:00,50,2.75,
BVR,2014,2014-04-30 12:00:00,50,3,
BVR,2014,2014-05-14 12:00:00,50,3.5,
BVR,2014,2014-06-04 12:00:00,50,4.4,
BVR,2014,2014-06-18 12:00:00,50,4.2,
BVR,2014,2014-06-25 12:00:00,50,4.7,
BVR,2014,2014-07-02 12:00:00,50,3,
BVR,2014,2014-07-09 12:00:00,50,2.5,
BVR,2014,2014-07-16 12:00:00,50,,
BVR,2014,2014-07-23 12:00:00,50,2.2,
BVR,2014,2014-07-23 12:00:00,50,2.5,
BVR,2014,2014-07-30 12:00:00,50,2.5,
BVR,2014,2014-08-13 12:00:00,50,2.6,
BVR,2014,2014-09-04 12:00:00,50,3.8,
BVR,2014,2014-09-25 12:00:00,50,3.3,
BVR,2015,2015-07-02 12:00:00,50,2.6,
BVR,2015,2015-10-23 12:00:00,50,3,
BVR,2015,2015-10-23 12:00:00,50,3,
BVR,2016,2016-03-23 12:00:00,50,1.74,
BVR,2016,2016-04-06 12:00:00,50,2.21,
BVR,2016,2016-11-11 12:00:00,50,1.35,
CCR,2014,2014-07-10 12:00:00,50,4,
FCR,2013,2013-10-16 12:00:00,10,1.77,
FCR,2013,2013-10-16 12:00:00,20,1.77,
FCR,2013,2013-10-16 12:00:00,30,1.9,
FCR,2013,2013-10-16 12:00:00,40,1.8,
FCR,2013,2013-10-16 12:00:00,50,2,
FCR,2013,2013-10-29 12:00:00,50,1.75,
FCR,2014,2014-04-30 12:00:00,50,3,
FCR,2014,2014-06-02 12:00:00,50,2.75,
FCR,2014,2014-06-09 12:00:00,50,2.7,
FCR,2014,2014-06-16 12:00:00,50,3,
FCR,2014,2014-06-23 12:00:00,50,3,
FCR,2014,2014-06-30 12:00:00,50,3.25,
FCR,2014,2014-07-07 12:00:00,50,3.25,
FCR,2014,2014-07-14 12:00:00,50,3.25,
FCR,2014,2014-07-21 12:00:00,50,3.125,
FCR,2014,2014-07-28 12:00:00,50,3,
FCR,2014,2014-08-04 12:00:00,50,3.2,
FCR,2014,2014-08-11 12:00:00,50,2.8,
FCR,2014,2014-08-18 12:00:00,50,2.55,
FCR,2014,2014-08-25 12:00:00,50,2.3,
FCR,2014,2014-09-03 12:00:00,50,3.2,
FCR,2014,2014-09-08 12:00:00,50,2.8,
FCR,2014,2014-09-15 12:00:00,50,2.4,
FCR,2014,2014-09-22 12:00:00,50,2,
FCR,2015,2015-02-05 12:00:00,50,1.75,
FCR,2015,2015-03-06 12:00:00,50,1.8,
FCR,2015,2015-05-04 12:00:00,50,2.5,
FCR,2015,2015-05-05 12:00:00,50,2.5,
FCR,2015,2015-05-11 12:00:00,50,3,
FCR,2015,2015-05-18 12:00:00,50,2.8,
FCR,2015,2015-05-25 12:00:00,50,2.5,
FCR,2015,2015-06-01 12:00:00,50,2.9,
FCR,2015,2015-06-08 12:00:00,50,1.7,
FCR,2015,2015-06-15 12:00:00,50,2.4,
FCR,2015,2015-06-22 12:00:00,50,2.33,
FCR,2015,2015-06-29 12:00:00,50,2.45,
FCR,2015,2015-07-06 12:00:00,50,1.24,
FCR,2015,2015-07-13 12:00:00,50,1.35,
FCR,2015,2015-07-20 12:00:00,50,2.4,
FCR,2015,2015-07-27 12:00:00,50,2.85,
FCR,2015,2015-08-03 12:00:00,50,2.5,
FCR,2015,2015-08-03 12:00:00,50,2.5,
FCR,2015,2015-08-10 12:00:00,50,1.7,
FCR,2015,2015-08-17 12:00:00,50,1.6,
FCR,2015,2015-08-24 12:00:00,50,1.25,
FCR,2015,2015-08-31 12:00:00,50,1.4,
FCR,2015,2015-10-05 12:00:00,50,1.6,
FCR,2015,2015-12-07 12:00:00,50,1.5,
FCR,2016,2016-04-25 12:00:00,50,3.04,
FCR,2017,2017-06-08 12:00:00,50,2.18,
SHR,2014,2014-07-10 12:00:00,50,9,
,,,,,
