Reservoir,Year,Date,Depth,YSI_TEMP,YSI_DOSAT,YSI_DO,PAR,Notes
GWR,2016,2016-04-06 12:00:00,0.1,11.7,109.3,11.01,NA,NA
GWR,2016,2016-04-06 12:00:00,1,11.7,109.2,11.03,NA,NA
GWR,2016,2016-04-06 12:00:00,2,11.7,108.8,10.99,NA,NA
GWR,2016,2016-04-06 12:00:00,3,11.7,108.8,10.93,NA,NA
GWR,2016,2016-04-06 12:00:00,4,11.5,107.4,10.89,NA,NA
GWR,2016,2016-04-06 12:00:00,5,11.5,107.5,10.85,NA,NA
GWR,2016,2016-04-06 12:00:00,6,11.4,106.2,10.77,NA,NA
GWR,2016,2016-04-06 12:00:00,7,11.1,104.5,10.64,NA,NA
GWR,2016,2016-04-06 12:00:00,8,11,103.1,10.48,NA,NA
GWR,2016,2016-04-06 12:00:00,9,11,101.7,10.43,NA,NA
GWR,2016,2016-04-06 12:00:00,10,10.9,100.1,10.3,NA,NA
GWR,2016,2016-04-06 12:00:00,11,10.8,99.9,10.3,NA,NA
GWR,2016,2016-04-06 12:00:00,12,10.7,97.9,10.12,NA,NA
GWR,2016,2016-04-06 12:00:00,13,9.2,85.2,9.13,NA,NA
GWR,2016,2016-04-06 12:00:00,14,7.6,69.9,7.84,NA,NA
GWR,2016,2016-04-06 12:00:00,15,7.2,51.7,6.25,NA,NA
GWR,2016,2015-04-13 12:00:00,0.1,13,104.3,10.27,NA,NA
GWR,2016,2015-04-13 12:00:00,1,12.6,103.3,10.26,NA,NA
GWR,2016,2015-04-13 12:00:00,2,11.9,102.8,10.33,NA,NA
GWR,2016,2015-04-13 12:00:00,3,11.5,102,10.44,NA,NA
GWR,2016,2015-04-13 12:00:00,4,11.2,99.9,10.19,NA,NA
GWR,2016,2015-04-13 12:00:00,5,11.1,100.2,10.27,NA,NA
GWR,2016,2015-04-13 12:00:00,6,10.9,99.5,10.23,NA,NA
GWR,2016,2015-04-13 12:00:00,7,10.7,98.6,10.18,NA,NA
GWR,2016,2015-04-13 12:00:00,8,10.4,95.6,9.98,NA,NA
GWR,2016,2015-04-13 12:00:00,9,10.3,92.6,9.69,NA,NA
GWR,2016,2015-04-13 12:00:00,10,10,90.2,9.5,NA,NA
