Reservoir,Year,Date,Depth,Total_chlorophyll,Green_algae,Cyanobacteria,Diatoms,Cryptophyta
SHR,2014,2014-05-08,0.18,0,0,0,0,0
SHR,2014,2014-05-08,0.37,0.54,0,0,0,0.54
SHR,2014,2014-05-08,0.68,0.4,0,0.4,0,0
SHR,2014,2014-05-08,0.98,0.83,0.12,0.71,0,0
SHR,2014,2014-05-08,1.03,0.9,0,0,0.9,0
SHR,2014,2014-05-08,1.04,1.19,0.52,0.67,0,0
SHR,2014,2014-05-08,1.04,0,0,0,0,0
SHR,2014,2014-05-08,1.05,0.72,0,0.72,0,0
SHR,2014,2014-05-08,1.04,0.06,0,0,0,0.06
SHR,2014,2014-05-08,1.09,0.79,0.79,0,0,0
SHR,2014,2014-05-08,1.04,0.97,0,0.97,0,0
SHR,2014,2014-05-08,1.06,1.54,0,0.95,0,0.59
SHR,2014,2014-05-08,1.08,0,0,0,0,0
SHR,2014,2014-05-08,1.17,0.43,0,0,0.43,0
SHR,2014,2014-05-08,1.27,1.14,0.97,0,0,0.17
SHR,2014,2014-05-08,1.34,1.06,0.43,0,0.62,0
SHR,2014,2014-05-08,1.46,1.19,1.19,0,0,0
SHR,2014,2014-05-08,1.63,0.27,0,0.14,0,0.13
SHR,2014,2014-05-08,1.73,0.43,0,0.16,0,0.27
SHR,2014,2014-05-08,1.82,1.09,0,0,1.09,0
SHR,2014,2014-05-08,1.92,1.19,0,0,1.19,0
SHR,2014,2014-05-08,2.02,0.77,0.62,0.15,0,0
SHR,2014,2014-05-08,2.13,0.9,0.23,0,0.32,0.36
SHR,2014,2014-05-08,2.23,0.5,0.17,0.33,0,0
SHR,2014,2014-05-08,2.35,1.51,1.37,0.13,0,0
SHR,2014,2014-05-08,2.48,0.99,0,0,0.99,0
SHR,2014,2014-05-08,2.6,0.16,0,0.16,0,0
SHR,2014,2014-05-08,2.75,1.02,1.02,0,0,0
SHR,2014,2014-05-08,2.87,0.84,0.2,0.09,0.39,0.16
SHR,2014,2014-05-08,3,1.14,0.22,0.27,0,0.66
SHR,2014,2014-05-08,3.14,0.54,0,0,0.54,0
SHR,2014,2014-05-08,3.25,0.96,0,0.32,0.64,0
SHR,2014,2014-05-08,3.37,1.17,0.22,0,0.47,0.49
SHR,2014,2014-05-08,3.46,0.75,0,0,0.39,0.36
SHR,2014,2014-05-08,3.58,0.38,0,0,0.38,0
SHR,2014,2014-05-08,3.71,0.26,0.26,0,0,0
SHR,2014,2014-05-08,3.83,0.27,0.27,0,0,0
SHR,2014,2014-05-08,3.94,0.36,0,0,0,0.36
SHR,2014,2014-05-08,4.06,0.5,0,0,0.5,0
SHR,2014,2014-05-08,4.18,0.44,0,0,0.33,0.12
SHR,2014,2014-05-08,4.33,0.42,0,0,0.42,0
SHR,2014,2014-05-08,4.45,0.05,0.02,0.03,0,0
SHR,2014,2014-05-08,4.56,0.33,0,0,0,0.33
SHR,2014,2014-05-08,4.73,0.04,0,0.04,0,0
SHR,2014,2014-05-08,4.8,0.57,0,0.14,0.15,0.29
SHR,2014,2014-05-08,4.91,0.6,0.41,0.19,0,0
SHR,2014,2014-05-08,5.06,0.11,0.04,0,0,0.07
SHR,2014,2014-05-08,5.16,0.46,0,0,0.46,0
SHR,2014,2014-05-08,5.27,0.78,0.78,0,0,0
SHR,2014,2014-05-08,5.36,0.8,0.64,0.17,0,0
SHR,2014,2014-05-08,5.43,0.6,0,0,0.6,0
SHR,2014,2014-05-08,5.51,0,0,0,0,0
SHR,2014,2014-05-08,5.68,0.42,0,0.03,0,0.39
SHR,2014,2014-05-08,5.8,0.97,0.81,0.16,0,0
SHR,2014,2014-05-08,5.97,0.45,0,0.28,0.17,0
SHR,2014,2014-05-08,6.12,0.32,0.25,0.07,0,0
SHR,2014,2014-05-08,6.32,0.16,0,0.16,0,0
