Reservoir,Year,Date,Depth,TN_ugL,TP_ugL,SRP_ugL,NH4_ugL,NO3NO2_ugL,DOC_mgL,DIC_mgL,TOC_mgL,TIC_mgL,DRSI_mgL,CO2_ppm,CH4_ppm,Notes
SHR,2015,2015-05-08 12:00:00,0,336,3.54,1.7,17.5,229,,,,,,,,
SHR,2015,2015-05-08 12:00:00,8,358,4.97,2.85,10.1,269,,,,,,,,*depths of 8 and 10 were all altered to 8
SHR,2015,2015-05-08 12:00:00,31,394,3.91,2.85,10.7,291,,,,,,,,*depths of 28 and 31 were all changed to 31
SHR,2015,2015-05-22 12:00:00,0,301,1.64,2.13,13,197,,,,,,,,
SHR,2015,2015-05-22 12:00:00,8,372,5.33,1.74,19.5,249,,,,,,,,
SHR,2015,2015-05-22 12:00:00,31,324,-0.295,2.27,9.59,281,,,,,,,,
SHR,2015,2015-05-29 12:00:00,0,282,4.18,3.31,8.04,180,,,,,,,,
SHR,2015,2015-05-29 12:00:00,8,395,5.18,3.16,24.4,258,,,,,,,,
SHR,2015,2015-05-29 12:00:00,31,377,4.73,2.6,10.7,292,,,,,,,,"*there was a sample that was dated 5/30/2015 for 8m at SHR, but this was not an SHR sample day so data were omitted"
SHR,2015,2015-06-12 12:00:00,0,252,0.45,,,,,,,,,,,
SHR,2015,2015-06-12 12:00:00,8,393,8.27,,,,,,,,,,,
SHR,2015,2015-06-12 12:00:00,31,369,1.76,,,,,,,,,,,
SHR,2015,2015-06-26 12:00:00,0,239,0.188,,,,,,,,,,,
SHR,2015,2015-06-26 12:00:00,8,375,3.85,,,,,,,,,,,
SHR,2015,2015-06-26 12:00:00,31,365,5.18,,,,,,,,,,,
SHR,2015,2015-07-10 12:00:00,0,184,0.939,0.705,12.1,95.3,,,,,,,,
SHR,2015,2015-07-10 12:00:00,8,379,4.79,3.04,16.4,202,,,,,,,,
SHR,2015,2015-07-10 12:00:00,31,372,1.48,4.11,32,297,,,,,,,,
SHR,2015,2015-07-24 12:00:00,0,164.5,0.5976,4,10.7,75.5,,,,,,,,*this sample had multiple runs and values were averaged or eliminated if negative
SHR,2015,2015-07-24 12:00:00,8,301,0.658,2.16,25.8,191,,,,,,,,
SHR,2015,2015-07-24 12:00:00,31,361,0.45,6.83,36.9,293,,,,,,,,
SHR,2015,2015-08-07 12:00:00,0,173.5087321,2.44,4.22,10.5,61.9,,,,,,,,*was rerun on 17DE15 and values were averaged except for SRP because rerun was negative
SHR,2015,2015-08-07 12:00:00,8,367,0.61,5.15,32.4,249,,,,,,,,
SHR,2015,2015-08-07 12:00:00,31,260,,4.79,2.44,321,,,,,,,,*TP value was negative and was omitted
SHR,2015,2015-08-26 12:00:00,0,153.498,,3.71,11.1,54,,,,,,,,*this sample was run twice; TN vales were averaged; both TP values were negative and were omitted
SHR,2015,2015-08-26 12:00:00,8,313,0.455,4.82,31.2,212,,,,,,,,
SHR,2015,2015-08-26 12:00:00,31,384.9633129,0.186,2.31,3.85,328,,,,,,,,
SHR,2015,2015-09-09 12:00:00,0,135.1869607,,15.2,10.2,42,,,,,,,,*TP value was negative and was omitted; depth values 8 and 10 were standardized to 8; depth values 28 and 31 were standardized to 31
SHR,2015,2015-09-09 12:00:00,8,320.025,4.65,4.87,33.7,215,,,,,,,,*this sample was run twice and values were averaged
SHR,2015,2015-09-09 12:00:00,31,376.2452848,,3.21,6.94,340,,,,,,,,*TP value was negative and was omitted
SHR,2015,2015-10-28 12:00:00,0,307.1901699,,1.92,10.4,230,,,,,,,,*TP value was negative and was omitted
SHR,2015,2015-10-28 12:00:00,8,314.6067416,,2,1.19,226,,,,,,,,*TP value was negative and was omitted
SHR,2015,2015-10-28 12:00:00,31,424.255644,0.639,4.15,3.16,348,,,,,,,,
