Chemistry,Reservoir,DateTime,Temp_C,DO_mgL,DOSat,Cond_uScm,PAR_umolm2s,ORP,pH,Notes
Yes,BVR,2014-04-04,NA,NA,NA,NA,NA,NA,NA,NA
Yes,BVR,2014-04-16,NA,NA,NA,NA,NA,NA,NA,NA
Yes,BVR,2014-04-30,NA,NA,NA,NA,NA,NA,NA,NA
Yes,BVR,2014-05-14,NA,NA,NA,NA,NA,NA,NA,NA
Yes,BVR,2014-05-29,NA,NA,NA,NA,NA,NA,7.66,NA
Yes,BVR,2014-06-04,NA,NA,NA,NA,NA,NA,NA,NA
Yes,BVR,2014-06-18,NA,NA,NA,NA,NA,NA,7.57,NA
Yes,BVR,2014-06-25,NA,NA,NA,NA,NA,NA,7.66,NA
Yes,BVR,2014-07-02,NA,NA,NA,NA,340,NA,7.58,NA
Yes,BVR,2014-07-09,NA,NA,NA,NA,NA,NA,7.89,NA
Yes,BVR,2014-07-16,NA,NA,NA,NA,NA,NA,NA,NA
Yes,BVR,2014-07-23,NA,NA,NA,NA,NA,NA,7.95,NA
Yes,BVR,2014-07-30,NA,NA,NA,NA,NA,NA,NA,NA
Yes,BVR,2014-08-13,NA,NA,NA,NA,NA,NA,NA,NA
Yes,BVR,2014-09-04,NA,NA,NA,NA,NA,NA,NA,NA
Yes,BVR,2014-09-25,NA,NA,NA,NA,NA,NA,6.3,NA
Yes,BVR,2015-05-14,NA,NA,NA,NA,2700,NA,NA,NA
Yes,BVR,2015-05-21,NA,NA,NA,NA,NA,NA,NA,NA
Yes,BVR,2015-05-28,NA,NA,NA,NA,1841,NA,NA,NA
Yes,BVR,2015-06-04,NA,NA,NA,NA,223.3,NA,NA,NA
Yes,BVR,2015-06-11,NA,NA,NA,NA,2040,NA,NA,NA
Yes,BVR,2015-06-18,NA,NA,NA,NA,NA,NA,NA,NA
Yes,BVR,2015-06-19,NA,NA,NA,NA,NA,NA,NA,NA
Yes,BVR,2015-06-25,NA,NA,NA,NA,1480,NA,NA,NA
Yes,BVR,2015-07-02,NA,NA,NA,NA,NA,NA,NA,NA
Yes,BVR,2015-07-09,NA,NA,NA,NA,1800,NA,NA,NA
Yes,BVR,2015-07-16,NA,NA,NA,NA,NA,NA,NA,NA
Yes,BVR,2015-07-23,NA,NA,NA,NA,NA,NA,NA,NA
Yes,BVR,2015-07-30,NA,NA,NA,NA,77.25,NA,NA,NA
Yes,BVR,2015-08-13,NA,NA,NA,NA,536,NA,NA,NA
Yes,BVR,2015-08-20,NA,NA,NA,NA,NA,NA,NA,NA
Yes,BVR,2015-09-04,NA,NA,NA,NA,0,NA,NA,NA
Yes,BVR,2015-09-18,NA,NA,NA,NA,40,NA,NA,NA
Yes,BVR,2015-10-02,NA,NA,NA,NA,NA,NA,NA,NA
Yes,BVR,2015-10-23,NA,NA,NA,NA,1027,NA,NA,NA
Yes,BVR,2016-04-06,NA,NA,NA,NA,NA,NA,NA,NA
Yes,BVR,2016-04-20,15.9,9.82,NA,27.3,1143,238.1,7.33,NA
Yes,BVR,2016-05-04,19.6,8.76,NA,29,215.4,316.5,7.19,NA
Yes,BVR,2016-05-12,19.2,8.47,NA,29.1,67.59,325.8,7.24,Moved to 1m depths to save time.
Yes,BVR,2016-05-19,16.6,8.41,NA,30.1,114,230.6,7.27,NA
Yes,BVR,2016-05-26,20.6,8.88,NA,29.9,240,211.3,7.44,NA
Yes,BVR,2016-05-29,23.2,8.63,NA,32.1,500,240.9,7.24,NA
Yes,BVR,2016-05-31,24.7,8.43,NA,32.2,493.4,125,7.34,NA
Yes,BVR,2016-06-02,25,8.12,NA,32.5,1322,112.3,6.72,NA
Yes,BVR,2016-06-08,22.6,8.75,NA,31.7,1633,30.3,7.11,NA
Yes,BVR,2016-06-16,24.3,8.05,NA,32.2,1308,110.8,7.26,NA
Yes,BVR,2016-06-23,23.9,10.48,NA,32.2,NA,140.1,7.16,"PAR out of service, refer to secchi."
Yes,BVR,2016-06-26,24.8,8.4,NA,31.9,NA,133.9,7.37,NA
Yes,BVR,2016-06-28,24.9,7.52,NA,30.4,177,191,7.17,PAR back in service.
Yes,BVR,2016-06-30,25.8,8.16,NA,31.2,900.5,133.7,7.45,NA
Yes,BVR,2016-07-07,25.5,7.76,NA,31.2,900,130,7.07,NA
Yes,BVR,2016-07-14,27.6,7.33,NA,31.4,1144,169.7,6.25,NA
Yes,BVR,2016-07-21,28.4,6.78,NA,31.6,882,131.9,7.2,NA
Yes,BVR,2016-07-24,31.6,7.92,NA,32.3,500,170.4,7.66,NA
Yes,BVR,2016-07-28,30.5,7.21,NA,31.9,917.8,153.4,7.46,NA
Yes,BVR,2016-08-04,26.4,6.44,NA,31.6,NA,70.6,6.68,NA
Yes,BVR,2016-08-11,26.5,7.59,NA,31.3,530,171.1,7.26,NA
Yes,BVR,2016-08-18,26.9,8.04,NA,31.6,239,400.8,6.88,NA
Yes,BVR,2016-08-23,26.1,6.33,NA,31.3,64.24,114.8,7.14,NA
Yes,BVR,2016-09-06,24.7,7.99,NA,31.7,523,127.9,7.58,NA
Yes,BVR,2016-09-16,NA,NA,NA,NA,NA,NA,NA,NA
Yes,BVR,2016-09-27,22.4,6.82,NA,30.7,569,234.4,6.75,NA
Yes,BVR,2016-10-11,17.4,7.43,NA,29,NA,234.9,6.59,"Reservoir one meter higher from hurricane Matthew; thermocline didn't change, so -1 is 1 meter above water level observed throughout the rest of the year"
Yes,BVR,2016-10-25,NA,NA,NA,NA,NA,NA,NA,NA
Yes,BVR,2016-11-11,12.7,7.94,NA,31.1,NA,239.9,6.6,NA
Yes,CCR,2014-04-20,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2014-05-02,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2014-05-08,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2014-05-15,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2014-05-27,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2014-06-04,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2014-06-12,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2014-06-26,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2014-07-03,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2014-07-10,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2014-07-24,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2014-08-07,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2014-08-21,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2014-09-05,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2014-09-19,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2014-10-03,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2014-10-24,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2015-05-08,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2015-05-22,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2015-05-29,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2015-06-12,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2015-06-26,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2015-07-10,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2015-07-24,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2015-08-07,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2015-08-26,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2015-09-09,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2015-09-23,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2015-10-28,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2016-05-13,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2016-05-28,NA,NA,NA,NA,0,NA,NA,NA
Yes,CCR,2016-06-11,NA,NA,NA,NA,NA,NA,NA,NA
Yes,CCR,2016-06-29,NA,NA,NA,NA,447,NA,NA,NA
Yes,CCR,2016-07-15,NA,NA,NA,NA,360,NA,NA,partly cloudy; sun going in and out.
Yes,CCR,2016-07-29,NA,NA,NA,NA,950,NA,NA,NA
Yes,CCR,2016-08-13,NA,NA,NA,NA,0,NA,NA,NA
Yes,CCR,2016-08-29,NA,NA,NA,NA,756,NA,NA,NA
Yes,CCR,2016-09-12,NA,NA,NA,NA,602,NA,NA,NA
Yes,CCR,2016-09-26,NA,NA,NA,NA,42.5,NA,NA,NA
Yes,CCR,2016-10-10,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-04-04,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-04-11,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-04-18,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-04-25,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-05-02,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-05-09,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-05-16,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-05-23,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-05-30,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-06-06,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-06-13,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-06-20,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-06-27,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-07-03,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-07-11,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-07-15,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-07-18,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-07-19,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-07-22,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-07-25,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-07-29,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-08-01,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-08-05,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-08-08,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-08-12,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-08-14,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-08-15,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-08-21,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-08-28,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-09-04,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-09-05,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-09-11,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-09-18,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-09-25,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-09-28,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-10-09,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-10-16,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-10-23,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-10-30,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-11-06,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-11-20,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2013-12-04,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-01-15,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-02-24,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-03-07,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-03-20,NA,NA,NA,NA,NA,NA,7.9,NA
Yes,FCR,2014-04-01,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-04-08,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-04-16,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-04-21,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-04-23,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-04-28,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-05-05,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-05-12,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-05-19,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-05-26,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-06-02,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-06-09,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-06-16,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-06-23,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-06-29,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-06-30,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-07-07,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-07-14,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-07-21,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-07-28,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-08-04,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-08-11,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-08-18,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-08-25,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-09-03,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-09-08,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-09-15,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-09-22,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-09-29,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-10-06,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-10-15,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-10-23,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-11-10,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2014-12-10,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2015-02-06,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2015-03-16,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2015-03-31,NA,NA,NA,NA,NA,NA,7.47,NA
Yes,FCR,2015-04-07,NA,NA,NA,NA,NA,NA,7.93,NA
Yes,FCR,2015-04-13,NA,NA,NA,NA,NA,NA,6.82,NA
Yes,FCR,2015-04-16,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2015-04-19,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2015-04-21,NA,NA,NA,NA,NA,NA,7.57,NA
Yes,FCR,2015-04-25,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2015-04-28,NA,NA,NA,NA,NA,NA,6.89,NA
Yes,FCR,2015-05-01,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2015-05-05,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2015-05-11,NA,NA,NA,NA,NA,NA,7.06,NA
Yes,FCR,2015-05-12,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2015-05-18,NA,NA,NA,NA,NA,NA,6.89,NA
Yes,FCR,2015-05-25,NA,NA,NA,NA,NA,NA,6.85,NA
Yes,FCR,2015-06-01,NA,NA,NA,NA,NA,NA,7.25,NA
Yes,FCR,2015-06-06,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2015-06-08,NA,NA,NA,NA,NA,NA,7.9,NA
Yes,FCR,2015-06-15,NA,NA,NA,NA,NA,NA,7,NA
Yes,FCR,2015-06-22,NA,NA,NA,NA,NA,NA,7.1,NA
Yes,FCR,2015-06-24,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2015-06-29,NA,NA,NA,NA,NA,NA,7.29,NA
Yes,FCR,2015-07-06,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2015-07-13,NA,NA,NA,NA,NA,NA,8.74,NA
Yes,FCR,2015-07-20,NA,NA,NA,NA,NA,NA,7.16,NA
Yes,FCR,2015-07-27,NA,NA,NA,NA,NA,NA,7.49,NA
Yes,FCR,2015-08-03,NA,NA,NA,NA,NA,NA,7.15,NA
Yes,FCR,2015-08-10,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2015-08-17,NA,NA,NA,NA,NA,NA,7.64,NA
Yes,FCR,2015-08-24,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2015-08-31,NA,NA,NA,NA,NA,NA,7.76,NA
Yes,FCR,2015-09-07,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2015-09-14,NA,NA,NA,NA,NA,NA,6.97,NA
Yes,FCR,2015-09-21,NA,NA,NA,NA,NA,NA,6.77,NA
Yes,FCR,2015-09-28,NA,NA,NA,NA,NA,NA,6.41,NA
Yes,FCR,2015-10-05,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2015-10-19,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2015-11-09,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2015-12-07,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2016-01-11,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2016-02-05,3.7,12.5,101.2,35.3,NA,NA,6.6,"CTD 45 CCC+RPM, May be shallow, YSI JD"
Yes,FCR,2016-03-30,12.4,9,NA,32.8,370.2,163.5,7.57,NA
Yes,FCR,2016-04-05,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2016-04-11,10.58,10.6,100.1,31.2,403.6,209.3,6.54,"YSI PRO Plus: Times 1 min @ each depth, see pro odo data, Flora not working well"
Yes,FCR,2016-04-18,14.9,9.62,99.7,32,895.4,269.3,6.95,"Turn on SSS 4/18/16, YSI, Flora, PAR, Depths all before SSS activation"
Yes,FCR,2016-04-25,17,9.36,102.5,32.5,1193,350.7,6.67,"Collected 8m sed trap, 1004"
Yes,FCR,2016-05-02,19.4,8.9,102.9,34.2,1114,320.2,6.87,"Calibrated for 1 min @ each depth, Phyto grabs: chla @ 1.6 + 6.7, Sed trap @ 4m 1100, Pulled up pick ebullition trap @ catwalk b/c; 1) excessive algae build up, 2) low sample compared to others, 3) had dead salamanders in tube"
Yes,FCR,2016-05-09,17.7,8.75,96.5,35,NA,129.4,6.99,"Phyto + chla @ 3.8 +5.0 dominated by greens, emax~10ug/l, tightened and strengthened hose on pick ebullition trap @ catwalk"
Yes,FCR,2016-05-16,16.7,10.14,108.8,35.5,343,249.7,6.97,Take zoops onthursday at FCR
Yes,FCR,2016-05-23,18,7.18,NA,35.2,95,145.2,6.76,"sediment trap collect @ 8m, 1200"
Yes,FCR,2016-05-30,21.4,9.11,109.3,37.5,946,184,6.99,"Sed trap um 0850, secchi=2.59 @1203"
Yes,FCR,2016-05-31,22.3,8.88,108.5,37,1300,178.1,7.13,NA
Yes,FCR,2016-06-02,24.2,9.56,120.5,36.6,498.7,616,NA,"Time for light:223, thunderstorm coming in, variable clouds, time for YSI:230"
Yes,FCR,2016-06-03,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2016-06-06,24.3,9.37,120,37.5,3444,131.8,7.37,"Zoops in different bottles, Sed traps 1156, YSI at 1145, CMAX @ 3.8 + 5m"
Yes,FCR,2016-06-07,NA,NA,NA,NA,NA,NA,NA,NA
Yes,FCR,2016-06-13,23.6,8.85,109.3,38.8,1200,150.1,7.42,"Phytoplankton samples @1.6,3.8,5.0, CMAX~5.0+about 25ug/l: mostly changes (~13-15ug/L)"
Yes,FCR,2016-06-20,23.6,8.58,105.2,38.2,1097,173.4,7.36,"Sed traps, HOBO downloads potentially, outflow, inflow, methane ebullition, DO sonde retrieve 0945, phtodepth 3.8+5, CMAX~28ug/l @ 4m; mostly greens + diatoms"
Yes,FCR,2016-06-27,23.6,8.59,107.1,36.6,NA,161.3,6.79,"VEM on @10:10, Max drop @x hours 15 SCFM"
Yes,FCR,2016-06-28,25.9,7.96,103.4,37.7,NA,114.2,6.86,VEM off @ 10:11
