attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Reservoir	"Three-letter code corresponding to sampled reservoir, either: BVR=Beaverdam Reservoir, CCR= Carvins Cove Reservoir, GWR=Gatewood Reservoir, SHR=Spring Hollow Reservoir"	categorical			NA	
Site	"Sampling site within each reservoir, 50=Deep hole or site nearest to dam in each reservoir"	numeric	dimensionless		NA	
DateTime	"Date and time of sampling. All data were collected in the eastern time zone of the U.S.A., with daylight savings time observed"	Date	YYYY-MM-DD hh:mm:ss	YYYY-MM-DD hh:mm:ss	NA	
StartDepth_m	Water depth where the start of the sample was collected	numeric	meter		NA	
EndDepth_m	Water depth where the sample collection ended	numeric	meter		NA	
CollectionMethod	"Method that was used to sample the zooplankton, either a vertical net tow or Schindler trap"	categorical			NA	
Taxon	Zooplankton taxa name	categorical			NA	
Density_IndPerL	Zooplankton density of each taxa (individuals per liter)	numeric	numberPerLiter		NA	
MeanLength_mm	Mean zooplankton length calculated from all measured individuals within each taxon	numeric	millimeter		NA	
MeanWeight_ug	Mean zooplankton dry weight calculated from all measured individuals within each taxon	numeric	microgram		NA	
Biomass_ugL	"Aggregated biomass of a zooplankton taxon, calculated from the mean dry weight of each taxon multiplied by the density of that taxon"	numeric	microgramsPerLiter		NA	
Flag_Length	Flag indicated for weight data; flag = 1 means sample not taken; 0 = not suspect	numeric	dimensionless		NA	
Flag_Weight	Flag indicated for biomass data; flag = 1 means sample not taken; 0 = not suspect	numeric	dimensionless		NA	
Flag_Biomass	Flag indicated for length data; flag = 1 means sample not taken; 0 = not suspect	numeric	dimensionless		NA	
