"Reservoir","Site","DateTime","Depth_m","Temp_C","DO_mgL","DOSat","Cond_uScm","PAR_umolm2s","ORP","pH","Notes"
"GWR",50,2013-09-17 11:30:00,0,21.9,NA,NA,NA,NA,NA,NA,NA
"GWR",50,2013-09-17 11:30:00,1,22,NA,NA,NA,NA,NA,NA,NA
"GWR",50,2013-09-17 11:30:00,2,22,NA,NA,NA,NA,NA,NA,NA
"GWR",50,2013-09-17 11:30:00,3,22,NA,NA,NA,NA,NA,NA,NA
"GWR",50,2013-09-17 11:30:00,4,22,NA,NA,NA,NA,NA,NA,NA
"GWR",50,2013-09-17 11:30:00,5,22,NA,NA,NA,NA,NA,NA,NA
"GWR",50,2013-09-17 11:30:00,6,18.1,NA,NA,NA,NA,NA,NA,NA
"GWR",50,2013-09-17 11:30:00,7,16.1,NA,NA,NA,NA,NA,NA,NA
"GWR",50,2013-09-17 11:30:00,8,13.6,NA,NA,NA,NA,NA,NA,NA
"GWR",50,2013-09-17 11:30:00,9,12.1,NA,NA,NA,NA,NA,NA,NA
"GWR",50,2013-09-17 11:30:00,10,11.4,NA,NA,NA,NA,NA,NA,NA
"GWR",50,2013-09-17 11:30:00,11,10.4,NA,NA,NA,NA,NA,NA,NA
"GWR",50,2013-09-17 11:30:00,12,10,NA,NA,NA,NA,NA,NA,NA
"GWR",50,2013-09-17 11:30:00,13,9.8,NA,NA,NA,NA,NA,NA,NA
"FCR",50,2014-03-20 12:00:00,0.8,NA,NA,NA,NA,NA,NA,7.9,NA
"FCR",50,2014-03-20 12:00:00,1.6,NA,NA,NA,NA,NA,NA,7.9,NA
"FCR",50,2014-03-20 12:00:00,3.8,NA,NA,NA,NA,NA,NA,7.8,NA
"FCR",50,2014-03-20 12:00:00,6.2,NA,NA,NA,NA,NA,NA,7.8,NA
"FCR",50,2014-04-10 12:00:00,0.8,NA,NA,NA,NA,NA,NA,7.7,NA
"FCR",50,2014-04-10 12:00:00,1.6,NA,NA,NA,NA,NA,NA,7.6,NA
"FCR",50,2014-04-10 12:00:00,3.8,NA,NA,NA,NA,NA,NA,7.6,NA
"FCR",50,2014-04-10 12:00:00,6.2,NA,NA,NA,NA,NA,NA,7.5,NA
"GWR",50,2014-04-18 12:00:00,0,12.1,11.18,110.9,NA,NA,NA,7.81,NA
"GWR",50,2014-04-18 12:00:00,1,11.9,11.29,111.1,NA,NA,NA,7.73,NA
"GWR",50,2014-04-18 12:00:00,2,11.8,10.99,107.5,NA,NA,NA,7.66,NA
"GWR",50,2014-04-18 12:00:00,3,11.7,11.01,108.2,NA,NA,NA,7.66,NA
"GWR",50,2014-04-18 12:00:00,4,11.6,10.99,107.2,NA,NA,NA,7.68,NA
