"Reservoir","Site","DateTime","Depth_m","TN_ugL","TP_ugL","infTPloads_g","NH4_ugL","NO3NO2_ugL","SRP_ugL","DOC_mgL","Notes"
"FCR",50,2013-04-04 12:00:00,0.1,NA,NA,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-04 12:00:00,0.8,NA,32.34,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-04 12:00:00,1.6,NA,30.69,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-04 12:00:00,2.8,NA,35.62,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-04 12:00:00,3.8,NA,NA,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-04 12:00:00,5,NA,35.62,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-04 12:00:00,6.2,NA,42.19,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-04 12:00:00,8,NA,47.94,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-11 12:00:00,0.1,NA,27.04,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-11 12:00:00,0.8,NA,31.07,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-11 12:00:00,1.6,NA,60.28,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-11 12:00:00,2.8,NA,45.17,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-11 12:00:00,3.8,NA,27.04,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-11 12:00:00,5,NA,30.06,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-11 12:00:00,6.2,NA,52.22,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-11 12:00:00,8,NA,41.1,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-18 12:00:00,0.1,NA,26.03,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-18 12:00:00,0.8,NA,32.08,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-18 12:00:00,1.6,NA,36.1,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-18 12:00:00,2.8,NA,24.82,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-18 12:00:00,3.8,NA,34.97,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-18 12:00:00,5,NA,26.38,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-18 12:00:00,6.2,NA,24.04,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-18 12:00:00,8,NA,30.29,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-25 12:00:00,0.1,NA,27.94,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-25 12:00:00,0.8,NA,27.94,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-25 12:00:00,1.6,NA,31.07,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-25 12:00:00,2.8,NA,49.8,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-25 12:00:00,3.8,NA,24.04,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-25 12:00:00,5,NA,24.04,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-25 12:00:00,6.2,NA,33.41,NA,NA,NA,NA,NA,NA
"FCR",50,2013-04-25 12:00:00,8,NA,39.65,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-02 12:00:00,0.1,NA,35.89,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-02 12:00:00,0.8,NA,70.84,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-02 12:00:00,1.6,NA,46.37,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-02 12:00:00,2.8,NA,23.65,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-02 12:00:00,3.8,NA,18.41,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-02 12:00:00,5,NA,23.65,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-02 12:00:00,6.2,NA,18.41,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-02 12:00:00,8,NA,28.9,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-09 12:00:00,0.1,NA,21.91,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-09 12:00:00,0.8,NA,20.16,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-09 12:00:00,1.6,NA,26.27,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-09 12:00:00,2.8,NA,31.52,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-09 12:00:00,3.8,NA,21.91,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-09 12:00:00,5,NA,35.89,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-09 12:00:00,6.2,NA,28.02,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-09 12:00:00,8,NA,24.53,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-16 12:00:00,0.1,NA,23.13,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-16 12:00:00,0.8,NA,26.48,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-16 12:00:00,1.6,NA,27.31,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-16 12:00:00,2.8,NA,18.11,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-16 12:00:00,3.8,NA,52.41,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-16 12:00:00,5,NA,23.97,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-16 12:00:00,6.2,NA,30.66,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-16 12:00:00,8,NA,23.13,NA,NA,NA,NA,NA,NA
"FCR",100,2013-05-16 12:00:00,100,NA,49.9,64.07,NA,NA,NA,NA,NA
"FCR",100,2013-05-17 12:00:00,100,NA,NA,57.82,NA,NA,NA,NA,NA
"FCR",100,2013-05-18 12:00:00,100,NA,NA,65.24,NA,NA,NA,NA,NA
"FCR",100,2013-05-19 12:00:00,100,NA,NA,87.08,NA,NA,NA,NA,NA
"FCR",100,2013-05-20 12:00:00,100,NA,NA,131.17,NA,NA,NA,NA,NA
"FCR",100,2013-05-21 12:00:00,100,NA,NA,84.22,NA,NA,NA,NA,NA
"FCR",100,2013-05-22 12:00:00,100,NA,NA,61.06,NA,NA,NA,NA,NA
"FCR",50,2013-05-23 12:00:00,0.1,NA,25.64,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-23 12:00:00,0.8,NA,23.97,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-23 12:00:00,1.6,NA,21.46,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-23 12:00:00,2.8,NA,28.15,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-23 12:00:00,3.8,NA,20.62,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-23 12:00:00,5,NA,24.8,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-23 12:00:00,6.2,NA,29.82,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-23 12:00:00,8,NA,18.95,NA,NA,NA,NA,NA,NA
"FCR",100,2013-05-23 12:00:00,100,NA,32.3,54.54,NA,NA,NA,NA,NA
"FCR",100,2013-05-24 12:00:00,100,NA,NA,52.36,NA,NA,NA,NA,NA
"FCR",100,2013-05-25 12:00:00,100,NA,NA,46.55,NA,NA,NA,NA,NA
"FCR",100,2013-05-26 12:00:00,100,NA,NA,43.62,NA,NA,NA,NA,NA
"FCR",100,2013-05-27 12:00:00,100,NA,NA,41.99,NA,NA,NA,NA,NA
"FCR",100,2013-05-28 12:00:00,100,NA,NA,42.73,NA,NA,NA,NA,NA
"FCR",100,2013-05-29 12:00:00,100,NA,NA,42.98,NA,NA,NA,NA,NA
"FCR",50,2013-05-30 12:00:00,0.1,NA,22.26,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-30 12:00:00,0.8,NA,34.94,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-30 12:00:00,1.6,NA,23.84,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-30 12:00:00,2.8,NA,26.22,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-30 12:00:00,3.8,NA,32.56,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-30 12:00:00,5,NA,27.01,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-30 12:00:00,6.2,NA,25.43,NA,NA,NA,NA,NA,NA
"FCR",50,2013-05-30 12:00:00,8,NA,30.18,NA,NA,NA,NA,NA,NA
"FCR",100,2013-05-30 12:00:00,100,NA,36.5,41.32,NA,NA,NA,NA,NA
"FCR",100,2013-05-31 12:00:00,100,NA,NA,44.7,NA,NA,NA,NA,NA
"FCR",100,2013-06-01 12:00:00,100,NA,NA,42.76,NA,NA,NA,NA,NA
"FCR",100,2013-06-02 12:00:00,100,NA,NA,54.06,NA,NA,NA,NA,NA
"FCR",100,2013-06-03 12:00:00,100,NA,NA,47.74,NA,NA,NA,NA,NA
"FCR",100,2013-06-04 12:00:00,100,NA,NA,41.41,NA,NA,NA,NA,NA
"FCR",100,2013-06-05 12:00:00,100,NA,NA,37.86,NA,NA,NA,NA,NA
"FCR",50,2013-06-06 12:00:00,0.1,NA,28.27,NA,NA,NA,NA,NA,NA
"FCR",50,2013-06-06 12:00:00,0.8,NA,25.79,NA,NA,NA,NA,NA,NA
"FCR",50,2013-06-06 12:00:00,1.6,NA,41.49,NA,NA,NA,NA,NA,NA
"FCR",50,2013-06-06 12:00:00,2.8,NA,33.23,NA,NA,NA,NA,NA,NA
"FCR",50,2013-06-06 12:00:00,3.8,NA,27.45,NA,NA,NA,NA,NA,NA
"FCR",50,2013-06-06 12:00:00,5,NA,21.66,NA,NA,NA,NA,NA,NA
"FCR",50,2013-06-06 12:00:00,6.2,NA,32.4,NA,NA,NA,NA,NA,NA
"FCR",50,2013-06-06 12:00:00,8,NA,35.71,NA,NA,NA,NA,NA,NA
"FCR",100,2013-06-06 12:00:00,100,NA,NA,174.69,NA,NA,NA,NA,NA
"FCR",100,2013-06-07 12:00:00,100,NA,NA,139.58,NA,NA,NA,NA,NA
"FCR",100,2013-06-08 12:00:00,100,NA,NA,101.09,NA,NA,NA,NA,NA
"FCR",100,2013-06-09 12:00:00,100,NA,NA,74.36,NA,NA,NA,NA,NA
"FCR",100,2013-06-10 12:00:00,100,NA,NA,82.88,NA,NA,NA,NA,NA
"FCR",50,2013-06-13 12:00:00,0.1,NA,21.67,NA,NA,NA,NA,NA,NA
"FCR",50,2013-06-13 12:00:00,0.8,NA,NA,NA,NA,NA,NA,NA,NA
"FCR",50,2013-06-13 12:00:00,1.6,NA,21.67,NA,NA,NA,NA,NA,NA
"FCR",50,2013-06-13 12:00:00,2.8,NA,NA,NA,NA,NA,NA,NA,NA
"FCR",50,2013-06-13 12:00:00,3.8,NA,22.51,NA,NA,NA,NA,NA,NA
"FCR",50,2013-06-13 12:00:00,5,NA,23.35,NA,NA,NA,NA,NA,NA
"FCR",50,2013-06-13 12:00:00,6.2,NA,19.15,NA,NA,NA,NA,NA,NA
"FCR",50,2013-06-13 12:00:00,8,NA,18.32,NA,NA,NA,NA,NA,NA
"FCR",100,2013-06-13 12:00:00,100,NA,35.1,67.45,NA,NA,NA,NA,"*6/11 & 6/12 missing from TPloads data"
"FCR",100,2013-06-14 12:00:00,100,NA,NA,55.54,NA,NA,NA,NA,NA
"FCR",100,2013-06-15 12:00:00,100,NA,NA,49.29,NA,NA,NA,NA,NA
"FCR",100,2013-06-16 12:00:00,100,NA,NA,47.47,NA,NA,NA,NA,NA
"FCR",100,2013-06-17 12:00:00,100,NA,NA,47.79,NA,NA,NA,NA,NA
"FCR",100,2013-06-18 12:00:00,100,NA,NA,56.27,NA,NA,NA,NA,NA
"FCR",100,2013-06-19 12:00:00,100,NA,NA,48.92,NA,NA,NA,NA,NA
"FCR",50,2013-06-20 12:00:00,0.1,NA,36.67,NA,NA,NA,NA,NA,NA
"FCR",50,2013-06-20 12:00:00,0.8,NA,37.49,NA,NA,NA,NA,NA,NA
"FCR",50,2013-06-20 12:00:00,1.6,NA,37.49,NA,NA,NA,NA,NA,NA
"FCR",50,2013-06-20 12:00:00,2.8,NA,39.13,NA,NA,NA,NA,NA,NA
