attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Reservoir	Three-letter code corresponding to sampled reservoir; BVR=Beaverdam Reservoir, CCR= Carvins Cove Reservoir, FCR=Falling Creek Reservoir, GWR=Gatewood Reservoir, SHR=Spring Hollow Reservoir	categorical			NA	No data
Site	Sampling site within each reservoir; 50=Deep hole or site nearest to dam in each reservoir, 45=Transect 45 in Falling Creek Reservoir, 30=Transect 30 in Falling Creek Reservoir, 20=Transect 20 in Falling Creek Reservoir, 10=Transect 10 in Falling Creek Reservoir, 100=Inflow stream of Falling Creek Reservoir	numeric	dimensionless		NA	No data
DateTime	Date and time of sampling. All data were collected in the eastern time zone of the U.S.A., with daylight savings time observed	Date		YYYY-MM-DD hh:mm:ss	NA	No data
Depth_m	Water depth where the sample was collected or sensor reading was measured 	numeric	meter		NA	No data
Temp_C	Water temperature	numeric	celsius		NA	No data
DO_mgL	Dissolved oxygen (DO) concentration	numeric	milligramsPerLiter		NA	No data
DOSat	Dissolved oxygen (DO) percent saturation	numeric	percent		NA	No data
Cond_uScm	Conductivity	numeric	microSiemenPerCentimeter		NA	No data
PAR_umolm2s	Photosynthetically active radiation	numeric	micromolePerMeterSquaredPerSecond		NA	No data
ORP_mV	oxidation-reduction potential	numeric	millivolt		NA	No data
pH	water pH	numeric	dimensionless		NA	No data
Flag_Temp	Data flag for temperature; 0=Not suspect, 1=Sample not taken, 2=Instrument malfunction, 3=Sample below detection,  4=Negative value set to 0	numeric	dimensionless			
Flag_DO	Data flag for dissolved oxygen (DO) concentration; 0=Not suspect, 1=Sample not taken, 2=Instrument malfunction, 3=Sample below detection,  4=Negative value set to 0	numeric	dimensionless			
Flag_DOSat	Data flag for dissolved oxygen (DO) percent saturation; 0=Not suspect, 1=Sample not taken, 2=Instrument malfunction, 3=Sample below detection,  4=Negative value set to 0	numeric	dimensionless			
Flag_Cond	Data flag for conductivity; 0=Not suspect, 1=Sample not taken, 2=Instrument malfunction, 3=Sample below detection,  4=Negative value set to 0	numeric	dimensionless			
Flag_PAR	Data flag for photosynthetically active radiation (PAR); 0=Not suspect, 1=Sample not taken, 2=Instrument malfunction, 3=Sample below detection,  4=Negative value set to 0	numeric	dimensionless			
Flag_ORP	Data flag for ORP; 0=Not suspect, 1=Sample not taken, 2=Instrument malfunction, 3=Sample below detection,  4=Negative value set to 0	numeric	dimensionless			
Flag_pH	Data flag for pH; 0=Not suspect, 1=Sample not taken, 2=Instrument malfunction, 3=Sample below detection,  4=Negative value set to 0	numeric	dimensionless			
